particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks,,
Souce of Funds,Current Appropriation,Current Appropriation,-, - , - ,-,-,-, -   ,-,,
Souce of Funds,Continuing Appropriation,Continuing Appropriation,-,-, - ,-,-,-, -   ,-,,
Souce of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,Previous Year's Appropriation transferred to the Special Trust Fund,-, - , - ,-,-,-, -   ,-,,
Souce of Funds,Donations,Cash,-,3120000, - ,-,-,-,3120000,-,,
Souce of Funds,Donations,In Kind,-,-,-,-,-,-, -   ,-,,
Souce of Funds,Transfers/Grants,Transfers/Grants,-,1362500,-,-,-,-,1362500,-,,
Souce of Funds,Others (Interest on deposit and penalty on supplier),Others (Interest on deposit and penalty on supplier),-,170366.66,-,-,-,-,170366.66,-,,
Souce of Funds,PDRRMF Trust Fund CY (2014),PDRRMF Trust Fund CY (2014),-,5944557.35,8800000,-,-,-,14744557.35,-,,
Souce of Funds,PDRRMF Trust Fund CY (2013),PDRRMF Trust Fund CY (2013), - , - ,9580634.43,-,-,-,9580634.43,-,,
Souce of Funds,PDRRMF Trust Fund CY (2012),PDRRMF Trust Fund CY (2012), - ,1500000,16088350.53,-,-,-,17588350.53,-,,
Souce of Funds,PDRRMF Trust Fund CY (2011),PDRRMF Trust Fund CY (2011), - ,7668789.49,17515000,-,-,-,25183789.49,-,,
Utilization,Total Funds Available,Total Funds Available, - ,19766213.5,51983984.96,-,-,-,71750198.46,-,,
Utilization,Barangay Preparedness Program,Barangay Preparedness Program,-,-, - ,-,-,-, -   ,-,,
Utilization,Risk Transfer Program,Risk Transfer Program,-,-, - ,-,-,-, -   ,-,,
Utilization,"Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO","Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO",-,-,-,-,-,-, -   ,-,,
Utilization,Awareness Building and Knowledge Management Program,Awareness Building and Knowledge Management Program,-,-,-,-,-,-, -   ,-,,
Utilization,Disaster Management/Response Operations,Disaster Management/Response Operations,-,-, - ,-,-,-, -   ,-,,
Utilization,Response,Response,-,-,-,-,-,-, -   ,-,,
Utilization,Mitigation,Mitigation,-,-, - ,-,-,-, -   ,-,,
Utilization,Rehabilitation,Rehabilitation,-,-, - ,-,-,-, -   ,-,,
Utilization,Quick Response Fund,Quick Response Fund,-,-,-,-,-,-, -   ,-,,
Utilization,Donation for Typhoon Pablo Victims,Donation for Typhoon Pablo Victims,-,50000, - ,-,-,-,50000,-,,
Utilization,Donation for Typhoon Yolanda Victims,Donation for Typhoon Yolanda Victims,-,50000,-,-,-,-,50000,-,,
Utilization,Grands from NEDA,Travelling Expenses,-,216058.24, - ,-,-,-,216058.24,-,,
Utilization,Grands from NEDA,Supplies Expenses,-,149776.1,-,-,-,-,149776.1,-,,
Utilization,Grands from NEDA,Meals and Accomodation Expenses,-,577600, - ,-,-,-,577600,-,,
Utilization,Grands from NEDA,Other Expenses,-,2200, - ,-,-,-,2200,-,,
Utilization,Grands from NEDA,Fuel,-,43248, - ,-,-,-,43248,-,,
Utilization,Trust Fund CY 2014,"Construction of Slope Protection along Camp Edward - Ferlda Road, Alegria",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Construction of Flood Control/River Bank Protection at PCTC,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Const. of Slope Protection along Libas - Taganaan Rd,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Capacity Building /EC/Summit etc,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Ground Delineation of Fault,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,"Prepositioning of Relief Goods, non-food items",-,232500, - ,-,-,-,232500,-,,
Utilization,Trust Fund CY 2014,"Fuel, Oil and Lubricant",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Sea Ambulance,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Rehab. of Mayag Spilway along Sison-Mayag Rd,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Relief Goods and Non Food Items,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Medicines,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,Planting Materials,-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2014,"Fuel, Oil and Spareparts",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2013,"Construction of Poniete Re-enforced Concrete Slab Bridge, Gigaquit",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2013,"Construction of Himamali Bridges, Sison",-,-, - ,-,-,-, -   ,-,,
Utilization,Trust Fund CY 2013,"Construction of Flood Control along San Francisco Creek, San Francisco, Mainit",-,700, - ,-,-,-,700,-,,
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase I",-,-,2735517.35,-,-,-,2735517.35,-,,
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase II",-,-,1912333.64,-,-,-,1912333.64,-,,
Utilization,Trust Fund CY 2012,Purchased of Power Generating Set (Alternate Power Supply for the Provincial Hospital (Phase I),-,-,1738000,-,-,-,1738000,-,,
Utilization,Trust Fund CY 2012,"Construction of Bioborjan Composite Concrete/Timber Bridge, San Francisco",-,-, - ,-,-,-, -   ,-,,
