quarter,function_program_project_activities_1,function_program_project_activities_2,function_program_project_activities_3,appropriation,allotment,appropriation_balance_deficit,obligations,unobligated_balance
Q3,9998,Budgetary Reserves,-,-,-,-,-,-
Q3,751,Maintenance and Other Operating Expenses,Traveling Exepenses - Local,400000,250000,150000,22202,227798
Q3,753,Maintenance and Other Operating Expenses,Training Expenses,2070000,1435000,635000,240979,1194021
Q3,755,Maintenance and Other Operating Expenses,Office Supplies Exepenses,132800,83000,49800,17081.41,65918.59
Q3,758,Maintenance and Other Operating Expenses,Food Supplies Expenses,731240.15,156250,574990.15,-,156250
Q3,759,Maintenance and Other Operating Expenses,Drugs and Medicine,250000,93750,156250,-,93750
Q3,761,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",200000,162500,37500,-,162500
Q3,762,Maintenance and Other Operating Expenses,Agriculture Supplies Expenses,200000,125000,75000,-,125000
Q3,765,Maintenance and Other Operating Expenses,Other Supplies Expenses,100000,62500,37500,-,62500
Q3,771,Maintenance and Other Operating Expenses,Postage and Deliveries,5000,3125,1875,-,3125
Q3,772,Maintenance and Other Operating Expenses,Telephone Expenses - Landline,9600,6000,3600,4470.54,1529.45
Q3,773,Maintenance and Other Operating Expenses,Telephone Expenses - Mobile,15000,9375,5625,8400,975
Q3,774,Maintenance and Other Operating Expenses,Internet Expenses,20400,12750,7650,5832.87,6917.13
Q3,775,Maintenance and Other Operating Expenses,"Cable, Satelite, Telegraph and Radio Expenses",5000,3125,1875,-,3125
Q3,778,Maintenance and Other Operating Expenses,Memebership Dues and Contributions to Organizations,100,62.5,37.5,-,62.5
Q3,784,Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,100,62.5,37.5,-,62.5
Q3,821,Maintenance and Other Operating Expenses,Repairs and Maintenance - Office Equipment,6000,3750,2250,-,3750
Q3,823,Maintenance and Other Operating Expenses,Repairs and Maintenance - IT Equipment and Software,6000,3750,2250,-,3750
Q3,829,Maintenance and Other Operating Expenses,Repairs and Maintenance - Communication Equipment,100000,62500,37500,-,62500
Q3,840,Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Machineries and Equipment,10000,6250,3750,-,6250
Q3,841,Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,300000,243750,56250,-,243750
Q3,851,Maintenance and Other Operating Expenses,"Repairs and Maintenance - Roads, Highways and Bridges",7789016,4014385,3783631,-,4014385
Q3,878,Maintenance and Other Operating Expenses,Donations,1300000,962500,337500,-,962500
Q3,969,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,1500000,981250,518750,32000,949250
Q3,-,Maintenance and Other Operating Expenses,Subtotal,15159256.15,8680635,6478621.15,330965.82,8349669.18
Q3,213,Capital Outlay,Hospitals and Health Centers,7675000,-,7675000,-,0
Q3,215,Capital Outlay,Other Structures,180000,180000,-,-,180000
Q3,223,Capital Outlay,IT Equipment and Software,250000,250000,-,46900,203100
Q3,229,Capital Outlay,Communication Equipment,140000,140000,-,-,140000
Q3,240,Capital Outlay,Other Machineries and Equipment,30000,30000,-,-,30000
Q3,241,Capital Outlay,Motor Vehicles,8400000,8400000,-,-,8400000
Q3,244,Capital Outlay,Watercrafts,1000000,1000000,-,-,1000000
Q3,251,Capital Outlay,"Roads, Highways and Bridges",4873163.06,4873163.06,-,-,4873163.06
Q3,255,Capital Outlay,"Irrigation, Canals and Laterals",-,-,-,-,0
Q3,257,Capital Outlay,"Waterways, Aqueducts, Seawalls, River Wall and Others",1500000,-,1500000,-,0
Q3,-,Capital Outlay,Subtotal,24048163.06,14873163.06,9175000,46900,14826263.06
Q3,-,Grand Total,Grand Total,39207419.21,23553798.06,15653621.15,377865.82,23175932.24
Q3,-,Recapitulation,Personal Service,-,-,-,-,0
Q3,-,Recapitulation,MOOE,15159256.15,8680635,6478621.15,330965.82,8349669.18
Q3,-,Recapitulation,Capital Outlay,24048163.06,14873163,9175000,46900,14826263.06
Q3,-,Recapitulation,Financial Expenses,-,-,-,-,0
Q4,751,Maintenance and Other Operating Expenses,Traveling Exepenses - Local,400000,400000,-,400000,0
Q4,753,Maintenance and Other Operating Expenses,Training Expenses,1270000,1270000,-,1270000,0
Q4,755,Maintenance and Other Operating Expenses,Office Supplies Exepenses,132000,132800,-,132800,0
Q4,758,Maintenance and Other Operating Expenses,Food Supplies Expenses,731240.15,731240.15,-,731240.15,0
Q4,759,Maintenance and Other Operating Expenses,Drugs and Medicine,250000,250000,-,250000,0
Q4,761,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",200000,200000,-,200000,0
Q4,762,Maintenance and Other Operating Expenses,Agriculture Supplies Expenses,200000,200000,-,200000,0
Q4,765,Maintenance and Other Operating Expenses,Other Supplies Expenses,100000,100000,-,100000,0
Q4,771,Maintenance and Other Operating Expenses,Postage and Deliveries,5000,5000,-,5000,0
Q4,772,Maintenance and Other Operating Expenses,Telephone Expenses - Landline,96000,96000,-,96000,0
Q4,773,Maintenance and Other Operating Expenses,Telephone Expenses - Mobile,15000,15000,-,15000,0
Q4,774,Maintenance and Other Operating Expenses,Internet Expenses,20400,20400,-,20400,0
Q4,775,Maintenance and Other Operating Expenses,"Cable, Satelite, Telegraph and Radio Expenses",5000,5000,-,5000,0
Q4,778,Maintenance and Other Operating Expenses,Memebership Dues and Contributions to Organizations,100,100,-,100,0
Q4,784,Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,100,100,-,100,0
Q4,821,Maintenance and Other Operating Expenses,Repairs and Maintenance - Office Equipment,6000,6000,-,6000,0
Q4,823,Maintenance and Other Operating Expenses,Repairs and Maintenance - IT Equipment and Software,6000,6000,-,6000,0
Q4,829,Maintenance and Other Operating Expenses,Repairs and Maintenance - Communication Equipment,220000,220000,-,220000,0
Q4,840,Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Machineries and Equipment,10000,10000,-,10000,0
Q4,841,Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,180000,180000,-,180000,0
Q4,851,Maintenance and Other Operating Expenses,"Repairs and Maintenance - Roads, Highways and Bridges",3798016,3798016,-,3798016,0
Q4,878,Maintenance and Other Operating Expenses,Donations,5300000,5300000,-,5300000,0
Q4,969,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,2300000,2300000,-,2300000,0
Q4,-,Maintenance and Other Operating Expenses,Subtotal,15159256.15,15159256.15,-,15159256.15,0
Q4,213,Capital Outlay,Hospitals and Health Centers,7675000,7675000,-,-,7675000
Q4,215,Capital Outlay,Other Structures,180000,180000,-,-,180000
Q4,223,Capital Outlay,IT Equipment and Software,250000,250000,-,60899,189101
Q4,229,Capital Outlay,Communication Equipment,140000,140000,-,44000,96000
Q4,240,Capital Outlay,Other Machineries and Equipment,30000,30000,-,-,30000
Q4,241,Capital Outlay,Motor Vehicles,8400000,8400000,-,8400000,0
Q4,244,Capital Outlay,Watercrafts,1000000,1000000,-,425740.11,574259.89
Q4,251,Capital Outlay,"Roads, Highways and Bridges",4873163.06,4873163.06,-,-,4873163.06
Q4,255,Capital Outlay,"Irrigation, Canals and Laterals",-,-,-,-,0
Q4,257,Capital Outlay,"Waterways, Aqueducts, Seawalls, River Wall and Others",1500000,1500000,-,-,1500000
Q4,-,Capital Outlay,Subtotal,24048163.06,24048163,-,8930639.11,15117523.95
Q4,-,Grand Total,Grand Total,39207419.21,39207419.21,-,24089895.26,15117523.95
Q4,-,Recapitulation,Personal Services,-,-,-,-,0
Q4,-,Recapitulation,MOOE,15159256.15,15159256.15,-,15159256.15,0
Q4,-,Recapitulation,Capital Outlay,24048163.06,24048163.06,-,8930639.11,15117523.95
Q4,-,Recapitulation,Financial Expenses,-,-,-,-,0
