particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks
Souce of Funds,Current Appropriation,Current Appropriation,-,-,-,-,-, -   ,-,-
Souce of Funds,Continuing Appropriation,Continuing Appropriation,-,-,-,-,-, -   ,-,-
Souce of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-, -   ,-,-
Souce of Funds,Donations,Cash,-,3120000,-,-,-,-,3120000,-
Souce of Funds,Donations,In Kind,-,-,-,-,-,-, -   ,-
Souce of Funds,Transfers/Grants,Transfers/Grants,-,1340000,-,-,-,-,1340000,-
Souce of Funds,Others (Interest on deposit and penalty on supplier),Others (Interest on deposit and penalty on supplier),-,170366.66,-,-,-,-,170366.66,-
Souce of Funds,PDRRMF Trust Fund CY (2013),PDRRMF Trust Fund CY (2013),-,4830846.52,17778962.79,-,-,-,22609809.31,-
Souce of Funds,PDRRMF Trust Fund CY (2012),PDRRMF Trust Fund CY (2012),-,-,19303783,-,-,-,19303783,-
Souce of Funds,PDRRMF Trust Fund CY (2011),PDRRMF Trust Fund CY (2011),-,7668789.49,17515000,-,-,-,25183789.49,-
Souce of Funds,Total Funds Available,Total Funds Available,-,17130002.67,54597745.79,-,-,-,71727748.46,-
Utilization,Barangay Preparedness Program,Barangay Preparedness Program,-,-,-,-,-,-, -   ,-
Utilization,Risk Transfer Program,Risk Transfer Program,-,-,-,-,-,-, -   ,-
Utilization,"Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO","Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO",-,-,-,-,-,-, -   ,-
Utilization,Awareness Building and Knowledge Management Program,Awareness Building and Knowledge Management Program,-,-,-,-,-,-, -   ,-
Utilization,Disaster Management/Response Operations,Disaster Management/Response Operations,-,-,-,-,-,-, -   ,-
Utilization,Response,Response,-,-,-,-,-,-, -   ,-
Utilization,Mitigation,Mitigation,-,-,-,-,-,-, -   ,-
Utilization,Rehabilitation,Rehabilitation,-,-,-,-,-,-, -   ,-
Utilization,Quick Response Fund,Quick Response Fund,-,-,-,-,-,-, -   ,-
Utilization,Donation for Typhoon Pablo Victims,Donation for Typhoon Pablo Victims,-,50000,-,-,-,-,50000,-
Utilization,Donation for Typhoon Yolanda Victims,Donation for Typhoon Yolanda Victims,-,50000,-,-,-,-,50000,-
Utilization,Grants from NEDA,Travelling Expenses,-,210768.24,-,-,-,-,210768.24,-
Utilization,Grants from NEDA,Supplies Expenses,-,131417.1,-,-,-,-,131417.1,-
Utilization,Grants from NEDA,Meals and Accomodation Expenses,-,446750,-,-,-,-,446750,-
Utilization,Grants from NEDA,Other Expenses,-, -   ,-,-,-,-, -   ,-
Utilization,Grants from NEDA,Fuel,-,43248,-,-,-,-,43248,-
Utilization,Trust Fund CY 2013,"Construction of Poniete Re-enforced Concrete Slab Bridge, Gigaquit",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2013,"Construction of Himamali Bridges, Sison",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2013,"Construction of Flood Control along San Francisco Creek, San Francisco, Mainit",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase I",-,-,2735517.35,-,-,-,2735517.35,-
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase II",-,-,1912333.64,-,-,-,1912333.64,-
Utilization,Trust Fund CY 2012,Purchased of Power Generating Set (Alternate Power Supply for the Provincial Hospital (Phase I),-,-,1738000,-,-,-,1738000,-
Utilization,Trust Fund CY 2012,"Construction of Bioborjan Composite Concrete/Timber Bridge, San Francisco",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2012,"Construction of Oslao Slope Protection, San Francisco",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Training Expenses,-,-,1071459.65,-,-,-,1071459.65,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Travelling Expenses,-,-,12914,-,-,-,12914,-
Utilization,Trust Fund CY 2012,"Improvement of Capitol Retaining Wall, Surigao City",-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2011,"Highway Junction-Malinao Road,  Phase 1 (Gen. Luna)",-,-,5429451.22,-,-,-,5429451.22,-
Utilization,Trust Fund CY 2011,Jubgan Bridge (San Francisco),-,-,4139.5,-,-,-,4139.5,-
Utilization,Trust Fund CY 2011,Bioborjan Bridge (San Francisco),-,-,798001.95,-,-,-,798001.95,-
Utilization,Trust Fund CY 2011,Anislagan Bridge (Placer),-,-,529139.7,-,-,-,529139.7,-
Utilization,Trust Fund CY 2011,Tag-ayan Bridge (Mainit),-,-,296000,-,-,-,296000,-
Utilization,Trust Fund CY 2011,Tagana-an Bridge (Tagana-an),-,-,2224804.56,-,-,-,2224804.56,-
Utilization,Trust Fund CY 2011,Anaoaon-Malimono Rd./Cantapoy-Pili Rd. /Duncella Br (Cluster),-,-,-,-,-,-, -   ,-
Utilization,Trust Fund CY 2011,Campo-Payapag-Little Baguio Road /Mahanub-Puyawon Road/Marga-Capayahan (cluster),-,-,2321155.15,-,-,-,2321155.15,-
Utilization,Trust Fund CY 2011,Others - PSSO-Relief Goods     ,-,2504143.75,-,-,-,-,-,-
Utilization,Trust Fund CY 2011,Others - PHO-Drugs and Medicine,-,725603.05,-,-,-,-,-,-
