particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks
Source of Funds,Current Appropriation,Current Appropriation,-,-,-,-,-,-,0,-
Source of Funds,Continuing Appropriation,Continuing Appropriation,-,-,-,-,-,-,0,-
Source of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-,0,-
Source of Funds,Donation,Cash,-,100000,-,-,-,-,100000,-
Source of Funds,Donation,In Kind,-,-,-,-,-,-,0,-
Source of Funds,Transfers/Grants,Transfers/Grants,-,1040000,-,-,-,-,1040000,-
Source of Funds,Others (Interest on deposit and penalty on supplier),Others (Interest on deposit and penalty on supplier),-,3939.52,-,-,-,-,3939.52,-
Source of Funds,PDRRMF Trust Fund CY (2013),PDRRMF Trust Fund CY (2013),-,-,13805439.68,-,-,-,13805439.68,-
Source of Funds,PDRRMF Trust Fund CY (2012),PDRRMF Trust Fund CY (2012),-,-,18697741.73,-,-,-,18697741.73,-
Source of Funds,Total Funds Available,Total Funds Available,0,1143939.52,32503181.41,-,-,-,33647120.93,-
Utilization,Preparedness,Barangay Preparedness Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,Risk Transfer Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,"Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO",-,-,-,-,-,-,0,-
Utilization,Preparedness,Awareness Building and Knowledge Management Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,Disaster Management/Response Operations,-,-,-,-,-,-,0,-
Utilization,Preparedness,Ground Delineation of Faults and Ruptures,-,-,-,-,-,-,0,-
Utilization,Response,Response,-,-,-,-,-,-,0,-
Utilization,Mitigation,Mitigation,-,-,-,-,-,-,0,-
Utilization,Rehabilitation,Rehabilitation,-,-,-,-,-,-,0,-
Utilization,Quick Response Fund,Quick Response Fund,-,-,-,-,-,-,0,-
Utilization,Donation for Typhoon Victim,Donation for Typhoon Pablo Victims,-,50000,-,-,-,-,50000,-
Utilization,Donation for Typhoon Victim,Donation for Typhoon Yolanda Victims,-,50000,-,-,-,-,0,-
Utilization,Grants from NEDA,Travelling Expenses,-,193393.24,-,-,-,-,193393.24,-
Utilization,Grants from NEDA,Supplies Expenses,-,126337.1,-,-,-,-,126337.1,-
Utilization,Grants from NEDA,Meals and Accomodation Expenses,-,446750,-,-,-,-,446750,-
Utilization,Grants from NEDA,Fuel,-,43248,-,-,-,-,43248,-
Utilization,Grants from NEDA,Other Expenses,-,-,-,-,-,-,0,-
Utilization,Trust Fund CY 2013,"Construction of Poniete Re-enforced Concrete Slab Bridge, Gigaquit",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2013,"Construction of Himamali Bridges, Sison",-,-,-,-,-,-,0,-
Utilization,Trust Fund CY 2013,"Construction of Flood Control along San Francisco Creek, San Francisco, Mainit",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase I",-,-,2735517.35,-,-,-,2735517.35,-
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase II",-,-,1912333.64,-,-,-,1912333.64,-
Utilization,Trust Fund CY 2012,Purchased of Power Generating Set (Alternate Power Supply for the Provincial Hospital (Phase I),-,-,1738000,-,-,-,1738000,-
Utilization,Trust Fund CY 2012,"Construction of Bioborjan Composite Concrete/Timber Bridge, San Francisco",-,-,-,-,-,-,0,-
Utilization,Trust Fund CY 2012,"Construction of Oslao Slope Protection, San Francisco",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Training Expenses,-,-,1071459.65,-,-,-,1071459.65,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Travelling Expenses,-,-,12914,-,-,-,12914,-
Utilization,Trust Fund CY 2012,"Improvement of Capitol Retaining Wall, Surigao City",-,-,-,-,-,-,0,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Baybay-Matin-ao Road, Burgos",-,-,933544.03,-,-,-,933544.03,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Consuelo-Corazon Sta. Cruz Road, Gen. Luna",-,-,1472369.5,-,-,-,1472369.5,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Claver - Sapa Road, Claver",-,-,1971464.91,-,-,-,1971464.91,-
Utilization,Total Utilization,Total Utilization,-,909728.34,11847603.08,0,0,0,12707331.42,-
Unutilized Balance,Unutilized Balance,Unutilized Balance,0,234211.18,20655578.33,-,-,-,20889789.51,-
