particulars_1,particulars_2,ldrrmf_quick_response_fund_qrf_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,63100201.8,147233804.2,-,-,-,210334006
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Prev Year's Appropriation Transferred to the Special Trust Fund,-,104172296.5,-,-,-,104172296.5
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,63100201.8,251406100.7,-,-,-,314506302.5
Utilization,Medicines,909015,-,-,-,-,909015
Utilization,Food Supplies,10497200,-,-,-,-,10497200
Utilization,"Medical, Dental and Laboratory",90980,-,-,-,-,90980
Utilization,Other Supplies,75000,-,-,-,-,75000
Utilization,Rent Expenses,84000,-,-,-,-,84000
Utilization,Transfer to other LGUs,6450000,-,-,-,-,6450000
Total Utilization,Total Utilization,18106195,-,-,-,-,18106195
Unutilized Balance,Unutilized Balance,44994006.8,251406100.7,-,-,-,296400107.5
