particulars_1,particulars_2,particulars_3,code,appropriations,allotment,approp balance,obligations,allotment balance
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,-,3911-208,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,Repairs and Maintenance- L.I.- Cogon,802-1,300000,300000,-,266200,33800
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,Repairs and Maintenance- L.I.- Colorado,802-2,200000,200000,-,188318.88,11681.12
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O. - Women and Children Welfare,-,3911-304,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Women and Children Welfare,Unprogrammed,-,1500000,-,1500000,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,-,3911-308,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Unprogrammed,-,4979000,-,4979000,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Pathway- Binaton,202-14,306000,306000,-,-,306000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Riprap Canal- Cogon,202-19,250000,250000,-,246328,3672
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Balabag,202-5,600000,600000,-,448823.5,151176.5
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Improvement of Roads- Dawis,202-50,1092769.04,400000,692769.04,334862,65138
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Drainage Canal- Dawis,202-51,300000,300000,-,-,300000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Farm to Market Road- Dulangan,202-52,525000,525000,-,476279.44,48720.56
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Lungag,202-53,1000000,1000000,-,981000,19000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Matti,202-54,640000,640000,-,373033.4,266966.6
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Farm to Market Road- Ruparan,202-55,530000,530000,-,509990.88,20009.12
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Riprap Canal- San Jose,202-56,390000,390000,-,386919.9,3080.1
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- San Miguel,202-57,1400000,1400000,-,980550.62,419449.38
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- Sinaliwan,202-58,700000,700000,-,519270.68,180729.32
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- Soong,202-59,700000,700000,-,497272.4,202727.6
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Opening of Road- Tiguman,202-60,350000,350000,-,337250,12750
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- Tres de Mayo,202-61,1400000,1400000,-,1344405.23,55594.77
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- Zone II,202-62,1100000,1100000,-,1014694.03,85305.97
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction of Road- Zone III,202-63,1000000,1000000,-,982863.19,17136.81
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land Improvements- Mahayahay,202-79,350000,350000,-,322760,27240
