particulars_1,particulars_2,code,appropriations,allotment,approp_balance,obligations,allotment_balance
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- C. O.- Women and Children Welfare,3911-304,1500000,-,1500000,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Projects,3911-308,18200000,-,18200000,-,-
Total,-,-,19700000,-,19700000,-,-
Health Services 20% Development Fund,Regular Budget- MOOE- Health Promotion Program,4918-200,-,-,-,-,-
Health Services 20% Development Fund,Regular Budget- C.O.- Health Promotion Program,4918-300,2000000,-,2000000,-,-
Health Services 20% Development Fund,Regular Budget- C.O.- Rehabilitation Facility of Drug Depe,4918-301,2000000,-,2000000,-,-
Total,-,-,4000000,-,4000000,-,-
Housing and Community Development 20% Development Fund,Regular Budget- C.O.- Barangay Multi- Purpose Center,6911-301,1000000,-,1000000,-,-
Housing and Community Development 20% Development Fund,Regular Budget- C.O.- Housing Development and Lot Acquisition,6911-302,2000000,2000000,-,708435.88,1291564.12
Total,-,-,3000000,2000000,1000000,708435.88,1291564.12
20% Development Fund,Regular Budget- C.O.- Maintenance Of Park and Plazas,6919-303,1500000,750000,750000,-,750000
Total,-,-,1500000,750000,750000,-,750000
Economic Services 20% Development Fund,Regular Budget- C.O.- Procurement of Farm Machiner,8911-300,2000000,1000000,1000000,-,1000000
Economic Services 20% Development Fund,Regular Budget- C.O.- Construction or Rehabilitation of Irragation,8911-301,5063090,1300000,3763090,-,1300000
Economic Services 20% Development Fund,Regular Budget- C.O.- Construction of Sanitation Landfill,8911-302,10000000,-,10000000,-,-
Total,-,-,17063090,2300000,14763090,-,2300000
20% Development Fund,Regular Budget- C.O.- Tourism or Sports or Cultural,8912-300,2000000,-,2000000,-,-
Total,-,-,2000000,-,2000000,-,-
20% Development Fund,Regular Budget- MOOE- Aqua Culture and Seaweeds Cult,8919-209,500000,-,500000,-,-
20% Development Fund,Regular Budget- Capital Outlay- CRBI,8919-300,8000000,1730000,6270000,497991.7,1232008.3
20% Development Fund,Regular Budget- C.O.- Spring Development and Waterworks,8919-301,1500000,-,1500000,-,-
20% Development Fund,Regular Budget- C.O.- Waterworks Treatment Facility,8919-305,1000000,500000,500000,-,500000
20% Development Fund,Regular Budget- C.O.- Flood Control Program,8919-306,7000000,700000,6300000,493241.34,206758.66
20% Development Fund,Regular Budget- C.O.- Investment Prom. Program,8919-307,1000000,-,1000000,-,-
20% Development Fund,Regular Budget- C.O.- Environmental Protection,8919-308,1500000,-,1500000,-,-
20% Development Fund,Regular Budget- C.O.- Mangrove Reforestation Program,8919-310,500000,-,500000,-,-
Total,-,-,21000000,2930000,18070000,991233.04,1938766.96
20% Development Fund,Regular Budget- MOOE- Livelihood or Enter Development Program,8971-200,5000000,2500000,2500000,100000,2400000
Total,-,-,5000000,2500000,2500000,100000,2400000
Grand Total,-,-,73263090,10480000,62783090,1799668.92,8680331.08
