function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Grand Total,Grand Total,-,73541054.61,15381336.03,3330490.95,58159718.58,12050845.08
Current Year Appropriations,Current Year Appropriations,-,-,-,-,-,-
Maintenance and Other Operating Expenses ,Maintenance and Other Operating Expenses ,-,23772841.5,6031780,2072605.39,17741061.5,3959174.61
Financial Expenses ,Financial Expenses ,-,25513783.81,0,0,25513783.81,0
Capital Outlay ,Capital Outlay ,-,24254429.3,9349556.03,1257885.56,14904873.27,8091670.47
Agricultural Development Program,Agricultural Development Program,2100,-,-,-,-,-
Agricultural Development Program,Farm Mechanization Project-Maintenance and Other Operating Expenses ,2102,500000,139280,135250,360720,4030
Agricultural Development Program,Farm Mechanization Project-Capital Outlay ,2102,0,0,0,0,0
Agricultural Development Program,Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,2104,772841.5,245000,165202.5,527841.5,79797.5
Agricultural Development Program,Fishery Sector Development,2106,-,-,-,-,-
Agricultural Development Program,Strategic Agri-Fishery and Agro-Industrial Development Program-Maintenance and Other Operating Expenses,2106J,1000000,250000,46108,750000,203892
Agricultural Development Program,Fisheries Aqua or Mariculture and Coastal Resources Development-Maintenance and Other Operating Expenses,2106K,1700000,775000,351268,925000,423732
Agricultural Development Program,Seawall And Causeway - Capital Outlay,2109,500000,0,0,500000,0
Loan Amortization,Loan Amortization,2110,-,-,-,-,-
Loan Amortization,Term Loan with LBP-Construction of Existing 3rd Floor Commercial Building -Financial Expenses ,2110J,1525293.31,0,0,1525293.31,0
Loan Amortization,Term Loan Amortization with LBP - Construction of Sanitary Landfill-Financial Expenses,2110M,6791705.68,0,0,6791705.68,0
Loan Amortization,Loan Amortization- Construction of Surigao City Waste Facility(Phase II) and Aquisition of Equipment-Financial Expenses,2110Q,4492107.22,0,0,4492107.22,0
Loan Amortization,Loan Amortization with DBP-Aquisition of Heavy Equiptment-Financial Expense,2110r,12704677.6,0,0,12704677.6,0
Extension and On-Site Research Services ,Extension and On-Site Research Services ,2111,-,-,-,-,-
Extension and On-Site Research Services ,Extension Research and Institutional Support Services-Maintenance and Other Operating Expenses,2111M,500000,125000,23261,375000,101739
Rural Livelihood Financial Support,Rural Livelihood Financial Support,2112,-,-,-,-,-
Rural Livelihood Financial Support,Cooperative Development-Maintenance and Other Operating Expenses,2112B,0,0,0,0,0
Rural Livelihood Financial Support,Micro-Enterprise Development -Maintenance and Other Operating Expenses,2112F,300000,300000,2256,0,297744
Livestock Development ,Livestock Development ,2113,-,-,-,-,-
Livestock Development ,"Artificial Insemination and Natural Breed Services For Cattle, Carabao-Maintenance and Other Operating Expenses",2113C,650000,162500,16276.98,487500,146223.02
Livestock Development ,Animal Production-Maintenance and Other Operating Expenses,2113F ,600000,150000,7140,450000,142860
Livestock Development ,Animal Health Promotion and Disease Control-Maintenance and Other Operating Expenses ,2113G,1200000,300000,34845.01,900000,265154.99
Others,Others,2199,-,-,-,-,-
Others,LGU - Equity of DAR or Spot Projects-Maintenance and Other Operating Expenses,2199M,350000,10000,0,340000,10000
Others,Local Countryside Development Program-Capital Outlay,2199N,0,0,0,0,0
Others,Infrastructure Development Support Project-Capital Outlay,2199Na,1793987.37,1793987.37,216900,0,1577087.37
Veterinary Support Program,Veterinary Support Program,2200,-,-,-,-,-
Veterinary Support Program,Meat Processing Project-Maintenance and Other Operating Expenses,2201,50000,62500,8987.35,187500,53512.65
Infra Programs,Infra Programs,2300,-,-,-,-,-
Roads and Bridges ,Roads and Bridges ,2301,-,-,-,-,-
Roads and Bridges ,Barangay Infrastructure Development Programs or Projects-Capital Outlay ,23012,4300000,1075000,225085,3225000,849915
Roads and Bridges ,Maintenance of Barangay Roads and Bridges-Maintenance and Other Operating Expenses,2301C,2500000,500000,111318.12,2000000,388681.88
Roads and Bridges ,"Construction of Road at Interior P. Reyes Extension Phase I, Barangay Taft-Capital Outlay",2301Cd,500000,0,0,500000,0
Roads and Bridges ,Construction of Nueva Street to Espina Road Phase II-Capital Outlay,2301Cg,850000,0,0,850000,0
Roads and Bridges ,Construction DF Road at Interior P. Reyes Extension Phase II-Capital Outlay,2301Ch,850000,0,0,850000,0
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop", 2301E,-,-,-,-,-
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Purok 4 Barangay Silop-Capital Outlay",2301ec,300000,0,0,300000,0
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Barangay Alegria-Capital Outlay",2301ed,449000,0,0,449000,0
"Concreting of Kaskag Roads, Barangay Washington","Concreting of Kaskag Roads, Barangay Washington",2301f,-,-,-,-,-
"Concreting of Kaskag Roads, Barangay Washington",Improvement of Access Road towards Landfill Site Phase I-Capital Outlay,2301fp,2000000,0,0,2000000,0
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,2301Gn,-,-,-,-,-
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,"Construction and Imprvement of Estero, Canlanipa Homes-Capital Outlay",2301Gn,109550.21,0,0,109550.21,0
Drainage,Drainage,2302,-,-,-,-,-
Drainage,"Construction, Repair or Improvement of San Juan Drainage- Capital Outlay",2302B,500000,0,0,500000,0
Drainage,"Construction, Improvement or Rehabilitation of City Drainage-Capital Outlay",2302C,1125000,1125000,195853.19,0,929146.81
Buildings ,Buildings ,2303,-,-,-,-,-
Buildings ,Construction of 3 Storey Government Building,2303b,-,-,-,-,-
Buildings ,Improvement of the City Tourism Assistance Center- Capital Outlay,2303bq,100000,0,0,100000,0
Buildings ,"Construction of Tourism Pavilion, Barangay Day-Asan-Capital Outlay",2303br,500000,0,0,500000,0
Buildings ,Construction and Repair of Barangay Zaragosa Bahay Tourista-Capital Outlay,2303bs,700000,0,0,700000,0
Buildings ,Construction of Health Center-Capital Outlay,2303c,725000,362500,3165,362500,359335
Buildings ,Construction or Repair Of Day Care Center-Capital Outlay,2303d,500000,200000,0,300000,200000
Buildings ,"Construction of Day Care Center, Sitio Bioborjan, Rizal-Capital Outlay",2303df,-,-,-,-,-
Buildings ,Barangay Rizal Day Care Center-Capital Outlay,2303dfa,250000,0,0,250000,0
Buildings ,Renovation of Day Care Center at Barangay Balibayon-Capital Outlay ,2303dh,250000,0,0,250000,0
Buildings ,Construction of Day Care Center at Barangay Cagniog-Capital Outlay,2303di,250000,0,0,250000,0
Buildings ,Renovation of Day Care Center at Barangay Capalayan-Capital Outlay,2303dj,250000,250000,0,0,250000
Buildings ,Construction of Day Care Center at Barangay Day-Asan-Capital Outlay,2303dk,250000,0,0,250000,0
Buildings ,"Construction of Day Care Center at Sitio Panubigon, Barangay Lipata-Capital Outlay",2303dl,250000,0,0,250000,0
Buildings ,Construction of Day Care Center at Barangay Nabago-Capital Outlay,2303dm,250000,250000,33338,0,216662
Buildings ,Construction of Day Care Center at Barangay Orok-Capital Outlay,2303dn,250000,0,0,250000,0
Buildings ,Construction of Day Care Center at Barangay San Juan -Capital Outlay ,2303do,250000,0,0,250000,0
Buildings ,Renovation and Expansion of Day Care Center Barangay San Pedro -Capital Outlay ,2303dp,250000,0,0,250000,0
Buildings ,Construction of Day Care Center Barangay Talisay- Capital Outlay,2303dq,250000,0,0,250000,0
Buildings ,"Repair of Day Careneter 1 and 11 Bagong Silang, Barangay Washington- Capital Outlay",2303Dr,250000,0,0,250000,0
Buildings ,"Construction, Completion or Repair and Improvement of Government and Other Public Buildings-Capital Outlay ",2303e,500000,500000,99958.32,0,400041.68
Buildings ,"Construction Of Multi-Purpose Covered Court, Barangay Mat-I National High School",2303j,500000,500000,99958.32,0,400041.68
Buildings ,"Flooring of Covered Court, Barangay San Pedo -Capital Outlay", 2303jf,293145.75,293145.75,0,0,293145.75
Buildings ,"Construction of Covered Court, Sitio Kabugwason, Barangay Ipil -Capital Outlay ",2303jg,331792.58,331792.58,0,0,331792.58
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Multi-Purpose Covered Court, Barangay Anomar",2303k,-,-,-,-,-
"Completion of Multi-Purpose Covered Court, Barangay Anomar","Completion of Covered Court, Orok Elementary School -Capital Outlay ",2303ki,226323.06,0,0,226323.06,0
