function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Grand Total,Grand Total,-,73541054.61,49855971.93,40345573.56,23685082.68,9510398.37
Current Year Appropriations,Current Year Appropriations,-,-,-,-,-,-
Current Year Appropriations,Maintenance and Other Operating Expenses ,-,23772841.5,13968341.5,9533884.68,9804500,4434456.82
Current Year Appropriations,Financial Expenses ,-,25513783.81,19747024.19,18998299.42,5766759.62,748724.77
Current Year Appropriations,Capital Outlay ,-,24254429.3,16140606.24,11813389.46,8113823.06,4327216.78
Agricultural Development Program,Agricultural Development Program,2100,-,-,-,-,-
Farm Mechanization Project-Maintenance and Other Operating Expenses ,Farm Mechanization Project-Maintenance and Other Operating Expenses ,2102,500000,500000,315129.8,0,184870.2
Farm Mechanization Project-Capital Outlay ,Farm Mechanization Project-Capital Outlay ,2102,0,0,0,0,0
Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,2104,772841.5,772841.5,597442.41,0,175399.09
Fishery Sector Development,Fishery Sector Development,2106,-,-,-,-,-
Fishery Sector Development,Strategic Agri-Fishery and Agro-Industrial Development Program-Maintenance and Other Operating Expenses,2106j,1000000,1000000,855451.94,0,144548.06
Fishery Sector Development,Fisheries Aqua or Mariculture and Coastal Resources Development-Maintenance and Other Operating Expenses,2106k,1700000,1475000,1400915.49,225000,74084.51
Fishery Sector Development,Seawall And Causeway - Capital Outlay,2109,500000,0,0,500000,0
Loan Amortization,Loan Amortization,2110,-,-,-,-,-
Loan Amortization,Term Loan with LBP-Construction of Existing 3rd Floor Commercial Building -Financial Expenses ,2110J,1525293.31,383711.26,383711.26,1141582.05,0
Loan Amortization,Term Loan Amortization with LBP - Construction of Sanitary Landfill-Financial Expenses,2110M,6791705.68,4837891.39,4405390.58,1953814.29,432500.81
Loan Amortization,Loan Amortization- Construction of Surigao City Waste Facility(Phase II) and Aquisition of Equipment-Financial Expenses,2110Q,4492107.22,1820743.95,1816271.36,2671363.27,4472.59
Loan Amortization,Loan Amortization with DBP-Aquisition of Heavy Equiptment-Financial Expense,2110r,12704677.6,12704677.59,12392926.22,0.01,311751.37
Extension and On-Site Research Services ,Extension and On-Site Research Services ,2111,-,-,-,-,-
Extension and On-Site Research Services ,Extension Research and Institutional Support Services-Maintenance and Other Operating Expenses,2111M,500000,328000,250210,172000,77790
Rural Livelihood Financial Support,Rural Livelihood Financial Support,2112,-,-,-,-,-
Rural Livelihood Financial Support,Cooperative Development-Maintenance and Other Operating Expenses,2112B,0,0,0,0,0
Rural Livelihood Financial Support,Micro-Enterprise Development -Maintenance and Other Operating Expenses,2112F,300000,300000,206312,0,93688
Livestock Development ,Livestock Development ,2113,-,-,-,-,-
Livestock Development ,"Artificial Insemination and Natural Breed Services For Cattle, Carabao-Maintenance and Other Operating Expenses",2113C,650000,442500,325112.65,207500,117387.35
Livestock Development ,Animal Production-Maintenance and Other Operating Expenses,2113F ,600000,350000,118896,250000,231104
Livestock Development ,Animal Health Promotion and Disease Control-Maintenance and Other Operating Expenses ,2113G,1200000,900000,597755.85,300000,302244.15
Others,Others,2199,-,-,-,-,-
Others,LGU - Equity of DAR or Spot Projects-Maintenance and Other Operating Expenses,2199M,350000,350000,168643.25,0,181356.75
Others,Local Countryside Development Program-Capital Outlay,2199N,0,0,0,0,0
Others,Infrastructure Development Support Project-Capital Outlay,2199Na,1793987.37,1793987.37,1259719.86,0,534267.51
Veterinary Support Program,Veterinary Support Program,2200,-,-,-,-,-
Veterinary Support Program,Meat Processing Project-Maintenance and Other Operating Expenses,2201,250000,162500,62615.72,87500,99884.28
Infra Programs,Infra Programs,2300,-,-,-,-,-
Roads and Bridges ,Roads and Bridges ,2301,-,-,-,-,-
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Barangay Infrastructure Development Programs or Projects-Capital Outlay ,23012,4300000,4300000,3236768.7,0,1063231.3
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Maintenance of Barangay Roads and Bridges-Maintenance and Other Operating Expenses,2301C,2500000,2000000,1698314.9,500000,301685.1
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,"Construction of Road at Interior P. Reyes Extension Phase I, Barangay Taft-Capital Outlay",2301cD,500000,0,0,500000,0
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Construction of Nueva Street to Espina Road Phase II-Capital Outlay,2301cg,850000,0,0,850000,0
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Construction of Road at Interior P. Reyes Extension Phase III-Capital Outlay,2301ch,850000,0,0,850000,0
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop",2301e,-,-,-,-,-
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Purok 4 Barangay Silop-Capital Outlay",2301ec,300000,300000,273025,0,26975
"Repair and Regraving of Tunga-Tunga Road to Dumping Site Road, Barangay Silop","Concreting of Barangay Road, Barangay Alegria-Capital Outlay",2301ed,449000,449000,289078.4,0,159921.6
"Concreting of Kaskag Roads, Barangay Washington","Concreting of Kaskag Roads, Barangay Washington",2301f,-,-,-,-,-
"Concreting of Kaskag Roads, Barangay Washington",Improvement of Access Road towards Landfill Site Phase I-Capital Outlay,2301fp,2000000,0,0,2000000,0
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,2301g,-,-,-,-,-
Repair and Regraving of Canlanipa to Nueva Street Barangay Canlanipa ,"Construction and Imprvement of Estero, Canlanipa Homes-Capital Outlay",2301gn,109550.21,109550.21,0,0,109550.21
Drainage,Drainage,2302,-,-,-,-,-
Drainage,"Construction, Repair or Improvement of San Juan Drainage- Capital Outlay",2302b,500000,500000,259127,0,240873
Drainage,"Construction, Improvement or Rehabilitation of City Drainage-Capital Outlay",2302c,1125000,1125000,652092.23,0,472907.77
Buildings ,Buildings ,2303,-,-,-,-,-
Buildings ,Construction of 3 Storey Government Building,2303b,-,-,-,-,-
Buildings ,Improvement of the City Tourism Assistance Center- Capital Outlay,2303bq,0,0,0,0,0
Buildings ,"Construction of Tourism Pavilion, Barangay Day-Asan-Capital Outlay",2303bR,500000,500000,375768,0,124232
Buildings ,Construction and Repair of Barangay Zaragosa Bahay Tourista-Capital Outlay,2303bs,700000,0,0,700000,0
