function_programs_projects_activities_1,function_programs_projects_activities_2,appropriations,allotments,obligations,unobligated_balances
"Irrigation,Cannals and Laterals",Repair or Improvement of Togbongon Dam and Main Canal,200000,200000,174098,10902
"Irrigation,Cannals and Laterals",Repair of Mat-I Canal irrigation System,500000,500000,495525,4475
"Irrigation,Cannals and Laterals","Construction or Improvement of Estero, Canlanipa Homes",200000,200000,186599.99,13400.01
"Irrigation,Cannals and Laterals","Declogging of Surigao City Drainage System, Barangay Washington and Taft",238000,238000,217786.22,0
"Irrigation,Cannals and Laterals",Construction or Repair or Improvement of San Juan Drainage,500000,500000,489575.64,10424.36
"Irrigation,Cannals and Laterals",Construction or Improvement or Rehabilitation of City Drainage,750000,750000,675173.35,2651.13
"Irrigation,Cannals and Laterals",Dredging of River Bank- Barangay Rizal,150000,150000,147389.3,0
Other Maintenance and Other Operating Expenses,Farm Mechanization Project,1422841.5,1422841.5,10555,1412286.5
Other Maintenance and Other Operating Expenses,Agricultural Support Development Program,1000000,1000000,832122,90878
Other Maintenance and Other Operating Expenses,Establishment of Plant Nursery,900000,900000,724531,120469
Other Maintenance and Other Operating Expenses,Agricultural Productivity Support Program,1500000,1500000,1280129,4871
Other Maintenance and Other Operating Expenses,Composting or Trichoderma,800000,800000,594487.05,155512.95
Other Maintenance and Other Operating Expenses,Vermiculture Center,750000,750000,621092.62,128907.38
Other Maintenance and Other Operating Expenses,Bangus Fish Cage Culture,1000000,1000000,848022,126978
Other Maintenance and Other Operating Expenses,Conservation and Protection,50000,50000,49540,460
Other Maintenance and Other Operating Expenses,Farmers Capability Building,100000,100000,54975,45025
Other Maintenance and Other Operating Expenses,Farmers and Fisherfolks Month Celebration,100000,100000,53696,46304
Other Maintenance and Other Operating Expenses,World Food Day Celebration,100000,100000,87090,12910
Other Maintenance and Other Operating Expenses,Cooperative Development,100000,100000,73045,26955
Other Maintenance and Other Operating Expenses,Strengthening of Rural Based organizations,150000,150000,96933,53067
Other Maintenance and Other Operating Expenses,Cottage Industry,150000,150000,89000,61000
Other Maintenance and Other Operating Expenses,Food or Fish Processing and Preservation,150000,150000,126750,23250
Other Maintenance and Other Operating Expenses,"Artificial Insemination and Natural Breed Services for Cattle, Carabao",650000,650000,572855.97,67144.03
Other Maintenance and Other Operating Expenses,Animal Production,296000,296000,112562.45,178437.55
Other Maintenance and Other Operating Expenses,Animal Health Promotion and Disease Control,1200000,1200000,721257.93,458742.07
Other Maintenance and Other Operating Expenses,Development Projects under Papaya and Masaganang Pamayanan,50000,50000,38769.72,11230.28
Other Maintenance and Other Operating Expenses,Meat Processing Project,250000,250000,153529.33,91470.67
Other Maintenance and Other Operating Expenses,Maintenance of Barangay Roads and Bridges,2200000,2200000,2066734.15,88265.85
Other Maintenance and Other Operating Expenses,Construction of Perimeter Fence of the Public Cemetery Barangay Mat-I,70000,70000,64611,5389
Other Maintenance and Other Operating Expenses,"Integrated Forest, Riverbank, Coastal Development and Management Project",1500000,1500000,1075490.87,424509.13
Other Maintenance and Other Operating Expenses,Operational Facility Enhancement Related Equipment,1500000,1500000,715865,784135
Other Maintenance and Other Operating Expenses,Development of River Cruise Activity at Banahaw River,300000,300000,0,300000
Other Maintenance and Other Operating Expenses,Traffic Management Enhancement Program,156770,156770,156770,0
Other Maintenance and Other Operating Expenses,"Installation of Streetlights at Purok 1, Barangay Mat-I",80000,80000,74610,5390
Other Maintenance and Other Operating Expenses,Improvement and Development of Street Lighting at Barangay Silop,140000,140000,5440,134560
Other Maintenance and Other Operating Expenses,Community Based Monitoring System,700000,700000,325883.75,349116.25
Other Maintenance and Other Operating Expenses,LGU-Equity for the Operation of City MRDP Project,2500000,2500000,1000000,1500000
Other Maintenance and Other Operating Expenses,Implementation of Land Administration and Management Project,700000,700000,285670.9,399329.1
Other Maintenance and Other Operating Expenses,Family Based Actions for Children and their Environs in the Slum Faces Project,50000,50000,0,50000
Other Maintenance and Other Operating Expenses,LGU-Equity to DAR Sport Project,200000,200000,199800,200
"Electrification, Power and Energy Structures",Installation and Repair of Street/Sodium Lights,1500000,1500000,1201431.29,298568.71
Breeding Stocks,Breeding Stocks,204000,204000,204000,0
Agricultural Supplies Expenses,Lobster Culture,1000000,1000000,824310,155690
Agricultural Supplies Expenses,Pocot Fishing Gear Paraphernalia,300000,300000,295074.76,4925.24
Agricultural Supplies Expenses,Lapu-Lapu Cage Culture,150000,150000,128906,21094
"Ports, Lighthouses and Harbors",Seawall and Causeway,250000,250000,193284.4,56715.6
Other Financial Charges,Term Loan with LBP Construction of Existing 3rd Floor Commercial Building,1600692.32,1600692.32,977450.09,0
Other Financial Charges,Term Loan Amortization with LBP Construction of Sanitary Landfill,7109601.97,7109601.97,4223540.27,36955.91
Other Financial Charges,Loan Amortization-Construction of Surigao City Waste Facility Phase II and Acquisition of Equipment,5166169.88,5166169.88,2727757.3,0
Other Financial Charges,Loan Amortization with DBP Acquisition of Heavy Equipment,5475827.92,5475827.92,2824691,105215.71
"Roads, Highways and Bridges",Construction of Road at Interior P. Reyes Extension Phase III,2000000,2000000,0,2000000
"Roads, Highways and Bridges",Rehabilitation of City Roads,400000,400000,0,400000
"Roads, Highways and Bridges",Repair of Bonifacio-Silop Phase II,44412,44412,42452,1960
"Roads, Highways and Bridges","Repair or Improvement of Timber Wharf, Barangay Buenavista",105588,105588,103783.28,1804.72
"Roads, Highways and Bridges",Re-Blocking of Barnagay Silop Road,100000,100000,0,100000
"Roads, Highways and Bridges",Concreting of Pathways of Different Barangays,240000,240000,240000,0
"Roads, Highways and Bridges","Construction and Improvement of Estero, Canlanipa Homes",200000,200000,186599.99,13400.01
"Roads, Highways and Bridges",Construction of Slope Protection for 5 Units Classroom Barangay Canlanipa,220000,220000,0,220000
"Roads, Highways and Bridges",Regravelling of Road toward Barangay Site and Barangay Orok,390000,390000,0,390000
"Roads, Highways and Bridges",Gravelling of Interior P. Reyes Extension Road,800000,800000,0,800000
"Roads, Highways and Bridges","Re-Gravelling of Barangay Sabang Road, Purok I",10000,10000,0,10000
"Roads, Highways and Bridges",Filing of 1 Unit School Building at Capalayan National High School,90000,90000,0,90000
"Roads, Highways and Bridges","Riprapping of Slope Protection at R. Ouano Mces Sito Cayutan, Barangay Cagniog",100000,100000,0,100000
"Roads, Highways and Bridges","Construction of Timber Bridge, Purok Zenia, Barangay Taft",21000,21000,0,21000
"Roads, Highways and Bridges",Repair of Sitio Perico Anomar Footbridge,100000,100000,0,100000
"Roads, Highways and Bridges",Re-Graving of Togbongon Barangay Road (Shoulder Junction) to Barangay San Roque,300000,300000,0,300000
"Roads, Highways and Bridges",Repair of Barangay San Roque Road,80000,80000,0,80000
"Roads, Highways and Bridges",Lot Acquisition for the Development Resettlement into a site,2880000,2880000,0,2880000
"Roads, Highways and Bridges",Construction of Line Canal at Purok 1-A Block 3 Barangay San Juan,40000,40000,0,40000
Other Structures,Construction of Golden Educators Building at City Hall Compound,231550.21,231550.21,203078,28472.21
Other Structures,Construction of Health Center,300000,300000,281008.9,8991.1
Other Structures,Construction or Repair of Day Care Center,300000,300000,132834,117166
Other Structures,"Construction, Completion, Repair and Improvement of Government and Other Public Buildings",1000000,1000000,849168.71,95831.29
Other Structures,Completion of GSP Building,100000,100000,86880,13120
Other Structures,Construction of Barangay Lipata Market,150000,150000,146890,3110
Other Structures,Construction of MRF Building Phase 1 Barangay Washington,150000,150000,131322,18678
Other Structures,Construction of MTP Building and Covered Court Phase 1 Barangay Manjagao,150000,150000,144488,5512
Other Public Infrastructures,Local Countryside Development Program,2000000,2000000,1748026.82,231973.18
Other Public Infrastructures,Completion of Police Outpost Barangay Sabang,60000,60000,0,60000
Other Public Infrastructures,Improvement of Different School Buildings,323000,323000,0,323000
Other Public Infrastructures,Repair and Repainting of Livelihood Training and Productivity Center,150000,150000,0,150000
Other Public Infrastructures,Repair of 6 Units Classroom Ipil National High School-Barangay Ipil,232600,232600,0,232600
Other Public Infrastructures,Repair of School Building at Lipata E/S Barangay Lipata,285000,285000,0,285000
Other Public Infrastructures,Repair of E/S Building Barangay Sabang,90000,90000,0,90000
Other Public Infrastructures,Repair of Covered Court Barangay Cagutsan,200000,200000,0,200000
Other Public Infrastructures,"Completion of Covered Court, Sitio Mahayahay Purok 1, Barangay Silop",160000,160000,0,160000
Hospitals and Health Centers,Reconstruction of Barangay Buenavista Health Center,490000,490000,121362.91,368637.09
Hospitals and Health Centers,Extension of Day Care Center Canlanipa Homes,240000,240000,0,240000
School Buildings,Improvement of Roberta Quano Memorial E/S Barangay Cagniog,150000,150000,0,150000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Water System,500000,500000,473758.77,26241.23
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Completion of Water Supply Project Level 11, Barangay Alegria",410000,410000,0,410000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of San Pedro Water System,350000,350000,47177.16,267822.84
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Catadman Water System,200000,200000,3860.74,196139.26
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Nabago Water System,350000,350000,13385.72,326614.28
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Poctoy Water System,350000,350000,13940,326060
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Mabini Water System,350000,350000,21274.29,318725.71
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Construction and Development of Water Facility, Balibayon, Barangay Rizal",20000,20000,19890,110
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Repair and Improvement of Potable Water System Level 11, Barangay Sugbay",340000,340000,0,340000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Manjagao Water System,350000,350000,0,350000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cagutsan Water System,350000,350000,20990,329010
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Nonoc Water System,350000,350000,45394.14,274605.86
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cantiasay Water System,350000,350000,31234.72,293765.28
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Completion of Potable Water System Level 11 Barangay San Jose,378000,378000,370534.52,7465.48
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Completion of Potable Water System Level 11 Sitio Dacuman, Ipil",250000,250000,0,250000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Rehabilitation of Kabuwason, Ipil Water System",350000,350000,19476.11,320523.89
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Danao Water System,350000,350000,28930.78,301069.22
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Rehabilitation of Cagniog Water System,173630,173630,0,173630
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Replacement of Jetmatic Machine at Purok 2, Barangay Sabang",5000,5000,0,5000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Repair of Jetmatic Machine and Pipes at Purok 4, Barangay Sabang",5000,5000,0,5000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Water System at Purok 2, Barangay Trinidad",100000,100000,0,100000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits",Installation of Water Pipeline Barangay Buenavista Phase 1,160000,160000,0,160000
"Artesian Wells, Reservoirs, Pumping Stations and Conduits","Rehabilitation of Water System at Memces, Suces, Nmes and Pilot Elementary School",50000,50000,27015,22985
