function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,account_code,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotments
Grand Total,Grand Total,-,80901508.42,"66,027,322,08",48881026.2,14874186.34,17146295.88
Current Year Appropriations,Current Year Appropriations,-,-,-,-,-,-
Current Year Appropriations,Maintenance and Other Operating Expenses ,-,25105774.5,18066774.5,12812494.06,7039000,5254280.44
Current Year Appropriations,Financial Expenses ,-,25513783.81,23192420.53,19633243.77,2321363.28,3559176.76
Current Year Appropriations,Capital Outlay ,-,30281950.11,24768127.05,16435288.37,5513823.06,8332838.68
Agricultural Development Program,Agricultural Development Program,2100,-,-,-,-,-
Farm Mechanization Project-Maintenance and Other Operating Expenses ,Farm Mechanization Project-Maintenance and Other Operating Expenses ,2102,515000,515000,397900.3,0,117099.7
Farm Mechanization Project-Capital Outlay ,Farm Mechanization Project-Capital Outlay ,2102,0,0,0,0,0
Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,Establishment of Plant Nursery -Maintenance and Other Operating Expenses ,2104,788841.5,788841.5,696721.71,0,92119.79
Fishery Sector Development,Fishery Sector Development,2106,-,-,-,-,-
Fishery Sector Development,Strategic Agri-Fishery and Agro-Industrial Development Program-Maintenance and Other Operating Expenses,2106j,1250000,1250000,976151.94,0,273848.06
Fishery Sector Development,Fisheries Aqua or Mariculture and Coastal Resources Development-Maintenance and Other Operating Expenses,2106k,2000000,2000000,1713862.55,0,286137.45
Fishery Sector Development,Seawall And Causeway - Capital Outlay,2109,500000,0,0,500000,0
Loan Amortization,Loan Amortization,2110,-,-,-,-,-
Loan Amortization,Term Loan with LBP-Construction of Existing 3rd Floor Commercial Building -Financial Expenses ,2110J,1525293.31,1525293.31,971155.12,0,554138.19
Loan Amortization,Term Loan Amortization with LBP - Construction of Sanitary Landfill-Financial Expenses,2110M,6791705.68,6791705.68,5517754.33,0,1273951.35
Loan Amortization,Loan Amortization- Construction of Surigao City Waste Facility(Phase II) and Aquisition of Equipment-Financial Expenses,2110Q,4492107.22,2170743.95,2160664.06,2321363.27,10079.89
Loan Amortization,Loan Amortization with DBP-Aquisition of Heavy Equiptment-Financial Expense,2110r,12704677.6,12704677.59,10983670.26,0.01,1721007.33
Extension and On-Site Research Services ,Extension and On-Site Research Services ,2111,-,-,-,-,-
Extension and On-Site Research Services ,Extension Research and Institutional Support Services-Maintenance and Other Operating Expenses,2111M,500000,328000,250210,172000,77790
Rural Livelihood Financial Support,Rural Livelihood Financial Support,2112,-,-,-,-,-
Rural Livelihood Financial Support,Cooperative Development-Maintenance and Other Operating Expenses,2112B,0,0,0,0,0
Rural Livelihood Financial Support,Micro-Enterprise Development -Maintenance and Other Operating Expenses,2112F,300000,300000,206312,0,93688
Livestock Development ,Livestock Development ,2113,-,-,-,-,-
Livestock Development ,"Artificial Insemination and Natural Breed Services For Cattle, Carabao-Maintenance and Other Operating Expenses",2113C,650000,590500,568608.03,59500,21891.97
Livestock Development ,Animal Production-Maintenance and Other Operating Expenses,2113F ,600000,550000,446070.58,50000,103929.42
Livestock Development ,Animal Health Promotion and Disease Control-Maintenance and Other Operating Expenses ,2113G,1200000,1100000,1014109.14,100000,85890.86
Others,Others,2199,-,-,-,-,-
Others,LGU - Equity of DAR or Spot Projects-Maintenance and Other Operating Expenses,2199M,350000,350000,320243.25,0,29756.75
Others,Local Countryside Development Program-Capital Outlay,2199N,0,0,0,0,0
Others,Infrastructure Development Support Project-Capital Outlay,2199Na,3993987.37,3993987.37,1297149.86,0,2696837.51
Veterinary Support Program,Veterinary Support Program,2200,-,-,-,-,-
Veterinary Support Program,Meat Processing Project-Maintenance and Other Operating Expenses,2201,250000,162500,99886.93,87500,62613.07
Infra Programs,Infra Programs,2300,-,-,-,-,-
Roads and Bridges ,Roads and Bridges ,2301,-,-,-,-,-
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Barangay Infrastructure Development Programs or Projects-Capital Outlay ,23012,4300000,4300000,3880173.33,0,419826.67
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Maintenance of Barangay Roads and Bridges-Maintenance and Other Operating Expenses,2301C,3153433,3053433,2407389.03,100000,646043.97
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,"Construction of Road at Interior P. Reyes Extension Phase I, Barangay Taft-Capital Outlay",2301cD,500000,0,0,500000,0
Barangay Infrastructure Development Programs or Projects-Capital Outlay ,Construction of Nueva Street to Espina Road Phase II-Capital Outlay,2301cg,850000,600000,567860.82,250000,32139.18
