project_or_project_1,project_or_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Construction Of Health Center,-,300000,Jan. 2014,-,-,0,-,-
Social Development,Construction or Repair Of Day Care Center,-,300000,Jan. 2014,-,-,98565.71,-,-
Social Development,Water System,-,500000,Jan. 2014,-,-,56330.7,-,-
Social Development,Installation and Repair Of Street or  Sodium Lights,Sitio Bioborjan,2000000,Jan. 2014,-,-,1803500,-,-
Social Development,Rehabilitation or Replacement Of Corroded Lamp Post,-,1000000,Jan. 2014,-,-,0,-,-
Social Development,Lgu Equity On Special DevelopmentProject Bottom-Up-Budgeting,-,8000000,Jan. 2014,-,-,300000,-,-
Social Development,Lgu Equity On Special Day Development Project-Masicap,-,300000,Jan. 2014,-,-,0,-,-
Social Development,Lgu Equity On Special Day Development Project-Pamana,-,100000,Jan. 2014,-,-,0,-,-
Social Development,Upgrading Of Clinical Laboratory Including Drug Testing,-,500000,Jan. 2014,-,-,409480,-,-
Social Development,Construction Of 2 Birthing Home Clinic,Brgy. San Jose and Brgy. Mat-I,600000,Jan. 2014,-,-,405119.36,-,-
Social Development,"Construction Of 11 Health Centers at 500,000.00 Each",-,2500000,Jan. 2014,-,-,649340.84,-,-
Social Development,"Upgrading and Rehabilitation Of 4 Health Centers at 400,000.00 Each",-,800000,Jan. 2014,-,-,195770.94,-,-
Social Development,Lot Acquisition For Construction Of Health Ctrs. At 9 Brgys.,-,800000,Jan. 2014,-,-,0,-,-
Economic Development,Term Loan W or  Lbp-Construction Of Existing 3Rd Flr. Comml. Bldg.,-,1437116.28,-,-,-,456179.03,-,-
Economic Development,Loan Amortization W or Dbp-Acquisition Of Heavy Equipment,-,16917830,-,-,-,11130869.51,-,-
Economic Development,"Artificial Insemination And Natural Breed Services For Cattle, Carabao",-,650000,Jan. 2014,-,-,208283.71,-,-
Economic Development,Animal Production,-,200000,Jan. 2014,-,-,23200,-,-
Economic Development,Animal Health Promotion And Disease Control,-,1200000,Jan. 2014,-,-,70364.45,-,-
Economic Development,Infrastructure Development Support Project,-,3610668.35,Jan. 2014,-,-,2034478.7,-,-
Economic Development,Meat Processing Project,-,200000,Jan. 2014,-,-,2677.5,-,-
Economic Development,Brgy. Infra. Development Prog. or Projects,-,1800000,Jan. 2014,-,-,857596.63,-,-
Economic Development,Maint. Of Brgy. Roads And Bridges,-,2450000,Jan. 2014,-,-,312150.4,-,-
Economic Development,"Conc. Of Kaskag Rd., Brgy. Washington and Purok 6 Rd., Brgy. San Juan",Brgy. Washington and Brgy. San Juan,1800000,Jan. 2014,-,-,791461.32,-,-
Economic Development,Construction Of Sur. City Mtpbldg. (Phase I),-,11035000,Jan. 2014,-,-,0,-,-
Economic Development,Lgu Equity On Phil. Rural Development Prog. (Prdp),-,1000000,Jan. 2014,-,-,0,-,-
Economic Development,Repair Of Danao Cip,Brgy. Danao,300000,Jan. 2014,-,-,6268.75,-,-
Economic Development,"Repair Of Biga, Mat-I Cip",Brgy. Mat-i,300000,Jan. 2014,-,-,5059.98,-,-
Economic Development,Repair Of Nabago Cip,Brgy. Nabago,600000,Jan. 2014,-,-,13260,-,-
Economic Development,Repair Of Mabini Cip,Brgy. Mabini,600000,Jan. 2014,-,-,269220,-,-
Economic Development,Establishment Of Plant Nursery,-,150000,Jan. 2014,-,-,49250,-,-
Economic Development,Vermiculture Center,-,250000,Jan. 2014,-,-,156860,-,-
Economic Development,Organic Fertilizer and Pesticide Production and Prom.,-,250000,Jan. 2014,-,-,775,-,-
Economic Development,Safidev Covered Prog.,-,300000,Jan. 2014,-,-,28900,-,-
Economic Development,Non Safidev Cov. Prg.,-,250000,Jan. 2014,-,-,22947.9,-,-
Economic Development,Bangus Fish Cage Culture,-,300000,Jan. 2014,-,-,175005,-,-
Economic Development,Construction and Installation Of Acr,-,100000,Jan. 2014,-,-,0,-,-
Economic Development,Seawall and Causeway,-,500000,Jan. 2014,-,-,0,-,-
Environmental Management,Term Loan Amortization W or Lbp-Construction Of Sanitary Landfill,-,6425284.25,-,-,-,3017274.09,-,-
Environmental Management,Loan Amortization-Construction Of Sur. City Waste Facility (Phase II) and Acquisition Of Equipment,-,3993566.12,-,-,-,1181317.02,-,-
Environmental Management,Construction or Improvement or Rehabilitation Of City Drainage,-,1000000,Jan. 2014,-,-,154784.93,-,-
Environmental Management,Lot Acquisition For Sanitary Landfill,-,550000,Jan. 2014,-,-,0,-,-
Environmental Management,Development or Construction Of One Cell As Designate Hazardous Waste,-,400000,Jan. 2014,-,-,0,-,-
Environmental Management,Develop Water Source (Deepwell) W or  In Slf,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Perimeter Fencing Of Surigao Waste Treatment Facility,-,500000,Jan. 2014,-,-,498326.73,-,-
Environmental Management,Purchases Of New Garbage Truck (Compactor),-,1500000,Jan. 2014,-,-,0,-,-
Environmental Management,Fabrication Of Push Cart,-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Install. and Fabrication Of Mobile (Mrf),-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Development Of Cell,-,800000,Jan. 2014,-,-,0,-,-
Environmental Management,Purchase Of Smoke Belching Equipment,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Solid Waste Mngt.,-,300000,Jan. 2014,-,-,0,-,-
Environmental Management,Maint. Of Sanitary Landfill,-,1350000,Jan. 2014,-,-,0,-,-
Grand Total,Grand Total,-,81319465,-,-,-,25384618.2,-,-
