program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Social Development,Const. of Health Center,-,300000,Jan. 2014,-,-,0,-,-
Social Development,Const. or Repair of Day Care Center,-,300000,Jan. 2014,-,-,137555,-,-
Social Development,Water System,-,500000,Jan. 2014,-,-,443118.2,-,-
Social Development,Inst. And repair of Street or Sodium Lights,Sitio Bioborjan ,2000000,Jan. 2014,-,-,0,-,-
Social Development,Rehab or replacement of Corroded Lamp post,-,1000000,Jan. 2014,-,-,0,-,-
Social Development,LGU Equity on SPL Dev. Project Bottom Up Budgeting,-,8000000,Jan. 2014,-,-,0,-,-
Social Development,LGU Equity on Special Day Dev't. Project- Masicap,-,300000,Jan. 2014,-,-,300000,-,-
Social Development,LGU Equity on Special Day Dev't. Project- Pamana,-,100000,Jan. 2014,-,-,0,-,-
Social Development,Upgrading of Clinical Laboratory Including Drug Testing,-,500000,Jan. 2014,-,-,0,-,-
Social Development,Const. of 2 Birthing Home Clinic,Brgy.  San Jose and Brgy. Mat-I,600000,Jan. 2014,-,-,0,-,-
Social Development,Const. of 11 Health Centers at 500000 each,-,2500000,Jan. 2014,-,-,963099.51,-,-
Social Development,Upgrading and Rehab of 4 Health Centers at 400000 each,-,800000,Jan. 2014,-,-,0,-,-
Social Development,Lot Acquisition for Const. of Health Centers at 9 Brgys,-,800000,Jan. 2014,-,-,0,-,-
Economic Degvelopment,Term Loan with LBP- Const. of 3rd Flr. Comml. Bldg.,-,1437116.28,-,-,-,0,-,-
Economic Degvelopment,Loan Amort. With DBP- Acquisition of Heavy Equipment,-,16917830,-,-,-,0,-,-
Economic Degvelopment,"Artificial Insemnination and Natural Breed Services for Cattle, Carabao",-,650000,Jan. 2014,-,-,153035.04,-,-
Economic Degvelopment,Animal Production,-,200000,Jan. 2014,-,-,20740,-,-
Economic Degvelopment,Animan Health Promotion and Disease Control,-,1200000,Jan. 2014,-,-,349217.11,-,-
Economic Degvelopment,Infrastructure Dev't Support Project,-,3610668.35,Jan. 2014,-,-,24397,-,-
Economic Degvelopment,Meat Processing Project,-,200000,Jan. 2014,-,-,12664.65,-,-
Economic Degvelopment,Brgy. Infra. Dev't. Prog. Or Projects,-,1800000,Jan. 2014,-,-,632310.05,-,-
Economic Degvelopment,Maint. Of Brgy Roads and Bridges,-,2450000,Jan. 2014,-,-,1051348.03,-,-
Economic Degvelopment,"Conc. Of Kaskag rd., Brgy. Washington and Purok 6 rd., Brgy. San Juan",Brgy. Washington and Brgy. Brgy. San Juan,1800000,Jan. 2014,-,-,1002891.35,-,-
Economic Degvelopment,Const. of Sur. City MTPBLDG. (phase I),-,11035000,Jan. 2014,-,-,0,-,-
Economic Degvelopment,LGU Equity on Phil. Rural Dev't Prog. (PRDP),-,1000000,Jan. 2014,-,-,0,-,-
Economic Degvelopment,Repair of Danao Cio,Brgy. Danao,300000,Jan. 2014,-,-,211955,-,-
Economic Degvelopment,"Rep. of Biga, Mat-I Cip",Brgy. Mat-I,300000,Jan. 2014,-,-,130200,-,-
Economic Degvelopment,Rep. of Nabago Cip,Brgy. Nabago,600000,Jan. 2014,-,-,584525,-,-
Economic Degvelopment,Rep.of Mabini Cip,Brgy. Mabini,600000,Jan. 2014,-,-,324235,-,-
Economic Degvelopment,Establishment of Plant Nursery,-,150000,Jan. 2014,-,-,46679.65,-,-
Economic Degvelopment,Vermiculture Center,-,250000,Jan. 2014,-,-,26180,-,-
Economic Degvelopment,Organic Fertilizer and Pesticide Production and Prom.,-,250000,Jan. 2014,-,-,162550,-,-
Economic Degvelopment,Safidev Covered Prog.,-,300000,Jan. 2014,-,-,238862,-,-
Economic Degvelopment,Non Safidev Cov. Prg.,-,250000,Jan. 2014,-,-,62730,-,-
Economic Degvelopment,Bangus Fish Cage Culture,-,300000,Jan. 2014,-,-,86530,-,-
Economic Degvelopment,Const. and Inst. Of Acr,-,100000,Jan. 2014,-,-,89915,-,-
Economic Degvelopment,Seawall and Causeway,-,500000,Jan. 2014,-,-,0,-,-
Environmental Management,Term LoanAmort. With LBP- Const. of Sanitary Landfill,-,6425284.25,-,-,-,0,-,-
Environmental Management,Loan Amort.- Const. of Sur. City Waste Facility (Phase II) and Acquisition of Equipment,-,3993566.12,-,-,-,0,-,-
Environmental Management,Conts. Or Improv. Or Rehab. Of City Drainage,-,1000000,Jan. 2014,-,-,260037.93,-,-
Environmental Management,Lot Acquisition for Sanitary Landfill,-,550000,Jan. 2014,-,-,0,-,-
Environmental Management,Dev't or Const. of One cell as Designate Hazardous Waste,-,400000,Jan. 2014,-,-,0,-,-
Environmental Management,Develop water source (Deepwellk) with in SLF,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Perimeter Fencing of Surigao Waste Treatment Facility,-,500000,Jan. 2014,-,-,0,-,-
Environmental Management,Purchase of New Garbase Truck (Compactor),-,1500000,Jan. 2014,-,-,0,-,-
Environmental Management,Fabrication of Push Cart,-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Install. And Fabrication of Mobile (MRF),-,100000,Jan. 2014,-,-,0,-,-
Environmental Management,Development of Cell,-,800000,Jan. 2014,-,-,0,-,-
Environmental Management,Purchase of Smoke Belching Equipment,-,200000,Jan. 2014,-,-,0,-,-
Environmental Management,Solid Waste Management,-,300000,Jan. 2014,-,-,120000,-,-
Environmental Management,Maint. Of Sanitary Landfill,-,1350000,Jan. 2014,-,-,0,-,-
Grand Total,Grand Total,-,81319465,-,-,-,7434775.52,-,-
