particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from other sources,total
Sources of Funds,Current Appropriations,40620000,94780000,-,-,-,135400000
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to TF-CY 2011,-,7730.03,-,-,-,7730.03
Sources of Funds,CY 2012,-,2443.82,-,-,-,2443.82
Sources of Funds,CY 2013,-,31145634,-,-,-,31145634
Total Funds Available,Total Funds Available,40620000,125935807.9,-,-,-,166555807.9
Utilizations,Transfer to LGU,-,-,-,-,-,-
Utilizations,Cash Donations-Fire Victims,2640000,-,-,-,-,2640000
Utilizations,Medicines,-,-,-,-,-,-
Utilizations,Other Supplies,-,13354000,-,-,-,13354000
Utilizations,Food Supplies,-,10997019.4,-,-,-,10997019.4
Utilizations,Repair of Evacuation Center,-,-,-,-,-,-
Utilizations,Trainings,-,6146728,-,-,-,6146728
Utilizations,Construction of Evacuation Cr.,-,-,-,-,-,-
Utilizations,Equipment,-,61022935,-,-,-,61022935
Total Utilization,Total Utilization,2640000,91520682.4,-,-,-,94160682.4
Unutilized Balance,Unutilized Balance,37980000,34415125.45,-,-,-,72395125.45
