item_number,particulars,title_of_program_or_projector_activity,description_of_program_or_projector_activity_1,description_of_program_or_projector_activity_2,location,project_cost,implementing_office_or_department,obligation,implementation,status_completed_or_on-going,balance,starting_date_or_completion_date
1,General Public Service,Loan Amortization of City Hall,Installment of Loan amortization,Installment of Loan amortization,"City Hall, Cabid-an Sorsogon City",9150769.13,City Mayor's Office,8722648.41,By Administration,On-going,428120.2,Oct. to Dec. 2012
2,General Public Service,Traffic Lights and Signages,No transaction yet,No transaction yet,-,20000,CEO or CPIO,-,-,-,-,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"BDL Santos Construction and Supply- Payment for the extension of 3-phase primary lines to Sorsogon City Slaughterhouse and Cold Storage, at Sitio Madam-an, San Juan Roro East District, Sorsogon City","BDL Santos Construction and Supply- Payment for the extension of 3-phase primary lines to Sorsogon City Slaughterhouse and Cold Storage, at Sitio Madam-an, San Juan Roro East District, Sorsogon City","San Juan, Roro, East Dist., Sor. City",32553566.04,City Mayor's Office,13251.19,By Administration,Completed,32540314.85,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment for the electrical Materials for use in the repair and maintenance Of street lights and Lamp Post along Rizal St., Magsaysay St., Calle Nueva, De Vera St. to Pier BurgosSt., Diversion Road, City Hall and Junction Cabid-an and Abuyog, Sorsogon City","Payment for the electrical Materials for use in the repair and maint. Of street lights and Lamp Post along Rizal St., Magsaysay St., Calle Nueva, De Vera St. to Pier BurgosSt., Diversion Road, City Hall and Junction Cabid-an and Abuyog, Sor. City","Rizal TS. Magsaysay St. Calle Nueva, De Vera St. to Pier Burgos St., Diversion Road, City Hall and Junction Cabid-an and Abuyog, Sor. City",32540314.85,City Mayor's Office,604775,By Administration,Completed,31935539.85,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment for the Installation of lamp post and welcome arc  along bacon beach resort, , Barangay Caricaran, bacon Dist., Sorsogon City","Payment for the Installation of lamp post and welcome arc  along bacon beach resort, , Barangay Caricaran, bacon Dist., sor. City","Bacon Beach Resort, Barangay Caricaran, Bacon District",31935539.85,City Mayor's Office,592222,By Administration,On-going,-,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment of Mat'l., cost for the concrete topping of existing access road at Barangay Sulucan, east dist., Sorsogon, City","Payment of Mat'l., cost for the concrete topping of existing access road at Barangay Sulucan, east dist., sor., City","Sulucan, East Dist. Sor. City",31343317.85,City Mayor's Office,78825.5,By Administration,Not Yet Started,-,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment of Mat'l., cost for the concrete topping of existing access road at Barangay Sulucan, east dist., Sorsogon City",Labor Cost,-,31264492.35,City Mayor's Office,27588.92,-,-,-,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment of Material cost for the multi-purpose pavement at Brgy San Roque Bacon, Dist., Sorsogon City","Payment of Material cost for the multi-purpose pavement at Brgy San Roque Bacon, Dist., Sor. City","San Roque, Bacon Dist, Sor. City",31236903.43,City Mayor's Office,223903.5,By Administration,Completed,31012999.93,Dec. 2012
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"Payment of Material cost for the multi-purpose pavement at Brgy San Roque Bacon, Dist., Sorsogon City",Labor Cost,-,31012999.93,CMO,93691.05,By Administration,-,30919308.88,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,Jerao Builders and Surveying Office- Payment of Engineering works and survey,Jerao Builders and Surveying Office-Payment of Engineering works and survey,Various Places of Sorsogon City,30919308.88,CMO,490000,-,Completed,30429308.88,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,NJNY Construction and Supply- Payment for the Purchase of construction materials for use in the fabrication of road signs framing and pedestals at Sorsogon city,NJNY Construction and Supply- Payment for the Purchase of construction materials for use in the fabrication of road signs framing and pedestals at Sorsogon city,Sorsogon City,30429308.88,CMO,209243,By Administration,-,30220065.88,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,Payment for the Purchase of Standard Reflectiorized road sign markers at Sorsogon city,Payment for the Purchase of Standard Reflectiorized road sign markers at sorsogon city,Sorsogon City,30220065.88,CMO,398500,By Administration,Completed,29821565.88,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"NJNY Construction and Supply- Payment for the material cost for te improvement or additional work at multi-purpose bldg. at Pilot Elem. School, Brgy Talisay, Sorsogon City","NJNY Construction and Supply-Payment for the material cost for te improvement or additional work at multi-purpose bldg. at Pilot Elem. School, Brgy Talisay, Sor. City","Piltot Elem. Sch. Barangay Talisay, West Dist. Sor. City",29821565.88,CMO,223706,By Administration,-,29597859.38,-
4,General Public Service,Rehabilitation or Improvement of Various City Government Structures and Facilities,"NJNY Construction and Supply- Payment for the material cost for te improvement or additional work at multi-purpose bldg. at Pilot Elem. School, Brgy Talisay, Sorsogon City",Labor Cost,-,29597859.38,CMO,80334,-,-,29517524.4,-
