item_number,title_of_program_project_activity,description_of_program_project_activities_1,description_of_program_project_activities_2,location,project_cost,implementing_office_or_department,obligation,implementation,status_completed_or_on_going,balance,starting_date_or_completion_date
1,Loan Amortization of City Hall,LBP-Sorsogon City Branch- Payment for the monthly loan amortization of LGU,LBP-Sorsogon City Branch- Payment for the monthly loan amortization of LGU,"City Hall, Cabid-an Sorsogon City",38000000,City Mayor's Office,8978416.6,By Administration,On-going,29021583.4,January-march/2012
2,Various Infrastructure Projects,"Payment for the permits, clearances and various expenses for the proposed interfaith cemetery.","Payment for the permits, clearances and various expenses for the proposed interfaith cemetery.",Interfaith Cemetery,10034520.74,City Mayor's Office,62889.29,By Administration,-,9971631.45,Not Yet Started
2,Various Infrastructure Projects,"Cash Advances for the permits and clearances for the ""AA"" slaughterhouse land conversion.","Cash Advances for the permits and clearances for the ""AA"" slaughterhouse land conversion.","""AA"" Slaughterhouse",9971631.45,-,54600,-,-,9917031.45,-
2,Various Infrastructure Projects,"Payment of material cost for the construction of concrete pathway at various purok, Barangay Salvacion, west district, Sorsogon City.","Payment of material cost for the construction of concrete pathway at various purok, Barangay Salvacion, west district, Sorsogon City.","Barangay Salvacion West, District, Sorsogon City",9917031.45,City Mayor's Office,61318,By Administration,Completed,9855713.45,-
2,Various Infrastructure Projects,Various Infrastructure Projects,Labor Cost,-do-,9855713.45,-,38682,-,-,9817031.45,-
2,Various Infrastructure Projects,"Payment of material cost for the Rehab or Reblocking of concrete pathway and Rehab or Improvement of Drainage Canal at various purok, brgy, Sirañgan, East District.","Payment of material cost for the Rehab or Reblocking of concrete pathway and Rehab or Improvement of Drainage Canal at various purok, brgy, Sirañgan, East District.","Barangay Sirañgan, East District, Sorsogon City",9817031.45,City Mayor's Office,62064.5,By Administration,-,9754966.95,Not Yet Started
2,Various Infrastructure Projects,Various Infrastructure Projects,Labor Cost,-do-,9754966.95,-,37935.5,-,-,9717031.45,-
2,Various Infrastructure Projects,"Payment of material cost for the Rehab or Reblocking of concrete pathway at purok 4, brgy, piot, west district.","Payment of material cost for the Rehab or Reblocking of concrete pathway at purok 4, brgy, piot, west district.","Barangay Piot,West District, Sorsogon City",9717031.45,City Mayor's Office,59247,By Administration,Completed,9657784.45,-
2,Various Infrastructure Projects,Various Infrastructure Projects,Labor Cost,-do-,9657784.45,-,40753,-,-,9617031.45,-
2,Various Infrastructure Projects,"Payment of labor cost for the construction of spillway at bariis, Cabid-an East, District, Sorsogon City.","Payment of labor cost for the construction of spillway at bariis, Cabid-an East, District, Sorsogon City.","Barangay Cabid-,East District, Sorsogon City",9617031.45,CEO or CMO,27289.46,By Administration,Completed,9589741.99,-
2,Various Infrastructure Projects,"Payment of labor cost for the construction of spillway at bariis, Cabid-an East, District, Sorsogon City.","Payment of labor cost for the construction of spillway at bariis, Cabid-an East, District, Sorsogon City.","Barangay Cabid-,East District, Sorsogon City",9589741.99,-,49837.95,-,-,9539904.04,-
2,Various Infrastructure Projects,"Payment of labor cost for the concreting pathway at B7, P3, L2, Seabreeze Homes, Cabid-an, East District. Sorsogon City.","Payment of labor cost for the concreting pathway at B7, P3, L2, Seabreeze Homes, Cabid-an, East Dist. Sorsogon City.","Barangay, Seabreeze Cabid-,East District, Sorsogon City",9539904,CEO or CMO,26459.65,By Administration,On-going,9513444.35,-
2,Various Infrastructure Projects,"Payment of material cost for the concreting pathway at B7, P3, L2, Seabreeze Homes, Cabid-an, East District Sorsogon City.","Payment of material cost for the concreting pathway at B7, P3, L2, Seabreeze Homes, Cabid-an, East District Sorsogon City.","Barangay, Seabreeze Cabid-,East District, Sorsogon City",9513444.35,-,75599,By Administration,-,9437845.35,-
