function_programs_project_activity_1,function_programs_project_activity_2,function_programs_project_activity_3,appropriations,allotments,obligations,balance_of_appropriation,unobligated_balance
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Prevention and Mitigation,Emergency support services program,7000000,7000000,3500000,0,3500000
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Prevention and Mitigation,Hazard mapping,300000,-,-,300000,0
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Preparedness,Institutional Support to DRRM Center,904731,904731,421895.66,0,482835.34
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Preparedness,Contingency Planning,150000,75000,40390,75000,34610
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Preparedness,Installation of Early Warning System,150000,150000,-,0,150000
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Preparedness,Search and Rescue Project,2700000,2000000,1064000,700000,936000
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Preparedness,Stock Filing  Activities (Food and Non-food Items),1000000,500000,430372,500000,69628
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Response,Mobilization of Emergency Response prog.,115000,-,-,115000,0
"5% LDRRM - 70%Preparedness, Mitigation, Response and Rehabilitation",Rehabilitation,Provision of Financial Assistance,200000,-,-,200000,0
5% LDRRM - 30% for Quick Response Fund,5% LDRRM - 30% for Quick Response Fund,5% LDRRM - 30% for Quick Response Fund,5365599,3400000,3025031.45,1965599,374968.55
Total,Total,Total,17885330,14029731,8481689.11,3855599,5548041.89
