category,function_program_project_activity,appropriation,allotment,obligations,unobligated_balance
Post,20% Econimic Development Fund,-,-,-,-
Post,Barangay Infrastructure Support,5299978.24,5299978.24,5299978.24,-
Post,Project Counterparting Fund,500000,500000,500000,-
Post,Maintenance of City Roads,500000,500000,500000,-
Post,Maintenance of Barangay Roads,496089.16,496089.16,496089.16,-
Post,Maintenance of Public Building,161736.69,161736.69,161736.69,-
Post,Interlocal Government Developmentand Alliances Initiative,299954.66,299954.66,299954.66,-
Post,School Building Project Counterparting FundImprovement of Health Center and Birthing Hospital,500000,500000,332298.1,167701.9
Post,Improvement of Health Center and Birthing Hospital,1500000,1500000,357309.25,1142690.75
Post,Community Based Water Sourced Development Project,300000,300000,216750,83250
Post,"Mobilizing Stakeholders for Housing Land Development - Roads, Drainage, Flood",1499718.17,1499718.17,1499718.17,-
Post,Institutional Development Suport,171224.71,171224.71,171224.71,-
Post,Irrigation Counterparting Development Project,500000,500000,-,500000
Post,"Construction, Rehabilitation and Improvement of Local +",23378960,23378960,23378960,-
Post,Rural Infrastructure Component,1000000,1000000,500000,500000
Post,CFAD Component,2500000,2500000,2500000,-
Post,Institutional Support,183913,183913,183913,-
Post,Coastal Fishery Res. Management,199931,199931,199931,-
Post,Est. of Tandag Livelihood and Fishport Facilities,500000,500000,-,500000
Post,Barangay Livelihood Support Project,10500000,10500000,-,10500000
Post,Watershed Developemnt and Improvement Management,199453,199453,199453,-
Post,Program for Tandag Investment and Incentives Promotion,300000,300000,300000,-
Post,Linugao and Mancagangi Island Eco-Tourism and Development Project,2000000,2000000,2000000,-
Post,Ecological Solid Waste Managament Proejct,1995186.36,1995186.36,1995186.36,-
Post,Construction and Improvement of Drainage System,3000000,3000000,3000000,-
Post,Total,57486144.99,57486144.99,44092502.34,13393642.65
Pre-Closing,20% Econimic Development Fund,-,-,-,-
Pre-Closing,Barangay Infrastructure Support,5300000,5300000,5299987.24,21.76
Pre-Closing,Project Counterparting Fund,500000,500000,500000,-
Pre-Closing,Maintenance of City Roads,500000,500000,500000,-
Pre-Closing,Maintenance of Barangay Roads,500000,5000000,496089.16,3910.84
Pre-Closing,Maintenance of Public Building,187653.14,187653.14,161736.69,25916.45
Pre-Closing,Interlocal Government Developmentand Alliances Initiative,300000,300000,299954.66,45.34
Pre-Closing,School Building Project Counterparting FundImprovement of Health Center and Birthing Hospital,500000,500000,332298.1,167701.9
Pre-Closing,Improvement of Health Center and Birthing Hospital,1500000,1500000,357309.25,1142690.75
Pre-Closing,Community Based Water Sourced Development Project,300000,300000,216750,83250
Pre-Closing,"Mobilizing Stakeholders for Housing Land Development - Roads, Drainage, Flood",1500000,1500000,1499718.17,281.83
Pre-Closing,Institutional Development Suport,200000,200000,171224.71,28775.29
Pre-Closing,Irrigation Counterparting Development Project,500000,500000,-,500000
Pre-Closing,"Construction, Rehabilitation and Improvement of Local +",23379200,23379200,23378960,240
Pre-Closing,Rural Infrastructure Component,1000000,1000000,500000,500000
Pre-Closing,CFAD Component,2500000,2500000,2500000,-
Pre-Closing,Institutional Support,200000,200000,183913,16087
Pre-Closing,Coastal Fishery Res. Management,200000,200000,199931,69
Pre-Closing,Est. of Tandag Livelihood and Fishport Facilities,500000,500000,-,500000
Pre-Closing,Barangay Livelihood Support Project,10500000,10500000,-,10500000
Pre-Closing,Watershed Developemnt and Improvement Management,200000,200000,199453,547
Pre-Closing,Program for Tandag Investment and Incentives Promotion,300000,300000,300000,-
Pre-Closing,Linugao and Mancagangi Island Eco-Tourism and Development Project,2000000,2000000,200000,-
Pre-Closing,Ecological Solid Waste Managament Proejct,2000000,2000000,1995186.36,4813.64
Pre-Closing,Construction and Improvement of Drainage System,3000000,3000000,3000000,-
Pre-Closing,Total,57566853.14,57566853.14,44092502.34,13474350.8
