year,month,day,hours,baclaran_northbound_out,edsa_southbound_out,edsa_northbound_out,libertad_southbound_out,libertad_northbound_out,gil_puyat_southbound_out,gil_puyat_northbound_out,vito_cruz_southbound_out,vito_cruz_northbound_out,quirouto_southbound_out,quirouto_northbound_out,pedro_gil_southbound_out,pedro_gil_northbound_out,un_avenue_southbound_out,un_avenue_northbound_out,central_southbound_out,central_northbound_out,carriedo_southbound_out,carriedo_northbound_out,doroteo_jose_southbound_out,doroteo_jose_northbound_out,bambang_southbound_out,bambang_northbound_out,tayuman_southbound_out,tayuman_northbound_out,blumentritt_southbound_out,blumentritt_northbound_out,abad_santos_southbound_out,abad_santos_northbound_out,r_papa_southbound_out,r_papa_northbound_out,5th_avenue_southbound_out,5th_avenue_northbound_out,monumento_southbound_out,monumento_northbound_out,balouttawak_southbound_out,balouttawak_northbound_out,roosevelt_southbound_out,roosevelt_northbound_out
2012,January,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Monday,5:00-6:00,5297,854,0,154,46,760,88,198,17,132,87,373,227,395,597,69,119,395,379,71,267,30,47,50,206,77,132,6,47,2,82,20,90,141,3974,0,92,0,139
2012,January,Monday,6:00-7:00,8658,2583,0,741,55,2634,167,808,205,475,300,964,517,1322,985,405,1024,807,869,457,672,100,159,297,342,46,427,17,136,7,204,19,339,98,7501,0,205,0,375
2012,January,Monday,7:00-8:00,3007,4653,0,1213,255,4464,648,1992,239,1413,319,1561,1255,3131,2081,817,1742,2221,1365,705,1481,141,269,265,796,41,613,30,174,11,251,59,632,376,5465,0,384,0,870
2012,January,Monday,8:00-9:00,1190,3793,0,1382,51,3307,261,1741,294,1615,479,2253,937,3511,1704,574,2093,1709,2719,1112,1247,102,349,245,886,37,546,16,207,7,322,53,605,93,3021,0,415,0,942
2012,January,Monday,9:00-10:00,1148,3184,0,942,99,2414,236,1290,239,1320,240,1791,1147,2563,1856,784,1499,1768,1987,564,1490,119,290,224,1004,47,550,7,180,4,254,8,418,253,2383,0,284,0,802
2012,January,Monday,10:00-11:00,1102,2603,0,961,28,1938,267,988,246,802,328,1463,632,1519,1527,700,1250,2428,1321,672,1340,158,292,193,832,69,526,39,193,6,354,11,459,82,3821,0,253,0,773
2012,January,Monday,11:00-12:00,1105,3178,0,943,54,2086,439,1211,185,878,246,1244,780,1053,1508,764,1143,1630,1760,790,1220,98,308,248,805,74,567,7,216,9,319,39,519,170,2801,0,346,0,995
2012,January,Monday,12:00-1:00 PM,1095,3041,0,826,60,2274,153,986,232,728,323,1478,732,1515,1057,741,982,1457,1387,253,1704,69,323,349,677,16,614,30,259,9,410,21,536,243,5463,0,394,0,1014
2012,January,Monday,1:00-2:00,1062,3115,0,915,96,2773,190,942,264,783,274,1428,601,1460,1014,591,1151,1108,1896,498,1430,127,275,230,675,65,580,26,223,6,350,23,510,317,4420,0,383,0,1145
2012,January,Monday,2:00-3:00,1041,2930,0,910,69,2500,273,960,174,689,299,1279,449,1208,986,462,1065,1396,1782,779,1362,134,330,193,782,102,647,21,247,21,555,39,589,296,5288,0,440,0,1262
2012,January,Monday,3:00-4:00,1120,3511,0,921,76,2097,263,816,194,700,227,906,608,1264,376,337,879,1219,1832,710,1362,88,335,254,771,116,744,69,279,5,630,21,780,352,6681,0,600,0,1525
2012,January,Monday,4:00-5:00,1039,3184,0,799,144,2353,169,766,164,480,353,997,557,843,448,521,597,1693,1363,735,1557,121,402,233,1035,104,981,49,409,10,715,40,964,830,10587,0,699,0,1940
2012,January,Monday,5:00-6:00,1189,4572,0,1369,25,2923,222,914,207,693,238,1270,363,727,487,358,526,2175,978,708,1836,145,417,529,929,114,1304,26,472,29,1032,46,1524,129,11752,0,926,0,2604
2012,January,Monday,6:00-7:00,1040,4273,0,1177,83,2643,276,854,186,786,204,1297,749,597,401,362,481,1345,1075,816,1690,145,363,300,1411,164,1430,100,618,36,1198,68,1703,535,7430,0,1126,0,2792
2012,January,Monday,7:00-8:00,1106,3426,0,1024,25,2188,165,516,158,643,136,837,439,413,338,196,338,668,703,485,1143,83,293,381,999,128,1295,36,623,35,1043,103,1470,201,4728,0,866,0,2446
2012,January,Monday,8:00-9:00,1098,1969,0,644,99,1331,27,436,107,450,123,498,236,369,261,178,213,407,422,322,992,110,270,215,1137,44,1148,11,505,23,797,64,847,553,2410,0,601,0,1678
2012,January,Monday,9:00-10:00,193,527,0,360,72,458,21,316,75,310,77,427,203,204,144,68,81,168,137,164,331,58,115,111,411,24,414,8,275,18,424,57,575,495,153,0,398,0,1000
2012,January,Monday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Tuesday,5:00-6:00,918,15,2023,43,246,173,634,49,130,56,243,199,210,127,188,70,13,310,298,73,275,30,47,50,206,74,127,6,48,2,82,20,91,139,3825,0,90,0,142
2012,January,Tuesday,6:00-7:00,2046,139,4770,373,503,149,1639,83,503,115,508,142,567,420,231,145,47,634,683,470,691,101,159,296,341,44,411,17,136,7,205,19,340,97,7170,0,202,0,382
2012,January,Tuesday,7:00-8:00,2662,103,6146,359,810,524,1828,114,790,305,604,514,710,558,345,319,84,1746,1073,724,1523,141,270,265,794,40,590,30,174,11,253,60,633,372,5042,0,378,0,885
2012,January,Tuesday,8:00-9:00,2496,182,5835,335,702,747,1498,122,612,214,649,507,503,604,385,317,193,1343,2137,1144,1282,103,351,244,884,35,525,16,208,7,325,53,606,91,2913,0,409,0,958
2012,January,Tuesday,9:00-10:00,2005,95,5238,221,602,1245,818,167,532,198,620,307,785,614,485,491,54,1390,1561,579,1532,119,291,223,1002,45,529,7,180,4,256,8,419,250,2205,0,279,0,817
2012,January,Tuesday,10:00-11:00,1802,123,4205,218,637,569,1662,241,436,254,644,394,921,844,512,339,399,1908,1038,691,1378,159,294,193,830,67,506,39,193,6,357,11,460,81,3598,0,249,0,786
2012,January,Tuesday,11:00-12:00,1641,130,3928,231,577,784,1425,185,774,275,673,803,660,619,978,704,301,1281,1383,812,1254,99,310,247,803,71,545,7,216,9,322,40,521,168,2751,0,340,0,1012
2012,January,Tuesday,12:00-1:00 PM,1734,165,3943,180,626,533,1642,106,979,330,581,538,1111,1179,778,774,399,1145,1090,260,1752,69,325,349,675,15,591,30,259,10,414,21,538,240,5275,0,387,0,1031
2012,January,Tuesday,1:00-2:00,1664,142,3616,375,473,499,1452,506,511,262,833,826,998,994,1228,773,617,870,1490,512,1471,128,276,230,674,63,558,26,223,6,353,23,511,313,4334,0,377,0,1165
2012,January,Tuesday,2:00-3:00,1754,119,3376,289,586,1081,1182,274,949,185,907,1051,1046,1662,1289,921,812,1097,1400,801,1400,134,331,193,780,98,622,21,248,21,560,39,590,292,5219,0,433,0,1285
2012,January,Tuesday,3:00-4:00,1757,124,3303,363,498,650,2130,681,629,425,822,1344,1019,1582,1833,1117,1058,958,1440,730,1400,89,336,253,769,111,715,69,279,5,635,21,782,347,6667,0,590,0,1552
2012,January,Tuesday,4:00-5:00,1965,142,3563,440,664,529,2435,467,1744,257,1242,1008,1923,2278,2401,1298,1506,1330,1071,756,1601,121,404,232,1033,100,943,49,409,10,721,40,966,819,10682,0,688,0,1974
2012,January,Tuesday,5:00-6:00,2308,117,4359,531,753,1281,2905,541,1698,743,962,1059,2436,2831,2350,1716,1290,1709,769,728,1888,146,418,528,928,110,1254,26,472,29,1041,46,1527,128,11599,0,911,0,2650
2012,January,Tuesday,6:00-7:00,2094,46,4344,449,882,1262,2979,727,1206,767,572,983,1559,1833,2448,1758,788,1057,845,839,1738,145,365,299,1408,157,1376,100,618,37,1209,68,1707,528,7297,0,1108,0,2841
2012,January,Tuesday,7:00-8:00,1167,66,3628,413,529,806,2258,465,1048,240,594,1039,1229,1382,1363,895,1263,525,552,499,1176,84,294,380,997,123,1245,36,624,36,1052,103,1473,199,4728,0,852,0,2489
2012,January,Tuesday,8:00-9:00,781,51,2809,335,429,549,1536,318,716,153,378,713,843,915,902,677,954,320,332,331,1020,111,272,214,1135,43,1105,11,505,24,804,64,849,546,2465,0,592,0,1708
2012,January,Tuesday,9:00-10:00,203,10,675,64,140,255,414,101,564,52,124,351,617,352,483,437,340,132,117,169,400,58,124,110,425,23,393,8,240,18,395,57,507,489,263,0,392,0,1017
2012,January,Tuesday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Wednesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Wednesday,5:00-6:00,1305,15,2020,45,256,170,621,48,126,55,241,202,213,127,188,71,14,313,301,73,275,30,47,52,215,77,133,6,49,2,87,20,91,144,4184,0,94,0,145
2012,January,Wednesday,6:00-7:00,2911,139,4764,388,524,146,1606,80,486,114,504,143,573,419,231,148,47,641,690,470,691,101,160,310,357,46,431,18,142,8,216,19,341,100,7964,0,210,0,392
2012,January,Wednesday,7:00-8:00,3787,103,6138,374,844,513,1791,110,763,302,599,520,719,558,345,325,86,1763,1084,724,1522,142,271,277,831,41,618,31,180,12,267,60,636,384,6072,0,393,0,907
2012,January,Wednesday,8:00-9:00,3550,181,5827,348,731,732,1468,118,591,212,643,513,509,604,385,323,197,1357,2158,1143,1281,103,352,255,924,37,550,16,215,7,342,54,608,94,3859,0,424,0,982
2012,January,Wednesday,9:00-10:00,2852,95,5231,230,626,1220,802,161,514,196,614,310,795,614,485,501,55,1404,1577,579,1532,120,292,233,1048,47,554,7,187,4,269,8,420,258,2976,0,290,0,837
2012,January,Wednesday,10:00-11:00,2564,123,4199,227,663,557,1628,232,421,252,638,398,932,843,511,346,406,1928,1049,691,1377,160,295,201,868,70,530,40,200,6,376,11,462,84,4280,0,258,0,806
2012,January,Wednesday,11:00-12:00,2334,130,3923,240,601,768,1396,179,748,273,667,812,667,618,978,718,307,1294,1397,812,1254,99,311,259,840,75,571,8,224,9,339,40,522,174,3345,0,354,0,1038
2012,January,Wednesday,12:00-1:00 PM,2467,165,3938,187,652,523,1609,102,947,327,575,545,1124,1179,778,789,407,1157,1101,260,1752,70,326,365,706,16,619,31,269,10,436,22,539,248,5893,0,402,0,1058
2012,January,Wednesday,1:00-2:00,2367,141,3611,391,492,489,1423,489,494,260,825,835,1010,993,1228,789,629,879,1505,512,1470,128,278,240,705,66,584,27,232,7,372,24,513,324,4933,0,391,0,1195
2012,January,Wednesday,2:00-3:00,2495,119,3371,301,610,1059,1158,265,917,183,898,1064,1058,1661,1289,939,828,1108,1414,800,1400,135,333,201,816,103,652,21,257,22,590,39,592,302,5836,0,450,0,1317
2012,January,Wednesday,3:00-4:00,2500,124,3299,378,518,637,2087,658,608,421,814,1360,1031,1582,1832,1139,1079,968,1454,730,1400,89,338,265,805,117,750,72,290,5,669,21,784,359,7251,0,613,0,1591
2012,January,Wednesday,4:00-5:00,2795,141,3559,458,692,519,2386,452,1686,255,1230,1019,1946,2277,2400,1323,1536,1344,1082,756,1600,122,406,243,1081,104,989,51,425,10,760,40,969,848,11294,0,714,0,2024
2012,January,Wednesday,5:00-6:00,3283,117,4353,553,784,1255,2846,523,1641,736,953,1072,2465,2831,2350,1749,1315,1726,776,728,1887,147,420,553,970,115,1314,27,490,31,1097,47,1532,132,12322,0,946,0,2717
2012,January,Wednesday,6:00-7:00,2978,46,4339,468,918,1237,2919,702,1166,760,567,995,1577,1833,2447,1792,803,1068,853,839,1737,146,367,313,1473,165,1441,104,641,39,1274,68,1713,546,7855,0,1151,0,2913
2012,January,Wednesday,7:00-8:00,1660,66,3623,430,551,790,2212,450,1013,238,588,1051,1243,1381,1362,913,1287,530,558,499,1175,84,296,397,1043,129,1305,38,647,38,1109,104,1478,206,4947,0,885,0,2553
2012,January,Wednesday,8:00-9:00,1111,51,2805,349,447,538,1505,307,692,152,375,721,853,914,902,690,973,323,335,331,1020,111,273,224,1187,45,1157,11,524,25,847,64,852,565,2566,0,614,0,1751
2012,January,Wednesday,9:00-10:00,289,10,674,67,146,250,406,98,545,51,122,355,624,352,483,445,347,133,109,169,391,59,134,116,464,24,447,9,285,19,411,57,537,506,137,0,407,0,1043
2012,January,Wednesday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Thursday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,January,Thursday,5:00-6:00,876,15,2002,43,247,167,609,51,135,53,232,189,200,122,182,70,13,304,292,73,275,29,46,49,201,71,123,6,46,2,81,20,87,136,3703,0,88,0,139
2012,January,Thursday,6:00-7:00,1953,137,4721,374,505,143,1574,86,520,110,486,135,539,406,224,145,47,621,669,470,692,98,155,290,333,43,398,17,133,7,202,18,328,94,6954,0,197,0,374
2012,January,Thursday,7:00-8:00,2541,102,6083,360,813,503,1756,118,816,291,578,489,676,540,334,319,84,1710,1051,725,1525,137,262,259,776,38,571,29,170,11,249,57,611,362,4890,0,368,0,867
2012,January,Thursday,8:00-9:00,2382,180,5775,336,705,718,1439,126,633,205,620,482,479,584,373,317,193,1316,2093,1145,1283,100,341,239,864,34,509,15,203,6,320,52,585,89,2810,0,398,0,939
2012,January,Thursday,9:00-10:00,1914,94,5184,222,604,1196,786,173,550,189,593,292,747,594,469,491,54,1361,1529,580,1534,116,282,218,979,43,512,7,176,4,252,8,404,243,2124,0,272,0,800
2012,January,Thursday,10:00-11:00,1720,122,4162,219,639,546,1596,249,451,243,615,374,876,816,495,339,399,1869,1017,692,1380,154,285,188,811,65,490,38,189,6,352,10,444,79,3460,0,242,0,770
2012,January,Thursday,11:00-12:00,1566,129,3888,232,579,753,1369,191,800,263,644,764,627,599,947,704,301,1254,1355,813,1256,96,301,242,785,69,528,7,211,8,317,38,502,164,2677,0,332,0,992
2012,January,Thursday,12:00-1:00 PM,1655,163,3903,180,628,512,1577,110,1013,315,555,512,1057,1141,753,774,399,1122,1067,261,1754,67,315,341,660,15,572,29,253,9,408,21,518,234,5109,0,377,0,1011
2012,January,Thursday,1:00-2:00,1588,140,3579,376,474,479,1395,523,528,250,796,785,950,962,1189,774,617,852,1460,513,1472,124,268,224,659,61,540,25,218,6,347,23,493,305,4169,0,367,0,1142
2012,January,Thursday,2:00-3:00,1674,118,3341,290,588,1038,1135,284,981,176,866,1000,995,1608,1248,921,812,1075,1371,802,1402,130,322,188,762,95,603,20,242,21,551,38,569,284,5069,0,422,0,1259
2012,January,Thursday,3:00-4:00,1677,123,3270,364,500,624,2046,704,650,406,785,1278,969,1531,1774,1118,1058,939,1410,731,1402,86,326,248,752,108,693,68,273,5,625,21,754,339,6463,0,575,0,1521
