year,total_supervision_cases_handled,supervision_referrals_received,completed_supervision_cases_final_release_and_discharge_n,completed_supervision_cases_final_release_and_discharge_percent,completed_supervision_cases_arrested_or_recommitted_n,completed_supervision_cases_arrested_or_recommitted_in_percent,completed_supervision_cases_died_n,completed_supervision_cases_died_in_percent,completed_supervision_cases_others_n,completed_supervision_cases_others_in_percent,completed_supervision_cases_total_n,completed_supervision_cases_total_in_percent
1989,65,65,0,0,0,0,0,0,0,0,0,0
1990,4729,4648,100,2.11,16,0.34,10,0.21,6,0.13,132,2.79
1991,6951,2492,651,9.36,64,0.92,51,0.73,27,0.39,793,11.41
1992,8786,2632,784,8.92,233,2.65,51,0.58,11,0.12,1079,12.28
1993,10344,2473,1077,10.41,240,2.32,50,0.48,13,0.12,1380,13.34
1994,11538,2521,846,7.33,311,2.7,96,0.83,153,1.33,1406,12.18
1995,12043,2286,908,7.54,233,1.93,103,0.86,13,0.11,1257,10.44
1996,13297,2511,1064,8,306,2.3,105,0.79,391,2.94,1866,14.03
1997,12814,2253,1326,10.35,317,2.47,95,0.74,375,2.93,2113,16.49
1998,13568,2866,920,6.78,339,2.5,91,0.67,530,3.91,1880,13.86
1999,15618,3615,1523,9.75,159,1.02,81,0.52,432,2.77,2195,14.05
2000,15990,2320,1435,8.97,143,0.89,77,0.48,470,2.94,2125,13.29
2001,17298,3657,1886,10.9,406,2.35,91,0.53,507,2.93,2890,16.71
2002,17536,3197,1950,11.12,296,1.69,113,0.64,553,3.15,2912,16.6
2003,17049,2605,1893,11.1,331,1.94,75,0.44,458,2.69,2757,16.17
2004,16841,2594,2118,12.58,557,3.31,118,0.7,644,3.82,3437,20.41
2005,16239,2790,2282,14.05,500,3.08,148,0.91,438,2.7,3368,20.74
2006,15617,2634,2033,13.02,504,3.23,138,0.88,332,2.12,3007,19.25
2007,15015,2471,2419,16.11,312,2.08,150,1,386,2.57,3267,21.76
2008,13762,1863,1129,8.2,250,1.82,105,0.76,267,1.94,1751,12.72
2009,17108,5373,1053,6.16,139,0.81,69,0.4,159,0.93,1420,8.3
2010,13776,2788,1322,9.6,215,1.56,112,0.81,236,1.71,1885,13.68
2011,13662,2551,1560,11.42,245,1.79,129,0.95,301,2.2,2235,16.36
2012,13821,2403,1267,9.17,209,1.51,108,0.78,383,2.77,1967,14.23
2013,13758,2175,853,6.2,172,1.25,55,0.4,130,0.94,1210,8.79
Total/Average ,327225,67783,32399,9.17,6497,1.86,2221,0.64,7215,1.93,48332,13.6
