projects_1,projects_2,projects_3,appropriation,obligation,balance
Social Development Program,Construction or Rehab of Water supply system,Construction or Rehab of Water supply system,4000000,100000,3900000
Social Development Program,Construction of New Provincial Hospital Building   Phase V (Completion),Construction of New Provincial Hospital Building   Phase V (Completion),15270000,15264911.88,5088.12
Social Development Program,Purchase and Development of Land or Site for Pabahay Program informal Settlers and or or Relocation of Victims of Calamities,Lot Purchase (Additional),10000000,-,10000000
Social Development Program,Purchase and Development of Land or Site for Pabahay Program informal Settlers and or or Relocation of Victims of Calamities,Site or Land Development,20000000,-,20000000
Social Development Program,Construction  or Rehab of Multi-Purpose Halls or Bldgs. in different Municipality or Barangay,Construction  or Rehab of Multi-Purpose Halls or Bldgs. in different Municipality or Barangay,32327064.15,6107703.05,26219361.1
Social Development Program,Construction or Rehab of Health or Diagnostic Center,Diagnostic Center,10000000,-,10000000
Social Development Program,Construction or Rehab of Health or Diagnostic Center,Construction or Renovation of Health or Daycare Center,2060000,-,2060000
Social Development Program,Establishment of Manpower Devt. Center (Landungan Devt. Project Cum Training Center),Establishment of Manpower Devt. Center (Landungan Devt. Project Cum Training Center),5000000,-,5000000
Environment Management Program,Coastal Resources Management Project,Coastal Resources Management Project,2000000,-,2000000
Environment Management Program,Implementation of Flood or Eroion Project,Implementation of Flood or Eroion Project,2000000,-,2000000
Economic Development Program,Infrastructure Development Project (INFRADEV),Concreting of 1.0 km Lagundi Road,25000000,24889936.14,110063.86
Economic Development Program,Infrastructure Development Project (INFRADEV),Concreting of 1.0 km Sitio Panorama Road,21000000,10439558.33,10560441.67
Economic Development Program,Infrastructure Development Project (INFRADEV),"Concreting of Pavement of Brgy. Road Tabuc, Placer",900000,-,900000
Economic Development Program,Livelihood or Entrepreneurship Development Projects,Provision of Livelihood Assistant rural based organization ,5016000,-,5016000
Economic Development Program,Livelihood or Entrepreneurship Development Projects,Improvement of processed fisher production and Fish processing livelihood training assistance,200000,-,200000
Economic Development Program,Livelihood or Entrepreneurship Development Projects,Provision of fishing gear ( fishport and multiple set longline) for distribution to Marginalized fishermen,784000,-,784000
Economic Development Program,Loan amortization of Heavy Equipment used for  Infra Projects ,Loan amortization of Heavy Equipment used for  Infra Projects ,23452256.85,17789081.97,5663444.88
Economic Development Program,Construction or Rehab of Local Roads,"Rehab or Regrav of Brgy. Poblacion to Maolingon to Tumalaytay Road Mandaon, Masbate",4000000,-,4000000
Economic Development Program,Construction or Rehab of Local Roads,Rehab or Regrav of Poblacion to Maihao to Pin-as  Road Cawayan Masbate,7000000,-,7000000
Economic Development Program,Construction or Rehab of Local Roads,"Rehab or Regrav from Brgy. Agoho to Brgy. Tawad to Brgy. Sorosimbahan Road, Esperanza     ",4000000,3976090.55,23909.45
Total,Total,Total,194009591,78567281.92,115442309.1
