particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_lgu,total
Source of Funds,Current Appropriation,47656545,11627240,-,-,-,59283785.5
Source of Funds,Continuing Appropriation,47605175.64,-,-,-,-,47605175.64
Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,-,-,-,-,-,-
Source of Funds,Transfer/Grants,-,-,-,-,-,-
Source of Funds,Total Fund Available ,95261720.64,11627240.5,-,-,-,106888961.1
Utilization,Office Supplies Expenses,84108,-,-,-,-,84108
Utilization,Agriculture Supplies,1800000,-,-,-,-,1800000
Utilization,Other Supplies (Super Ultra Lume),37991480,-,-,-,-,37991480
Utilization,Gasoline and Oil,984914.98,563500,-,-,-,1548414.98
Utilization,Medicines,817479.85,-,-,-,-,817479.85
Utilization,Food Supplies,8058902.5,-,-,-,-,8058902.5
Utilization,Insurance Premiums,-,72000,-,-,-,72000
Utilization,Training,-,469659.99,-,-,-,469659.99
Utilization,Repair and Maintenance of Motor Vehicle,-,526286,-,-,-,526286
Utilization,Equipment/Motor Vehicle,-,5768500,-,-,-,5768500
Utilization,Building/Infrastructure,22564910.58,-,-,-,-,22564910.58
Utilization,Transfers to other LGU's,-,-,-,-,-,-
Utilization,Other Maintence and Operating Expenses,1187461.13,474711.98,-,-,-,1662173.11
Utilization,Total Utilization,73489257.04,7874657.97,-,-,-,81363915.01
Unutilized Balance,Unutilized Balance,21772463.6,3752582.53,-,-,-,25525046.13
