particulars_1,particulars_2,ldrrmf_quick_response_fund_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,19838833.2,46290610.8,-,-,-,66129444
Sources of Funds,Continuing Appropriations,-,9084574.89,-,-,-,9084574.89
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,14796467.78,1094838.22,-,-,-,15891306
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,34635300.98,56470023.91,-,-,-,91105324.89
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,4255125,-,-,-,-,4255125
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,439300,-,-,-,439300
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants",47971.05,-,-,-,-,47971.05
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,4303096.05,439300,-,-,-,4742396.05
Unutilized Balance,Unutilized Balance,30332204.93,56030723.91,-,-,-,86362928.84
