particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"8,490,543","3,490,388","24,683,754","2,338,671","43,389,505","9,633,761","207,031","40,040,309","8,195,775","9,290,321","702,763","1,346,355","1,824,659","17,894,030","1,206,871","818,331","1,545,174","36,470","232,733","1,389,180","57,687","58,117","13,099","176,885,527"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"737,837","128,115","56,845",302,"186,071","196,782",0,"8,590","113,982","17,092","107,990",0,"9,334","2,155,266","21,487","4,350","47,665",0,"13,563",1,"5,653",0,0,"3,810,925"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"115,741","24,477","6,728",117,"53,701","168,648",0,0,"43,152","2,696","15,124",0,"3,166","589,094","4,024","1,250","35,845",0,"10,328",0,"1,947",0,0,"1,076,038"
               Senate Electoral Tribunal,"1,300","1,500","1,350",0,"2,500","4,400",0,0,"2,500",300,"3,706",0,300,"15,992",0,0,750,0,0,0,0,0,0,"34,598"
          Commission on Appointments,"2,450","4,350","3,012",0,"11,237","21,774",0,"5,890",750,0,"5,052",0,573,"126,093","2,000",0,"5,050",0,0,1,1,0,0,"188,233"
          House of Representatives,"618,102","96,060","45,555",185,"111,413",0,0,"2,700","63,800","13,796","81,196",0,"4,905","1,409,328","15,213","3,000","5,620",0,"3,085",0,"3,705",0,0,"2,477,663"
               House Electoral Tribunal,244,"1,728",200,0,"7,220","1,960",0,0,"3,780",300,"2,912",0,390,"14,759",250,100,400,0,150,0,0,0,0,"34,393"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"463,048","80,997","353,685","2,512","200,423","94,939",50,550,"175,692","21,140","22,673","651,000","77,645","390,373","13,497","15,442","75,418",220,"5,195",44,"1,584",0,0,"2,646,127"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"463,048","80,997","353,685","2,512","200,423","94,939",50,550,"175,692","21,140","22,673","651,000","77,645","390,373","13,497","15,442","75,418",220,"5,195",44,"1,584",0,0,"2,646,127"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"9,519","5,149","2,513",0,"6,582","11,200",0,"79,418","1,007",128,504,"6,000",448,"16,636",0,0,"12,000",0,375,0,0,0,0,"151,479"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"860,295","238,682","235,656","107,001","744,796","228,800",0,"4,178,159","152,508","333,824","5,766",0,"462,768","559,473","52,950","59,196","53,210","26,180","5,138","599,694","6,625",0,14,"8,910,735"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"860,295","238,682","235,656","107,001","744,796","228,800",0,"4,178,159","152,508","333,824","5,766",0,"462,768","559,473","52,950","59,196","53,210","26,180","5,138","599,694","6,625",0,14,"8,910,735"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"631,830","172,020","370,262","24,596","3,306,078","122,982",100,"2,818,503","206,151","1,094,893","7,706",0,"126,297","1,302,340","97,943","55,739","91,982",834,"8,172","35,188","3,645","7,686","2,556","10,487,503"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"440,500","128,591","171,220","21,045","2,472,912","82,286",100,"2,742,497","123,206","809,251","4,050",0,"46,431","886,245","80,635","50,829","85,997",794,"4,673","35,188","2,979","7,280","2,546","8,199,255"
          Agricultural Credit Policy Council,410,597,120,0,610,"2,640",0,0,"1,411",160,110,0,80,"1,113",84,0,86,0,50,0,0,0,0,"7,471"
          Bureau of Fisheries and Aquatic Resources,"124,771","26,854","168,328","1,696","663,170","28,440",0,0,"38,868","116,475","1,906",0,"69,626","299,513","6,495","2,703","3,451",10,"1,821",0,193,256,0,"1,554,576"
          Bureau of Post-Harvest Research and Extension,"4,687","1,395","1,234",200,"10,012",355,0,0,"5,403","3,657",110,0,"2,000","10,781","1,292",542,10,0,229,0,30,150,0,"42,087"
          Cotton Development Administration,"1,000",630,650,70,"1,236",116,0,0,"1,028",60,80,0,234,"1,750",105,0,135,0,70,0,100,0,0,"7,264"
          Fertilizer and Pesticide Authority,"3,971","1,204","1,602",27,"6,668",69,0,0,"2,461",444,110,0,639,"4,821",501,10,397,0,56,0,0,0,0,"22,980"
          Fiber Industry Development Authority,"11,046","2,658","1,745",729,"14,820","8,131",0,0,"5,046","3,266",768,0,937,"16,119","1,440",281,834,0,163,0,135,0,0,"68,118"
          Livestock Development Council,"1,005",618,200,0,"1,206",0,0,0,475,610,152,0,200,"4,175",318,50,38,0,10,0,198,0,0,"9,255"
          National Agricultural and Fishery Council,"30,923","3,548","1,122",0,"68,765",15,0,"75,943","5,890","131,938",162,0,"1,544","24,123","3,895",150,765,0,50,0,10,0,10,"348,853"
          National Meat Inspection Service,"8,700","2,706","4,330",50,"7,409",420,0,0,"7,545","6,900",150,0,400,"17,815","1,700",50,0,30,180,0,0,0,0,"58,385"
          Philippine Carabao Center,"4,817","3,219","19,711",779,"59,270",510,0,63,"14,818","22,132",108,0,"4,206","35,885","1,478","1,124",269,0,870,0,0,0,0,"169,259"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"15,588","12,611","10,130",434,"30,864","6,637",0,0,"49,152","24,045","5,258",0,"3,469","183,663","10,502",614,"21,145",0,843,0,20,0,0,"374,975"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"15,588","12,611","10,130",434,"30,864","6,637",0,0,"49,152","24,045","5,258",0,"3,469","183,663","10,502",614,"21,145",0,843,0,20,0,0,"374,975"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,022,876","619,514","1,901,088","50,929","5,600,267","42,803",0,"8,045,643","1,320,636","2,867,620","14,956",0,"52,476","278,617","330,294","24,183","50,770",0,"30,411",0,35,"6,562",0,"22,259,680"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,016,452","616,669","1,891,538","50,860","5,579,232","40,343",0,"8,045,643","1,297,023","2,859,952","14,626",0,"51,693","239,401","327,058","23,618","49,268",0,"30,318",0,0,"6,562",0,"22,140,256"
          National Book Development Board,280,455,300,0,777,"1,750",0,0,600,300,110,0,80,"3,679","1,620",165,"1,250",0,33,0,5,0,0,"11,404"
          National Council for Children's Television,719,275,0,49,49,0,0,0,0,"5,391",0,0,0,"1,253",440,0,89,0,0,0,0,0,0,"8,265"
          National Museum,"4,200","1,515","6,200",0,"5,110",0,0,0,"20,985",150,110,0,235,"25,800",476,100,75,0,0,0,0,0,0,"64,956"
          Philippine High School for the Arts,"1,225",600,"3,050",20,"15,099",710,0,0,"2,028","1,827",110,0,468,"8,484",700,300,88,0,60,0,30,0,0,"34,799"
,,,,,,,,,,,,,,,,,,,,,,,,
