NEDA updates on the Economy,,,,,,,,,,
As of 16 January 2013,,,,,,,,,,
,,,,,,,,,,
,,,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
I. Real Sector (percent growth),A. National Income (% g.r.)(NSCB),GNI,6.6,(Q3'12),5.7,(Q2 '12),5.8,(Q1-Q3'12),2.2,(Q3 '11)
,,GDP,7.1,,6,,6.5,,3.2,
,,Agriculture,4.1,,0.6,,1.8,,2.2,
,,Industry,8.1,,5.5,,6.3,,0.1,
,,Service,7,,7.4,,7.5,,5.2,
,B. Manufacturing (MISSI-NSO) (2000 - based),,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,,Volume of Production (% g.r.),6.3,(Nov '12),16.1,(Oct '12),6.5,(Jan-Nov '12),2.3,(Nov '11)
,,Value of Production (%g.r.),9.6,,19.2,,6.7,,-6.3,
,,Volume of Sales (%g.r.),9.2,,8.7,,4.9,,7.2,
,,Value of Sales (% g.r.),12.6,,11.6,,5.1,,4.5,
,,Weighted Average (Capacity Utilization(%)),83.3,,84.4,,0.5,,83.2,
,C. Electric Consumption (%g.r.) (Meralco kWh Sales),Residential,0.1,(Nov '12),3.6,(Oct '12),4.5,(Jan-Nov '12),3.8,(Nov '11)
,,Commercial,5.7,,9.2,,6.1,,3.5,
,,Industrial,7.2,,10.1,,12.1,,7.9,
,,Others,0.9,,1.9,,-7.6,,-10.8,
,,Total,4.4,,7.8,,7.3,,4.8,
,D. Building Permits (% g.r.) (NSO),,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
,,Number of Permits,8.2,(Q3 '12),11.2,(Q2 '12),7.9,(Q3 '12),5.4,(Q3 '11)
,,Value of Construction,54.5,,9.4,,19,,-10,
,E. Investment Indicators (% g.r.),,Latest_Period,,Preceding_Period,,Year_to_date,,Same_Period_Year_ago,
,,Total Foreign Direct Investment (g.r.),9.4,(Q2 '12),-16.3,(Q1 '12),0.4,(Jan-Jun '12),192.5,(Q2 '11)
,,BOI Investment (g.r.),-24.0,,53.3,,-7.3,,333.6,
,,PEZA Investment (g.r.),118.8,,-27.7,,43.6,,152.4,
,,SBMA Investment,27.6,,139.4,,69.4,,-97.6,
,,CDC Investment,-96.4,,-13.4,,-87.0,,1524.8,
Employment (NSO-LFS) and Wages,A. Unemployment Rate (%) /f new definition,,6.8,(Oct '12),7,(Jul '12),7,(Jan-Oct '12),6.4,(Oct '11)
,B. Employment Generated ('000),,-882,(Oct '12),477,(Jul '12),429,(Jan-Oct '12),2062,(Oct '11)
,,Agriculture,-669,,-493,,-163,,590,
,,Industry,g,,g,,g,,232,
,,Service,g,,g,,g,,1235,
,B. Underemployment Rate (%),,19,(Oct '12),22.7,(Jul '12),20,(Jan-Oct '12),19.1,(Oct '11)
,D. Minimum Wage (in pesos) (NWPC),NCR,409-446,(Nov '12),409-446,(Oct '12),409-446,(Nov '12),389-426,(Nov '11)
,,AOMM,190-349.5,,190-349.5,,190-349.5,,190-337,
,E. Index of Compensation Per Employee (QEI-NSCB),Nominal (1978=100),2310.3,(Q2'12),2182.6,(Q1'12),2310.3,(Q2' 12),2181.2,(Q2 '11)
,,Constant (1978=100),112.9,(Q2'12),107.6,(Q1'12),112.9,(Q2' 12),109.7,(Q2 '11)
III. Monetary and Banking Sector (%),,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,A. Growth of U/KBs Outside Loans /a,,14.2,(Oct '12),14.2,(Sept '12),14.2,(Oct '12),21.2,(Oct '11)
,B. NPL to total loans ratio,,2,(Oct '12),2.05,(Sept'12),2,(Oct '12),2.46,(Oct '11)
,c. M3 Growth /b,,8.5,(Oct '12),7.5,(Sept '12),8.5,(Oct '12),6.9,(Oct '11)
IV. Prices ,A. Headline Inflation Rate (%) (NSO) /c,,2.9,(Dec '12),2.8,(Nov '12),3.2,Jan - Dec '12,4.2,(Dec '11)
,,Food and Non-Alcoholic Beverages,2.3,,2.2,,2.3,,4.1,
,,Non-Food,3.2,,3.2,,3.7,,4.2,
,,NCR,2.8,,2.6,,2.9,,3.1,
,,AONCR,2.9,,2.9,,3.2,,4.5,
,B. Core Inflation Rate (%) NSO /c,,3.3,(Dec '12),3.4,(Nov '12),3.7,Jan - Dec '12,4.2,(Dec '11)
,"C. Lending Rate (Low, %)",,5.27,(Nov12),5.32,(Oct '12),5.623,Jan - Nov'12,5.7,(Nov '11)
,,,Latest_Week,,Preceding_Week,,Year_to_date,,Same_Week_Month_Ago,
,D. BSP Overnight Borrowing Policy Rates (PR),,5.5,(14 Jan '13),5.5,(07 Jan 13),5.5,,6.5,(16 Jan '12)
,E. BSP Overnight Lending Policy Rates (RRP),,3.5,(14 Jan '13),3.5,(07 Jan 13),3.5,,4.5,(16 Jan '12)
,F. 91-Day T-Bill Rate (%),,0.05,(7 Jan'13),0.198,(10 Dec 12),1.44623772,,1.428,(9 Jan 12)
,"G. Forex (Average, P:$1)",,40.569,(16 Jan '13),40.845,(09 Jan '13),40.817,,43.813,(16 Jan '12)
,H. PSEi,,6087.67,(15 Jan '13),6048.9,(08 Jan '13),6001.46,,4578.92,(16 Jan '12)
V. External Accounts (BSP/NSO),,,Latest_Month/Quarter,,Preceding_Month/Quarter,,Year_to_date,,Same_Month/Quarter_Year_Ago,
,A. Merchandise Exports (% g.r.),,5.5,(Nov '12),6.1,(Oct '12),7.0,Jan- Nov'12,-18.8,(Nov '11)
,,Electronic Products (% g.r.) /d,13.3,,0.3,,-5.2,,-34.4,
,B. Merchandise Imports (% g.r.),,4.3,(Oct '12),3.6,(Sep '12),0.9,Jan-Oct'12,2.4,(Oct '11)
,,Raw materials & intermediate goods (% g.r.),13.0,,-5.3,,-11.9,,-0.7,
,,Capital goods (% g.r.),1.9,,-9.3,,12.4,,-10.8,
,C. Current Account($ M),,3079,(Q3 '12),2955,(Q2 '12),7156,Jan-Sep '12,2304,(Q3 '11)
,D. Capital & Financial Accounts ($ M),,1962,(Q3 '12),-2062,(Q2 '12),395,Jan-Sep '12,2483,(Q3 '11)
,,"Direct Investments ($ M), net",90,,-361,,423,,-78,
,E. Balance of Payments ($ M),,2161,(Nov '12),604,(Oct '12),8596,Jan- Nov '12,364,(Nov '11)
,F. Gross International Reserves ($ M),,84248.48,(end Dec '12)/p,83933.35,(end Nov '12),84248.48,(end Dec '12)/p,75302.43,(Dec '11)
,,Month's worth of imports,12.05,,12,,12.05,,11.21,
,G. Total External Debt ($ M),,61724,(end Q3 '12),61231,(end Q2 '12),61724,(end Q3 '12),62431,(end Q3'11)
,of which:,Total Short Term,7986,,7024,,7986,,7147,
,,Total Private Sector,15037,,14102,,15037,,14552,
,,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
VI. NG Cash Operations (BTr) (in billion pesos) *,A. Revenues,,155.31,Nov '12,134.32,Oct '12,1408.54,(Jan- Nov '12),128.75,Nov '11
,,Tax,135.49,,114.76,,1246.54,,119.24,
,,Non-tax,19.82,,19.56,,162.00,,9.51,
,B. Expenditure ,,166.87,,143.99,,1535.88,,150.75,
,C. Surplus (+) / Deficit (-) ,,-11.57,,-9.67,,-127.34,,-22.00,
,D. Net Foreign Financing ,,11.25,,-0.73,,61.31,,-4.55,
,E. Net Domestic Financing (PB) /e,,10.74,,245.74,,407.06,,-12.82,
,F. Cash Build-up (-)/ Withdrawal (+) ,,-10.42,,-235.34,,-341.07,,39.37,
,,,,,,,,,,
,,,,,,,,,,
Note:,,,,,,,,,,
*      Details may not add up due to rounding,,,,,,,,,,
/a    the Indicator changed from Growth of Loans for ODCs to Loans of Universal/ Commercial Banks as the BSP revised their series. Loans of U/KB is Gross of RRP,,,,,,,,,,
