particulars,amount
Estimated Revenue from Regular Resources,-
Calamity Fund,-
Total,-
Less - Disbursements - Pre-Disaster Preparedness Programs - Traveling Expenses,1650
Less - Disbursements - Pre-Disaster Preparedness Programs - Office Supplies and Materials,58783
"Less - Disbursements - Pre-Disaster Preparedness Programs - Gasoline, Oil and Lubricants Expenses",19646.5
Less - Disbursements - Pre-Disaster Preparedness Programs - Other Expenses,764195
Less - Disbursements-Post Disaster Programs,-
Less - Disbursements - Payment of Premiums on Calamity Insurance,-
Balance,-
