particulars,amount
Estimated Revenue from Regular Resources,6552916.8
Calamity Fund,27745799.6
Total,34298716.4
Less - Disbursements - Pre-Disaster Preparedness Programs - Traveling Expenses,1110
Less - Disbursements - Pre-Disaster Preparedness Programs - Office Supplies and Materials,-
"Less - Disbursements - Pre-Disaster Preparedness Programs - Gasoline, Oil and Lubricants Expenses",-
Less - Disbursements - Pre-Disaster Preparedness Programs - Other Expenses,222110
Less - Disbursements - Post - Disaster Programs,-
Payment of Premiums on Calamity Insurance,-
Balance,34076606.4
