particulars_1,particulars_2,objt,appropriation,allotment,obligations,balances_of_allotments,balances_of_appropriation
20% Local Development Fund,20% Local Development Fund,-,-,-,-,-,-
Development Administration,Mindanao Rural Development Program,19911-01,3250000,835000,32769,2415000,802231
Development Administration,PCL Activities,19911-02,80000,-,-,80000,-
Development Administration,Federation of Association of Barangay Captains,19911-03,80000,40000,40000,40000,-
Development Administration,Sangguniang Kabataan Activities,19911-04,20000,-,-,20000,-
Development Administration,Insurance of Government Buildings,19911-05,200000,200000,110039.04,-,89960.96
Development Administration,Annual RDC Contribution,19911-06,100000,100000,100000,-,-
Development Administration,Support to PDC,19911-07,100000,25000,22033,75000,2967
Development Administration,"Management Operations for Planning, Reasearch and Studies",19911-08,500000,155000,126377.53,345000,28622.47
Development Administration,Repayment of Building Loan (LBP),19911-09,20000000,5000000,3139479.39,15000000,1860520.61
Development Administration,Repayment of Equipment Loan (PNB),19911-10,8000000,2000000,-,6000000,2000000
Development Administration,Support to Auditorial Program COA,19911-11,389673.4,-,-,389673.4,-
Development Administration,Assistance in Crisis Situation (AICS),19911-12,4000000,4000000,3876093.65,-,123906.35
Development Administration,Information Technology Development Program,19911-13,700000,244200,208966.31,455800,35233.69
Development Administration,Computerization of the Provincial Assessor's Office,19911-14,400000,149620,112603.94,250380,37016.06
Development Administration,Support to Provincial Land Titling Project,19911-15,904213.6,300000,247500,604213.6,52500
Development Administration,Community Based Monitoring System (CBMS),19911-16,500000,125000,91493.98,375000,33506.02
Development Administration,"Support to Special Projects,i.e PAMANA, AECID, UNFPA",19911-17,200000,-,-,200000,-
Development Administration,Support to Comelec,19911-18,250000,250000,202600,-,47400
Development Administration,Tax Campaign Program,19911-19,200000,100000,100000,100000,-
Development Administration,Real Property Tax Administration,19911-20,200000,-,-,200000,-
Development Administration,Support to Construction of PNP,19911-21,6000000,6000000,6000000,-,-
Development Administration,Support to Counter Insurgency Program,19911-22,4000000,3220000,3160000,780000,60000
Development Administration,Support to Barangay Tanod,19911-23,1500000,500000,30000,1500000,470000
Social Development,Alay ng Probinsya Scholarship Program,3910-01,300000,75000,-,225000,75000
Social Development,Nutrition Program,3910-02,5000000,5000000,-,-,5000000
Social Development,Botica sa Barangay,3910-03,3600000,900000,125472.22,2700000,774527.78
Social Development,Women's Health,3910-04,2000000,-,-,2000000,-
Social Development,Philhealth,3910-05,100000,100000,-,-,100000
Social Development,Population Management Activities,3910-06,100000,100000,72420,-,27580
Social Development,Support to Welfare and Development Services,3910-07,50000,-,-,50000,-
Social Development,Support to Senior Citizens,3910-08,50000,-,-,50000,-
Social Development,Support to Differently-Abled Citizens,3910-09,50000,0,0,0,50000
Social Development,Support to Red Cross,3910-10,150000,37500,37500,112500,-
Social Development,Support to National Commission on Indigenous People,3910-11,100000,25000,6300,75000,18700
Economic Development,Support to Pag-asa (OPAG),1916-01,400000,-,-,400000,-
Economic Development,Marine and Aquatic Development Program,1916-02,300000,182702.5,79235,117297.5,103467.5
Economic Development,Animal Health care Program,1916-03,400000,110000,53698.65,290000,56301.35
Economic Development,Support to DRR/CCA/PPFP Formulation,1916-04,100000,-,-,100000,-
Economic Development,Gawad Pangulo sa KAPALIGIRAN,1916-05,150000,-,-,150000,-
Economic Development,Devolved Environmental Programs,1916-06,100000,-,-,100000,-
Economic Development,Construction or Rehabilitation and Other Support Services for Water Supply Program,1916-07,4000000,3803250,3571760.22,196750,231489.78
Economic Development,"Construction or Installation of Municipal Street Lights, Barangay Buenavista",1916-08,2500000,-,-,2500000,-
Economic Development,"Construction or Installation of Municipal Street Lights, Mangagoy, Barangay Bislig City Phase II",1916-09,5000000,-,-,5000000,-
Economic Development,"Construction or Installation of Municipal Street Lights, National Highway, Tandag City",1916-10,2000000,-,-,2000000,-
Economic Development,Concreting Jacinto P Elpa to Adela Serra Ty,1916-11,10000000,-,-,10000000,-
Economic Development,Repair and Maintenance of Roads and Bridges,1916-12,27000000,13500000,12484969.36,13500000,1015030.64
Economic Development,Rehabilitation of heavy Equipment,1916-13,10000000,-,-,10000000,-
Economic Development,"Construction of Legislative Building, Phase II",1916-14,15000000,-,-,15000000,-
Economic Development,Maintenance of Capitol Building (Capitol of South),1916-15,2000000,1500000,1488049.76,500000,11950.24
Economic Development,Maintenance of Bus or Jeepney Terminal and Sports Complex,1916-16,355454,160000,159481.47,195454,518.53
Economic Development,Construction of Provincial Guest House,1916-17,5000000,-,-,5000000,-
Economic Development,Tourism Industry Promotion,1916-18,1000000,-,-,1000000,-
Economic Development,Provincial Cultural Activities,1916-19,100000,-,-,100000,-
Economic Development,Sports Development,1916-20,1500000,267500,79869,1232500,187631
Economic Development,Araw ng Surigao del Sur Celebration,1916-21,2000000,-,-,2000000,-
Economic Development,Improvement of Enchanted River,1916-22,500000,-,-,500000,-
Total 20% EDF,Total 20% EDF,-,154429341,49504772.5,36253711.52,104924568.5,13251060.98
