objt,particulars_1,particulars_2,particulars_3,appropriations,allotments,obligations,balance_of_appropriations,balance_of_allotments
1911-01,20% Economic Development Fund,Local Government Administration,Philippine Rural Dev't Program (PRDP),3250000,1875000,1431709.38,1375000,443290.62
1911-02,20% Economic Development Fund,Local Government Administration,PCL Activities,80000,80000,80000,-,-
1911-03,20% Economic Development Fund,Local Government Administration,Federation of Assoc of Brgy. Captains,80000,20000,20000,60000,-
1911-04,20% Economic Development Fund,Local Government Administration,Sangguniang Kabataan (SK) Activities,20000,-,-,20000,-
1911-05,20% Economic Development Fund,Local Government Administration,Insurance of Government Buildings,200000,200000,200000,-,-
1911-06,20% Economic Development Fund,Local Government Administration,Annual RDC Contribution,100000,-,-,100000,-
1911-07,20% Economic Development Fund,Local Government Administration,Support to PDC,100000,25000,3360,75000,21640
1911-08,20% Economic Development Fund,Local Government Administration,"Management Operations for Planning, Research and Studies",500000,125000,88848,375000,36152
1911-09,20% Economic Development Fund,Local Government Administration,Repayment of Building Loan (LBP),30000000,6800000,6653084.22,23200000,146915.78
1911-10,20% Economic Development Fund,Local Government Administration,Support to Auditorial Program (COA),389673.4,-,-,389673.4,-
1911-11,20% Economic Development Fund,Local Government Administration,Assistance in Crisis Situation (AICS),6000000,5111000,5108150.05,889000,2849.95
1911-12,20% Economic Development Fund,Local Government Administration,Information Technology Development Program,700000,290550,207548.19,409450,83001.81
1911-13,20% Economic Development Fund,Local Government Administration,Computerization of Provincial Assessor's Office,400000,100000,52723.59,300000,47276.41
1911-14,20% Economic Development Fund,Local Government Administration,Support to Provincial Land Titling Project,1166904.6,400000,161250,766904.6,238750
1911-15,20% Economic Development Fund,Local Government Administration,Community Based Monitoring System (CBMS),500000,192500,105561,307500,86939
1911-16,20% Economic Development Fund,Local Government Administration,"Support to Special Projects, i.e AECID, UNFPA, UNDP, KALAHI",200000,65000,38850,135000,26150
1911-17,20% Economic Development Fund,Local Government Administration,Support to COMELEC,250000,67500,23515,182500,43985
1911-18,20% Economic Development Fund,Local Government Administration,Tax Campaign Program,200000,200000,100000,-,100000
1911-19,20% Economic Development Fund,Local Government Administration,Real Property Tax Administration,200000,50000,-,150000,50000
1911-20,20% Economic Development Fund,Local Government Administration,Support to Counter Insurgency Program,4000000,3000000,25000,1000000,2975000
1911-21,20% Economic Development Fund,Local Government Administration,Support to Brgy. Tanod ,1500000,500000,495000,1000000,5000
3910-01,20% Economic Development Fund,Social Development,Alay ng Probinsya Scholarship Program,2000000,500000,-,1500000,500000
3910-02,20% Economic Development Fund,Social Development,Nutrition Program,300000,75000,12500,225000,62500
3910-03,20% Economic Development Fund,Social Development,Botica sa Barangay,5000000,5000000,4995802.5,-,4197.5
3910-04,20% Economic Development Fund,Social Development,Women's Health,3600000,-,-,3600000,-
3910-05,20% Economic Development Fund,Social Development,Philhealth,2000000,-,-,2000000,-
3910-06,20% Economic Development Fund,Social Development,Population Management Activities,100000,25000,3688,75000,21312
3910-07,20% Economic Development Fund,Social Development,Support to Welfare and Development Services,100000,35000,17709,65000,17291
3910-08,20% Economic Development Fund,Social Development,Support to Senior Citizens,50000,-,-,50000,-
3910-09,20% Economic Development Fund,Social Development,Support to Differently-Abled Citizens,50000,-,-,50000,-
3910-10,20% Economic Development Fund,Social Development,Support to Red Cross,150000,-,-,150000,-
