particulars_1,particulars_2,objt,appropriation,allotment,obligations,balances_of_allotments,balances_of_appropriation
20% Local Development Fund,20% Local Development Fund,-,-,-,-,-,-
Development Administration,Mindanao Rural Development Program,19911-01,3250000,92500,40377,3157500,52123
Development Administration,PCL Activities,19911-02,80000,80000,49875,-,30125
Development Administration,Federation of Association of Barangay Captains,19911-03,80000,80000,80000,-,-
Development Administration,Sangguniang Kabataan Activities,19911-04,20000,-,-,20000,-
Development Administration,Insurance of Government Buildings,19911-05,200000,200000,110039.04,-,89960.96
Development Administration,Annual RDC Contribution,19911-06,100000,100000,100000,-,-
Development Administration,Support to PDC,19911-07,100000,100000,100000,-,-
Development Administration,"Management Operations for Planning, Reasearch and Studies",19911-08,500000,445000,408532.53,55000,36467.47
Development Administration,Repayment of Building Loan (LBP),19911-09,20000000,19347264,18887755,652736,459509
Development Administration,Repayment of Equipment Loan (PNB),19911-10,8000000,2000000,-,6000000,2000000
Development Administration,Support to Auditorial Program COA,19911-11,-,-,-,-,-
Development Administration,Assistance in Crisis Situation (AICS),19911-12,4389673.4,4359673.4,4385258.85,-,4414.55
Development Administration,Information Technology Development Program,19911-13,756431.1,710431.1,634415.83,56000,76015.27
Development Administration,Computerization of the Provincial Assessor's Office,19911-14,400000,359631,330053.18,40369,29577.82
Development Administration,Support to Provincial Land Titling Project,19911-15,904213.6,300000,247500,604213.6,52500
Development Administration,Community Based Monitoring System (CBMS),19911-16,500000,420000,411876.14,80000,8123.86
Development Administration,"Support to Special Projects,i.e PAMANA, AECID, UNFPA",19911-17,200000,134750,126493.38,65250,8256.62
Development Administration,Support to Comelec,19911-18,250000,250000,207374,-,42626
Development Administration,Tax Campaign Program,19911-19,200000,100000,100000,100000,-
Development Administration,Real Property Tax Administration,19911-20,200000,150000,-,50000,150000
Development Administration,Support to Construction of PNP,19911-21,6000000,6000000,6000000,-,-
Development Administration,Support to Counter Insurgency Program,19911-22,4000000,4000000,3897584,-,102116
Development Administration,Support to Barangay Tanod,19911-23,1500000,500000,495000,1000000,5000
Social Development,Alay ng Probinsya Scholarship Program,3910-01,2000000,500000,160363.17,1500000,339636.83
Social Development,Nutrition Program,3910-02,300000,225000,131320,75000,93680
Social Development,Botica sa Barangay,3910-03,5000000,5000000,4976415,-,23585
Social Development,Women's Health,3910-04,3600000,1236865.1,1043521.32,2363134.9,193313.78
Social Development,Philhealth,3910-05,2000000,2000000,2000000,-,-
Social Development,Population Management Activities,3910-06,100000,100000,95508,-,4492
Social Development,Support to Welfare and Development Services,3910-07,100000,100000,78600,-,21200
Social Development,Support to Senior Citizens,3910-08,50000,-,-,50000,-
Social Development,Support to Differently-Abled Citizens,3910-09,50000,-,-,50000,-
Social Development,Support to Red Cross,3910-10,150000,112500,112500,37500,-
Social Development,Support to National Commission on Indigenous People,3910-11,100000,75000,49510,25000,25490
Economic Development,Support to Pag-asa (OPAG),1916-01,400000,304090,235500.06,95910,68589.94
Economic Development,Marine and Aquatic Development Program,1916-02,300000,300000,210407.5,-,89592.5
Economic Development,Animal Health care Program,1916-03,400000,307500,252622.65,92500,54877.35
Economic Development,Support to DRR/CCA/PPFP Formulation,1916-04,100000,25000,12244,75000,12756
Economic Development,Gawad Pangulo sa KAPALIGIRAN,1916-05,150000,-,-,150000,-
Economic Development,Devolved Environmental Programs,1916-06,100000,60000,48222.28,40000,11777.72
Economic Development,Construction or Rehabilitation and Other Support Services for Water Supply Program,1916-07,4000000,4000000,3953789.4,-,46210.6
Economic Development,"Construction or Installation of Municipal Street Lights, Barangay Buenavista",1916-08,2537950,2537950,2537055,-,895
Economic Development,"Construction or Installation of Municipal Street Lights, Mangagoy, Barangay Bislig City Phase II",1916-09,4962050,4808358,153692,153692,4654666
Economic Development,"Construction or Installation of Municipal Street Lights, National Highway, Tandag City",1916-10,2000000,-,-,2000000,-
Economic Development,Concreting Jacinto P Elpa to Adela Serra Ty,1916-11,10000000,-,-,10000000,-
Economic Development,Repair and Maintenance of Roads and Bridges,1916-12,26933568.9,26933568.9,25922440.48,1000000,11128.42
Economic Development,Rehabilitation of heavy Equipment,1916-13,10000000,8917764,8917764,1082236,-
Economic Development,"Construction of Legislative Building, Phase II",1916-14,15000000,15000000,2237954.97,-,12762045.03
Economic Development,Maintenance of Capitol Building (Capitol of South),1916-15,2000000,2000000,1994264.76,-,5735.24
Economic Development,Maintenance of Bus or Jeepney Terminal and Sports Complex,1916-16,355454,355454,353833.82,-,1620.18
Economic Development,Construction of Provincial Guest House,1916-17,5000000,5000000,4479763.21,-,520236.79
Economic Development,Tourism Industry Promotion,1916-18,1000000,543500,534664,456500,8836
Economic Development,Provincial Cultural Activities,1916-19,120000,-,-,100000,-
Economic Development,Sports Development,1916-20,1500000,1500000,1500000,-,9668.4
Economic Development,Araw ng Surigao del Sur Celebration,1916-21,2000000,2000000,1990331.6,-,-
Economic Development,Improvement of Enchanted River,1916-22,500000,-,-,500000,-
Total 20% EDF,Total 20% EDF,-,154429341,122701799.5,100594921.2,31727541.5,22106878.33
