developmental_projects_1,developmental_projects_2,status,current_appropriation,total_appropriation,expenditures_continuing_2012,expenditures_current_2013,expenditure_total,total_balance
Social Development,Covered Court,-,15000000,15000000,-,3201066.07,3201066.07,11798933.93
Social Development,Construction of City Health Building,-,10000000,10000000,-,-,-,10000000
Social Development,Land Banking,-,10000000,10000000,-,-,-,10000000
Economic Development,New Public Market (Loan Amortization),-,32500000,32500000,-,30127399.93,30127399.93,2372600.07
Economic Development,Heavy Equipment (Loan Amortization),-,16000000,16000000,-,15896412.98,15896412.98,103587.02
Economic Development,Drainage Improvement,-,7000000,7000000,-,56135,56135,6943865
Economic Development,Procurement of 2 units sanitation truck ,-,3000000,3000000,-,-,-,3000000
Economic Development,Road Concreting,-,5000000,5000000,-,-,-,5000000
Economic Development,Multi-Purpose Complex Building,-,14115819,14115819,-,-,-,14115819
Grand Total,Grand Total,-,112615819,112615819,-,49281013.98,49281013.98,63334805.02
