developmental_projects_1,developmental_projects_2,status,current_appropriation,total_appropriation,expenditures_continuing_2012,expenditures_current_2013,expenditure_total,total_balance
Social Development,Covered Court,-,15000000,15000000,-,-,-,15000000
Social Development,Construction of City Health Building,-,10000000,10000000,-,-,-,10000000
Social Development,Land Banking,-,10000000,10000000,-,-,-,10000000
Economic Development,New Public Market (Loan Amortization),-,32500000,32500000,-,4175354.02,4175354.02,28324645.98
Economic Development,Heavy Equipment (Loan Amortization),-,16000000,16000000,-,4036306.71,4036306.71,11963693.29
Economic Development,Drainage Improvement,-,7000000,7000000,-,-,-,7000000
Economic Development,Procurement of 2 units sanitation truck ,-,3000000,3000000,-,-,-,3000000
Economic Development,Road Concreting,-,5000000,5000000,-,-,-,5000000
Economic Development,Multi-Purpose Complex Building,-,14115819,14115819,-,-,-,14115819
Grand Total,Grand Total,-,112615819,112615819,-,8211660.73,8211660.73,104404158.3
