account_code,particulars_1,particulars_2,particulars_3,particulars_4,total
-,Current Operating Expenditures,Personal Services,Personal Services,Personal Services,-
-,Current Operating Expenditures,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,-
759,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Social Services,City Health Office ,Social Development Program - Drugs and Medicines Expenses,499447.85
969,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Social Services,City Health Office ,Social Development Program - Other Maintenance and Operating Expenses,241500
795,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Social Services,City Planning and Development Office ,Lucena Manpower Skills Training Center Program (LMSTC) - General Services (Manpower) 795 ,275372.5
854,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Social Services,City Mayor's Office ,"Installation/Rehabilitation of Government Facilities (Deepwells, Shallow Wells including water distribution connections) - Repairs and Maintenance of Deepwells",105989
969,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Social Services,City Mayor's Office ,"Installation/Rehabilitation of Government Facilities (Deepwells, Shallow Wells including water distribution connections) - Other Maintenance and Operating Expenses",89232.94
762,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Economic Services,City Agriculturist's Office  ,Agriculture Development - Agricultural Supplies Expenses,720000
795,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Economic Services,City Agriculturist's Office  ,Agriculture Development - General Services (Agricultural),273875.92
969,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Economic Services,City Planning and Development Office ,Rivers Resuscitation Project - Other Maintenance and Operating Expenses,25617
856,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Economic Services,City Engineer's Office ,Repairs and Maintenance (Flood controls),17020.16
860,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Economic Services,City Engineer's Office ,Repairs and Maintenance (Other Public Infrastructures),62941.25
-,Current Operating Expenditures - Maintenance and Other Operating Expenses: ,Total MOOE,Total MOOE,Total MOOE,2310996.62
205,Capital Outlay,Social Services,City Mayor's Office ,"Electrification, Prower and Energy Structures",925969.93
215,Capital Outlay,Social Services,City Mayor's Office ,Other Structures,354304.72
254,Capital Outlay,Social Services,City Office,"Artesian Wells, Reservoirs, Pumping Stations and Conduits",31687.19
251,Capital Outlay,Economic Services,City Engineer's Office ,"Roads, Highways and Bridges",4035245.1
256,Capital Outlay,Economic Services,City Engineer's Office ,Flood Controls,1327567.18
260,Capital Outlay,Economic Services,City Engineer's Office ,Other Public Infrastructure,2445439.91
-,Capital Outlay,Total Capital Outlay,Total Capital Outlay,Total Capital Outlay,9120214.03
-,Grand Total,Grand Total,Grand Total,Grand Total,11431210.65
