particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,previous_years_appropriatons_transferred_to_the_special_trust_fund,from_other_sources,total
Sources of Funds,Current Appropriation,6620235.55,15447216.3,-,-,-,22067451.85
Sources of Funds,Previous Year's Appropriations  transferred to the Special Trust Fund CY 2010,-,-,-,7381732.14,-,7381732.14
Sources of Funds,Previous Year's Appropriations  transferred to the Special Trust Fund CY 2011,-,-,-,8526535.2,-,8526535.2
Sources of Funds,Previous Year's Appropriations  transferred to the Special Trust Fund CY 2012,-,-,-,5045938.61,-,5045938.61
Sources of Funds,Previous Year's Appropriations  transferred to the Special Trust Fund CY 2013,-,-,-,7618642.49,-,7618642.49
Sources of Funds,Total Funds Available,6620235.55,15447216.3,-,28572848.44,-,50640300.29
Utilization,Prevention and Mitigation,-,2600000,-,-,-,2600000
Utilization,Preparedness,-,430643.65,-,-,-,430643.65
Utilization,"Response, Rehabilitation and Recovery",-,5671.5,-,-,-,5671.5
Utilization,Total Utilization,-,3036315.15,-,-,-,3036315.15
Utilization,Unutilized Balance,6620235.55,12410901.15,-,28572848.44,-,47603985.14
