particulars_1,particulars_2,particulars_3,appropriation,obligation,balance
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control ,6036050,3000000,3036050
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Concrete Fence,144000,-,144000
Less-Disbursements,Pre-Disaster Preparedness Programs,Trainings,707000,527805.13,179194.87
Less-Disbursements,Pre-Disaster Preparedness Programs,Purchase of Rescue and Life Savings Equipments,2954380,1357800,1596580
Less-Disbursements,Pre-Disaster Preparedness Programs,Information Education Campaign,580000,431510,148490
Less-Disbursements,Pre-Disaster Preparedness Programs,Pre - emptive Evacuation,1000000,-,1000000
Less-Disbursements,Pre-Disaster Preparedness Programs,Community Organizing,2420544.87,2312544.87,108000
Less-Disbursements,Total (70%),Total (70%),13841974.87,7629660,6212314.87
Less-Disbursements,Post - Disaster Preparedness Programs,Post - Disaster Preparedness Programs,-,-,-
Less-Disbursements,Quick Response Fund,Quick Response Fund,7112989.23,-,-
Less-Disbursements,Total (30%),Total (30%),-,-,7112989.23
