particulars_1,particulars_2,particulars_3,appropriation,obligation,balance
Less-Disbursements,Pre-Disaster Preparedness Program,Flood Control,9682975.02,9682975.02,
Less-Disbursements,Pre-Disaster Preparedness Program,Emergency Operations Center,1495400,884187.24,611212.76
Less-Disbursements,Pre-Disaster Preparedness Program,Trainings,896000,299164.46,596835.54
Less-Disbursements,Pre-Disaster Preparedness Program,Public Information,1580000,744453.56,835546.44
Less-Disbursements,Pre-Disaster Preparedness Program,Community Organizing,1700000,1686229,13771
Less-Disbursements,Pre-Disaster Preparedness Program,Total (70%),15354375.02,13297009.28,2057365.74
Less-Disbursements,Post - Disaster Preparedness Program,Post - Disaster Preparedness Program,-,-,-
Less-Disbursements,Quick Response Fund,Quick Response Fund,6642160.73,-,-
Less-Disbursements,Quick Response Fund,Withdrawal of City Aid (Sunog SMLAO),-,100000,-
Less-Disbursements,Quick Response Fund,Financial Assistance during Typhoon Pablo (Compostela Valley),-,50000,-
Less-Disbursements,Quick Response Fund,Financial Assistance during Typhoon Pablo (Davao Oriental),-,50000,-
Less-Disbursements,Quick Response Fund,To Cover the Expenses during Typhoon Pablo of Ozamiz City,-,1500000,-
Less-Disbursements,Quick Response Fund,Total (30%),-,-,4942160.73
