Name of Region,type_of_financial_institution,Dec-01,Dec-02,Dec-03,Dec-04,Dec-05,Dec-06,Dec-07,Dec-08,Dec-09,Dec-10,Dec-11
National Capital Region,National Capital Region Total,"1,380.66","1,543.70","1,711.75","1,750.93","1,880.34","2,144.99","2,203.43","2,064.18","2,078.51","2,284.52","2,765.76"
National Capital Region,Universal and Commercial Banks,"1,281.52","1,418.41","1,564.52","1,593.19","1,698.70","1,916.59","1,945.01","1,834.02","1,829.83","2,026.08","2,499.20"
National Capital Region,Thrift Banks,96.64,121.857,142.404,151.725,171.703,219.221,247.296,217.644,231.034,243.737,251.512
National Capital Region,Rural and Cooperative Banks,2.502,3.433,4.824,6.009,9.943,9.183,11.128,12.516,17.644,14.703,15.051
REGION I - Ilocos,REGION I - Ilocos Total,12.598,14.948,11.847,12.423,12.424,14.328,16.092,17.212,25.273,25.589,21.811
REGION I - Ilocos,Universal and Commercial Banks,6.718,8.796,6.309,6.218,6.711,7.329,7.801,8.09,18.817,16.038,11.463
REGION I - Ilocos,Thrift Banks,2.162,1.972,0.913,0.951,0.971,      ,1.287,1.45,1.55,2.866,4.263
REGION I - Ilocos,Rural and Cooperative Banks,3.718,4.18,4.625,5.254,4.741,5.899,7.004,7.671,4.906,6.685,6.085
REGION II - Cagayan Valley,REGION II - Cagayan Valley Total,8.63,9.341,9.85,9.916,10.44,11.983,13.008,13.258,14.64,17.409,18.266
REGION II - Cagayan Valley,Universal and Commercial Banks,6.307,6.639,6.923,6.675,6.909,7.827,7.824,7.406,8.268,9.541,9.588
REGION II - Cagayan Valley,Thrift Banks,0.145,0.319,0.326,0.302,0.306,0.608,0.486,0.561,0.737,1.65,3.149
REGION II - Cagayan Valley,Rural and Cooperative Banks,2.178,2.383,2.6,2.939,3.226,3.548,4.698,5.291,5.635,6.217,5.528
REGION III - Central Luzon 2/,REGION III - Central Luzon 2/ Total,35.781,36.046,37.554,39.949,37.416,38.513,39.748,42.692,49.438,58.316,71.818
REGION III - Central Luzon 2/,Universal and Commercial Banks,22.314,20.644,22.614,22.885,21.404,21.936,18.734,17.794,25.148,26.97,36.693
REGION III - Central Luzon 2/,Thrift Banks,6.404,6.82,5.666,6.411,6.061,6.686,6.703,8.008,7.842,12.51,15.905
REGION III - Central Luzon 2/,Rural and Cooperative Banks,7.063,8.582,9.275,10.653,9.95,9.891,14.311,16.89,16.448,18.836,19.22
REGION IV-A - Calabarzon 3/,REGION IV-A - Calabarzon 3/ Total,42.05,36.96,33.337,35.042,33.741,36.372,40.984,43.17,81.242,56.659,70.525
REGION IV-A - Calabarzon 3/,Universal and Commercial Banks,25.584,19.881,16.253,17.515,15.901,16.232,16.739,16.918,56.457,26.962,37.645
REGION IV-A - Calabarzon 3/,Thrift Banks,5.239,5.617,5.564,5.065,5.08,5.746,6.477,8.384,7.426,11.974,14.432
REGION IV-A - Calabarzon 3/,Rural and Cooperative Banks,11.227,11.462,11.519,12.462,12.76,14.394,17.768,17.868,17.359,17.723,18.448
REGION IV-B -  Mimaropa 3/,REGION IV-B -  Mimaropa 3/ Total,                     -,4.197,4.744,5.146,2.817,2.58,4.541,4.802,5.759,6.279,8.735
REGION IV-B -  Mimaropa 3/,Universal and Commercial Banks,                     -,2.818,3.157,3.437,1.778,1.502,2.459,2.528,3.106,3.677,5.62
REGION IV-B -  Mimaropa 3/,Thrift Banks,                     -,0.306,0.358,0.401,0,0.043,0.483,0.524,0.647,0.761,0.862
REGION IV-B -  Mimaropa 3/,Rural and Cooperative Banks,                     -,1.073,1.228,1.309,1.039,1.035,1.599,1.75,2.005,1.841,2.253
REGION V - Bicol,REGION V - Bicol Total,10.377,9.889,10.209,11.894,11.752,13.34,14.6,11.962,13.104,17.519,21.723
REGION V - Bicol,Universal and Commercial Banks,7.355,6.32,6.17,7.284,6.777,6.851,6.275,6.587,8.483,10.87,14.125
REGION V - Bicol,Thrift Banks,0.706,0.905,0.656,0.743,0.817,1.102,1.422,1.714,1.792,2.78,2.898
REGION V - Bicol,Rural and Cooperative Banks,2.316,2.664,3.383,3.868,4.159,5.388,6.904,3.661,2.828,3.869,4.7
