selected_accounts,selected_accounts_type_1,selected_accounts_type_2,11-Mar,11-Jun,11-Sep,11-Dec
Income and Expense Accounts,Interest Income,Interest Income,11.135,21.575,32.065,43.498
Income and Expense Accounts,Interest Expense,Interest Expense,3.797,7.452,11.029,15.013
Income and Expense Accounts,Provision for Losses on Accrued Interest Income from Financial Assets,Provision for Losses on Accrued Interest Income from Financial Assets,0.058,0.055,0.067,0.048
Net Interest Income,Net Interest Income,Net Interest Income,7.28,14.068,20.969,28.437
Non-Interest Income,Non-Interest Income,Non-Interest Income,1.609,3.75,6.717,9.546
Non-Interest Income,Dividend Income,Dividend Income,0,0.001,0.002,0.016
Non-Interest Income,Fees and Commissions Income,Fees and Commissions Income,1.001,1.983,2.922,4.005
Non-Interest Income,Non-Interest Income,Payment Services,0.054,0.112,0.203,0.262
Non-Interest Income,Non-Interest Income,Intermediation Services,0.544,1.092,1.645,2.184
Non-Interest Income,Non-Interest Income,Custodianship,0,0,0,0
Non-Interest Income,Non-Interest Income,Underwriting and Securities Dealership,0,0,0,0
Non-Interest Income,Non-Interest Income,Securitization Activities,0,0,0,0
Non-Interest Income,Non-Interest Income,Income from Fiduciary Activities,0.027,0.053,0.083,0.114
Non-Interest Income,Non-Interest Income,Others,0.376,0.727,0.991,1.444
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,-0.331,0.217,1.002,1.659
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,-0.001,0,0.001,0.004
Non-Interest Income,Foreign Exchange Profit/(Loss),Foreign Exchange Profit/(Loss),0.024,0.076,0.076,0.152
Non-Interest Income,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,0.286,0.4,1.181,1.581
Non-Interest Income,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,0,0,0,0
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,0.222,0.401,0.625,1.027
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,"Bank Premises, Furniture, Fixture and Equipment",0.004,0.02,0.03,0.076
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Real and Other Properties Acquired (ROPA),0.215,0.396,0.597,0.95
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Goodwill,0,0,0,0
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Other Intangibles,0.003,-0.016,-0.002,0.001
Non-Interest Income,Other Income,Other Income,0.408,0.672,0.908,1.102
Non-Interest Expense,Non-Interest Expense,Non-Interest Expense,6.317,12.429,18.654,25.831
Non-Interest Expense,Compensation/Fringe Benefits,Compensation/Fringe Benefits,2.161,4.231,6.372,8.851
Non-Interest Expense,Taxes and Licenses,Taxes and Licenses,0.616,1.163,1.78,2.412
Non-Interest Expense,Fees and Commissions Expenses,Fees and Commissions Expenses,0.031,0.063,0.072,0.17
Non-Interest Expense,Other Administrative Expenses,Other Administrative Expenses,2.622,5.335,7.991,11.026
Non-Interest Expense,Depreciation/Amortization,Depreciation/Amortization,0.574,1.143,1.6,2.175
Non-Interest Expense,Impairment Losses,Impairment Losses,0.011,0.002,0.012,0.011
Non-Interest Expense,Impairment Losses,"Investment in Subsidiaries, Associates and Joint Ventures",0,0,0,0
Non-Interest Expense,Impairment Losses,"Bank Premises, Furniture, Fixture and Equipment",0,0,0,0
Non-Interest Expense,Impairment Losses,ROPA,0.011,0.002,0.004,0.011
Non-Interest Expense,Impairment Losses,Goodwill,0,0,0,0
Non-Interest Expense,Impairment Losses,Other Intangible Assets,0,0,0,0
Non-Interest Expense,Impairment Losses,Other Assets,0,0,0.008,0
Non-Interest Expense,Provisions,Provisions,0.303,0.492,0.827,1.187
Losses/Recoveries on Financial Assets,Losses/Recoveries on Financial Assets,Losses/Recoveries on Financial Assets,-0.326,-0.609,-1.33,-1.874
Losses/Recoveries on Financial Assets,Provision for Credit Losses on Loans and Receivables and Other Financial Assets,Provision for Credit Losses on Loans and Receivables and Other Financial Assets,-0.36,-0.696,-1.434,-2.041
Losses/Recoveries on Financial Assets,Bad Debts Written Off,Bad Debts Written Off,-0.007,-0.014,-0.021,-0.03
Losses/Recoveries on Financial Assets,Recovery on Charged-Off Assets,Recovery on Charged-Off Assets,0.042,0.102,0.125,0.196
