selected_account_a,selected_account_b,sellected_account_c,42077,Jun-14,Sep-14,
Income and Expense Accounts,Interest Income,Interest Income,12.82922,26.1801,40.03723,
Income and Expense Accounts,Interest Expense,Interest Expense,3.31754,6.60856,10.04577,
Income and Expense Accounts,Provision for Losses on Accrued Interest Income from Financial Assets,Provision for Losses on Accrued Interest Income from Financial Assets,0.07687,0.0817,0.07228,
Net Interest Income Total,Net Interest Income Total,Net Interest Income Total,9.43482,19.48984,29.91918,
Non-Interest Income Total,Non-Interest Income Total,Non-Interest Income Total,2.8214,5.50691,8.82563,
Non-Interest Income,Dividend Income,Dividend Income,0.00205,0.00462,0.00726,
Non-Interest Income,Fees and Commissions Income,Fees and Commissions Income,1.79162,3.52247,5.33116,
Non-Interest Income,Fees and Commissions Income,Payment Services,0.06223,0.13913,0.20574,
Non-Interest Income,Fees and Commissions Income,Intermediation Services,0.80501,1.66551,2.52572,
Non-Interest Income,Fees and Commissions Income,Custodianship,0.00004,0.00008,0.00012,
Non-Interest Income,Fees and Commissions Income,Underwriting and Securities Dealership,0,0,0,
Non-Interest Income,Fees and Commissions Income,Securitization Activities,0,0,0,
Non-Interest Income,Fees and Commissions Income,Income from Fiduciary Activities,0.02193,0.04622,0.06989,
Non-Interest Income,Fees and Commissions Income,Others,0.90241,1.67153,2.52969,
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,0.16945,0.38458,0.39958,
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,-0.00016,-0.00014,-0.0001,
Non-Interest Income,Foreign Exchange Profit/(Loss),Foreign Exchange Profit/(Loss),0.05598,0.04952,0.12208,
Non-Interest Income,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,0.11819,0.1983,0.86523,
Non-Interest Income,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,-0.00176,-0.00365,-0.00535,
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,0.42139,0.80315,1.17291,
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,"Bank Premises, Furniture, Fixture and Equipment",0.03764,0.07644,0.08616,
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Real and Other Properties Acquired (ROPA),0.38376,0.72665,1.08669,
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Goodwill,0,0,0,
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Other Intangibles,0,0.00005,0.00005,
Non-Interest Income,Other Income,Other Income,0.26463,0.54806,0.93286,
Non-Interest Expense Total,Non-Interest Expense Total,Non-Interest Expense Total,8.66179,17.15447,26.50628,
Non-Interest Expense,Compensation/Fringe Benefits,,2.77495,5.629,8.50705,
Non-Interest Expense,Taxes and Licenses,Taxes and Licenses,0.73574,1.42159,2.26896,
Non-Interest Expense,Fees and Commissions Expenses,Fees and Commissions Expenses,0.11397,0.24419,0.3772,
Non-Interest Expense,Other Administrative Expenses,Other Administrative Expenses,3.66156,7.59881,11.73203,
