selected_accounts,selected_accounts_type_1,selected_accounts_type_2,Mar-10,Jun-10,Sep-10,Dec-10
Income and Expense Accounts,Interest Income,Interest Income,9.943,19.981,30.9,41.881
Income and Expense Accounts,Interest Expense,Interest Expense,3.893,7.786,11.984,16.312
Income and Expense Accounts,Provision for Losses on Accrued Interest Income from Financial Assets,Provision for Losses on Accrued Interest Income from Financial Assets,0.053,0.051,0.061,0.074
Net Interest Income,Net Interest Income,Net Interest Income,5.997,12.144,18.855,25.496
Non-Interest Income,Non-Interest Income,Non-Interest Income,2.171,4.077,8.133,11.692
Non-Interest Income,Dividend Income,Dividend Income,0,0.001,0.003,0.003
Non-Interest Income,Fees and Commissions Income,Fees and Commissions Income,1.06,2.124,3.384,4.538
Non-Interest Income,Non-Interest Income,Payment Services,0.06,0.146,0.227,0.303
Non-Interest Income,Non-Interest Income,Intermediation Services,0.598,1.181,1.794,2.34
Non-Interest Income,Non-Interest Income,Custodianship,0.001,0,0,0
Non-Interest Income,Non-Interest Income,Underwriting and Securities Dealership,0,0,0,0
Non-Interest Income,Non-Interest Income,Securitization Activities,0,0,0,0
Non-Interest Income,Non-Interest Income,Income from Fiduciary Activities,0.021,0.043,0.067,0.095
Non-Interest Income,Non-Interest Income,Others,0.379,0.753,1.295,1.799
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,0.602,0.949,2.165,3.429
Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,0.004,0.007,0.012,0.013
Non-Interest Income,Foreign Exchange Profit/(Loss),Foreign Exchange Profit/(Loss),0.034,0.102,0.18,0.122
Non-Interest Income,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,0.118,0.22,1.165,1.467
Non-Interest Income,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,0,0,0,0
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,0.174,0.283,0.513,0.746
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,"Bank Premises, Furniture, Fixture and Equipment",0.015,-0.09,0.022,0.027
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Real and Other Properties Acquired (ROPA),0.157,0.368,0.59,0.816
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Goodwill,0,0,0,0
Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Other Intangibles,0.002,0.004,-0.099,-0.096
Non-Interest Income,Other Income,Other Income,0.18,0.391,0.713,1.375
Non-Interest Expense,Non-Interest Expense,Non-Interest Expense,6.315,12.405,19.395,27.135
