,selected_account_a,selected_account_b,selected_account_c,Mar-14,Jun-14,Sep-14,Dec-14
,Income and Expense Accounts,Interest Income,Interest Income,11.15891,22.79047,34.1888,45.86048
,Income and Expense Accounts,Interest Expense,Interest Expense,3.92977,7.89757,11.84725,15.87552
,Income and Expense Accounts,Provision for Losses on Accrued Interest Income from Financial Assets,Provision for Losses on Accrued Interest Income from Financial Assets,0.06488,0.06058,0.07658,0.08214
,Net Interest Income Total,Net Interest Income Total,Net Interest Income Total,7.16426,14.83231,22.26497,29.90282
,Non-Interest Income Total,Non-Interest Income Total,Non-Interest Income Total,4.32652,7.13462,9.60921,12.0523
,Non-Interest Income,Dividend Income,Dividend Income,0.00021,0.03278,0.0328,0.03549
,Non-Interest Income,Fees and Commissions Income,Fees and Commissions Income,1.02361,2.1201,3.29496,4.60957
,Non-Interest Income,Fees and Commissions Income,Payment Services,0.06932,0.15282,0.22712,0.31577
,Non-Interest Income,Fees and Commissions Income,Intermediation Services,0.60242,1.25804,1.92258,2.5714
,Non-Interest Income,Fees and Commissions Income,Custodianship,0.01327,0.00011,0.00016,0.00021
,Non-Interest Income,Fees and Commissions Income,Underwriting and Securities Dealership,0,0,0,0
,Non-Interest Income,Fees and Commissions Income,Securitization Activities,0,0,0,0
,Non-Interest Income,Fees and Commissions Income,Income from Fiduciary Activities,0.03125,0.05637,0.09569,0.12873
,Non-Interest Income,Fees and Commissions Income,Others,0.30735,0.65276,1.0494,1.59346
,Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Gains/(Losses) on Financial Assets and Liabilities Held for Trading,2.19095,3.17043,3.45233,3.78348
,Non-Interest Income,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,Gains/(Losses) on Financial Assets and Liabilities Designated at Fair Value through Profit or Loss,0.00253,0.00252,0.00476,0.00256
,Non-Interest Income,Foreign Exchange Profit/(Loss),Foreign Exchange Profit/(Loss),0.01887,0.058,0.08281,0.13169
,Non-Interest Income,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,0.61929,0.65217,1.13423,1.38579
,Non-Interest Income,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,Gains/(Losses) on Fair Value Adjustment in Hedge Accounting,0,0.00673,0.00615,0.00405
,Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,0.21062,0.54051,0.78378,1.00721
,Non-Interest Income,Gains/(Losses) from Sale/Derecognition of Non-Financial Assets ,"Bank Premises, Furniture, Fixture and Equipment",0.00198,0.00951,0.01028,0.01559
