region,province,address,fax_number,telephone_number
RFU IVB,Palawan,F. Rafols Road Sta. Monica Puerto Princesa City,(048)433-2643,(048)433-2643
RFU XI,Davao City,"Port of Davao, Port Area Sasa Wharf, Sasa Davao City",(082)235-2518,"(082)235-2518, (082)234-0574"
RFU IX,Zamboanga City,Port Area of Zamboanga City,(062)991-2802,(062)991-2802
RFU IVA,Batangas,"Port of Batangas Sta. Clara, Batangas Pier",(043)723-2322,(043)723-2322
RFU VI,IloIlo,"Parola, Iloilo City",(033)300-0873,(033)300-0873
RFU III,Pampanga,"City of San Fernando, Pampanga",-,-
RFU IVA,Quezon,"Port of Quezon Talao-Talao, Lucena City",c/o Batangas Port,-
RFU IVB,Oriental Mindoro,San Antonio Port Calapan City,(043)288-1544,(043)288-1544
RFU XII,General Santos,Makar Wharf General Santos City,(083)552-4254,(083)552-4254
RFU VIII,Leyte,Jones Street Port of Tacloban,(053)321-2088,(053)321-2088
RFU II,Cagayan,"Tuguegarao City, Cagayan",(078)304-0256,(078)304-0256
RFU I,Ilocos Norte,"c/o Laoag Int'l. Airport Brgy. Gabu, Laoag City",-,-
RFU X,Misamis Occidental,Port of Ozamiz,(088)521-1344,(088)521-1344
RFU I,La Union,Port of San Fernando City La Union,(072)607-5719,(072)607-5719
RFU XII,South Cotabato,"Bo.2, EJC, Mortila RCPC Compound Tacurong City",(064)200-6465,(064)200-6465
RFU VII,Dumaguete City,Bureau if Plant Industry Dumaguete City,(035)226-3172,"(035)226-3172, (035)422-8294"
RFU V,Albay,"Rawis, Legazpi City",(052)482-0901,(052)482-0901
RFU XI,Davao Oriental,"Port of Mati, Quezon Street City of Mati",(087)388-3510,(087)388-3510
RFU II,Cagayan,"Port of Cagayan De Oro Macabalan, Cagayan De Oro City",(088)880-5827,(088)880-5827
RFU X,Lanao del Norte,"Port of Iligan City Pier 3, Port Area",(063)341-5673,(063)341-5673
RFU IVA,Laguna,"Brgy. Timugan Economic Garden Bureau of Plant Industry Los Banes, Laguna",(049)536-1678,(049)536-1678
RFU VII,Cebu,Arellano Blvd. Cebu City,(032)238-3048,(032)238-3048
RFU VI,Negros Occidental,"Avancena Street, Brgy. 39 Bacolod City",(034)435-4328,(034)435-4328
CARAGA,Agusan del Norte,"Department of Agriculture Capitol site, Butuan City",(085)342-4092 local 300,(085)342-4092 local 300
