region,province,municipality,division,school_id,school_name,school_type,year_1_male,year_1_female,year_2_male,year_2_female,year_3_male,year_3_female,year_4_male,year_4_female
I (Ilocos Region),Pangasinan,Bayambang,"Pangasinan I, Lingayen",321110,A.P. Guevarra IS,HS,53,29,23,24,31,21,17,19
I (Ilocos Region),Pangasinan,Agno,"Pangasinan I, Lingayen",321123,Abagatanen IS,HS,18,17,26,17,0,0,0,0
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,300376,Abanon NHS,HS,157,144,158,127,119,152,142,170
I (Ilocos Region),La Union,Bauang,La Union,300090,Acao NHS,HS,28,22,33,23,42,24,42,18
I (Ilocos Region),Ilocos Norte,Adams,Ilocos Norte,300001,Adams NHS,HS,13,16,18,16,22,12,11,12
I (Ilocos Region),Ilocos Norte,Nueva Era,Ilocos Norte,320820,Adriano P. Arzadon NHS,HS,13,14,11,22,24,24,16,17
I (Ilocos Region),Ilocos Sur,Santa Maria,Ilocos Sur,300032,Ag-agrao NHS,HS,26,27,20,27,27,25,25,21
I (Ilocos Region),Pangasinan,San Carlos City,San Carlos City,305703,Agdao Integrated School,HS,43,32,39,33,0,0,0,0
I (Ilocos Region),Pangasinan,Agno,"Pangasinan I, Lingayen",300154,Agno NHS,HS,167,174,187,202,169,174,150,178
I (Ilocos Region),Pangasinan,Aguilar,"Pangasinan I, Lingayen",321128,Aguilar Integrated School,HS,35,40,33,32,0,0,0,0
I (Ilocos Region),Pangasinan,City of Alaminos,Alaminos City,300155,Alaminos City NHS,HS,510,473,478,407,400,381,338,374
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300279,Alejandro F. Oligan HS (Asan Sur NHS),HS,83,70,55,45,46,54,46,31
I (Ilocos Region),Pangasinan,Malasiqui,"Pangasinan I, Lingayen",300156,Aliaga NHS,HS,34,33,46,38,37,39,36,38
I (Ilocos Region),Pangasinan,Sison,"Pangasinan II, Binalonan",300269,Alibeng NHS,HS,20,18,19,22,30,20,16,22
