trader_name,address,telephone_number,officers,e-mail_address,
"Absolut Distillers, Incorporated","Bo. Malaruhatan, Lian, Batangas",(043)215-23-27,Gerardo Tan Tee,gerrytee@yahoo.com,Gerardo Tan Tee
All Asian Bioethanol Corporation,"Brgy. Planas, Porac, Pampanga",(02)651-57-00,Michael Escaler,-,Michael Escaler
"All Asian Countertrade, Incorporated","5/F National Life Bldg., 6762 Ayala Ave., Makati City",(02)651-57-00,Elvi Manuel Bayle,-,Elvi Manuel Bayle
"Aspenn Enterprises, Incorporated","3/F, 7C Bldg., Lacson Ext., Bacolod City",(034)433-22-88,-,-,-
"Associated Planters Coop. Of Silay, Saravia, Incorporated","Silay-Hawaiian Central, Silay City",(034)495-20-83,Reynaldo Labayen,-,Reynaldo Labayen
Bacolod Molasses Hauler Incorporated,"46 B Libertad St., Bacolod City",(034)434-61-03,Roberto Justiniano,bacolodmolasseshauler@yahoo.co,Roberto Justiniano
"Balayan Distillery, Incorporated","Talisay, Calaca, Batangas",(043)223-74-27,Gilbert Lim,balayan_distillery@yahoo.com,Gilbert Lim
Batama Farmers' Marketing Coop.,"Bais Central, Negros Oriental",(035)541-50-29,Milagros Aldeguer,-,Milagros Aldeguer
"Batangas Sugar Planters Coop. Marketing, Association, Incorporated","Plaza Rizal cor. Fraternidad St., Balayan, Batangas",(043)211-43-68,Danilo Zuniga,bspcma888@yahoo.com,Danilo Zuniga
Bellisse  Merchandising,"Centro, Cabatuan, Isabela",(078)664-81-17,Christopher Uy,brasiliauy@gmail.com,Christopher Uy
BG Eliot Enterprises,"152 Brgy. San Juan, Sto. Tomas, Batangas",0917-5000947,Barnard G. Eliot,nardy_bg@yahoo.com,Barnard G. Eliot
"Biscom, Incorporated","6/F Legaspi Tower 200, Paseo de Roxas, Makati City",(02)817-15-51,Jose Mari Chan,-,Jose Mari Chan
"Bogo Medellin Milling Co., Incorporated","Luy-a, Medellin, Cebu","(032)436-23-30, 436-20-93",Alfred Ocopan,-,Alfred Ocopan
"Busco Sugar Milling Co., Incorporated","Brgy. Butong, Quezon, Bukidnon",(02)817-84-03,Julio Sy,busco@eastern.com.ph,Julio Sy
C.A. Posadas Corporation,"Campo 10, National Highway, Guihing, Hagonoy, Davao Del Sur",(082)227-33-10,Teresita Posadas,-,Teresita Posadas
Camp 1 Marketing,"Purok 3 Camp 1, Maramg, Bukidnon",(088)356-10-34,Jimmy Tan Mallack,-,Jimmy Tan Mallack
"Capiz Sugar Central, Incorporated","President Roxas, Capiz 21 P. Arroyo St., Iloilo City",(033)337-40-08, Julian Felipe Uygongco,Corporationlafilipinauygongco@yahoo., Julian Felipe Uygongco
"Central Azucarera De Bais, Incorporated","5/F Legaspi Tower 200, Paseo De Roxas, Makati City",(02)892-74-71,Antonio Steven Chan,-,Antonio Steven Chan
"Central Azucarera De La Carlota, Incorporated","Brgy. RSB, La Carlota City, Negros Occidental",(034)460-28-25,Eduardo Concepcion,-,Eduardo Concepcion
"Central Azucarera De San Antonio, Incorporated","5/F Legaspi Tower 200, Paseo De Roxas, Makati City",(02)892-74-71,Antonio Steven Chan,casa_site@yahoo.com,Antonio Steven Chan
"Central Azucarera Don Pedro, Incorporated","6/F CG Bldg., 101 Aguirre St., Legaspi Village, Makati City","(02)810-89-01, 892-96-47",Renato Valencia,-,Renato Valencia
Central Equipment Corporation,"1040 Mac  Arthur Highway, San Nicolas, Tarlac City",(045)982-18-95,Juan Chia,clement_chann77@yahoo.com,Juan Chia
Chuliante Marketing Corporation,"CMC Center, Real St., Ormoc City, Leyte",(053)255-43-48,Lloyd Lawrence Chu,-,Lloyd Lawrence Chu
