program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Social Development Program,Health Centers and Day Care Centers,Completion of Health Center,Barangay Bakidbakid,150000,-,-,-, - ,-,For Programming
Social Development Program,Health Centers and Day Care Centers,Completion of Health Center,Barangay Punong,100000,-,-,-, - ,-,For Programming
Social Development Program,Health Centers and Day Care Centers,Cmpletion of Health/Day Care Center,"Pidlagahan, Barangay Santiago",150000,-,-,-, - ,-,For Programming
Social Development Program,Health Centers and Day Care Centers,Completion of Health Center,Barangay Talon,150000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,Crude Oil or fuel (for drilling Machine),-,50000,-,-,-, - ,-,"Work on Going, CEO Admin "
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,"Equipment Maintenanceenance (spareparts, etc.)",-,70000,-,-,-, - ,-,"Work on Going, CEO Admin "
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,Piping Materials and Accessories (various barangays),-,250000,-,-,-, - ,-,"Work on Going, CEO Admin "
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improment of Level I and II WWs,Repair or Rehab of transmission pipeline for BJMP water supply,Barangay 26,300000,-,-,-, - ,-,"POW Approved, PR or process"
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of transmission pipelines,Barangay Bagubad,300000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of WWS,Barangay Bantaawan,200000,-,-,-, - ,-,Programming in Progress
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of additional WWs (Ramasola Source),Barangay Capitulangan,500000,-,-,-, - ,-,"POW Approved, PR or process"
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair or Rehabilitation of existing pipelines,Barangay Dinawehan,250000,-,-,-, - ,-,"POW Approved, PR or process"
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair or Imrovement of WWS,Barangay Eureka,220000,-,-,-, - ,-,Programming in Progress
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,"Construction of WWs, Mimpakiki",Barangay Kalipay,300000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,"Repair or Rehabilitation of transmission pipelines, Barangay Libertad",Barangay Libertad,25000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Rehabilitation of existing WWS,Barangay Lunotan,200000,-,-, , - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Piping installation for 4 classrooms,Barangay Lunotan,20000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWS (Avante source), Barangay Mimbalagon,500000,-,-,-, - ,-,POW Approved
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of existing pipelines,Barangay Mimbunga,25000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Expansion of WWS,Barangay Murallon,200000,-,-,-, - ,-,Programming in Progress
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of elevated tank at ONHS,Barangay Odiongan,170000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Development of water source w/ piping installation  (Mimbuyo source),Barangay Pigsalohan,200000,-,-,-,-,-,Programming in the process
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of Level II WWS,"Sitio Tabon-tabon, Barangay Sangalan",400000,-,-,-, - ,-,For Programming
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWS,"Sitio Domayocdoc,           Barangay San Miguel",300000,-,-,-, - ,-,Programming in  Process
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Expansion of WWS at Balsamo source,Barangay 26,50000,-,-,-, - ,-,For Programming
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,"Construction of multi-purpose hall, (Phase 2)",Barangay 2,400000,-,-,-, - ,-,POW Approved
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Completion of multi-purpose hall,Barangay 8,300000,-,-,-, - ,-,For Programming
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose hall,Barangay 10,200000,-,-,-, - ,-,POW Approved
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose hall,Barangay 16,200000,-,-,-, - ,-,POW Approved
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay 18,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of 2-storey multi-purpose hall (Phase 2),Barangay 22,400000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of multi-purpose hall,Barangay 22-A,600000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of multi-purpose hall,Barangay 24-A,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Additional Construction of multi-purpose facility (covered court),Barangay Agay-ayan,300000,-,-,-, - ,-,POW Approved
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Repair of multi-purpose hall,Barangay Bal-ason,200000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Daan Lungsod,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of Barangay Stage,Barangay Dinawehan,100000,-,-,-, - ,-,For Programming
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court additional roofing),Barangay Kalipay,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Completion of 2-storey multi-purpose hall,Barangay Kamanikan,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility for minors,Barangay Kipuntos,150000,-,-,-, - ,-,For Programming
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Rehabilitation of multi-purpose hall,Barangay Lawaan,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court) (Phase 2),Barangay Libon,300000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Minsapinit,400000,-,-,-, - ,-,Programming in process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay San Miguel,400000,-,-,-, - ,-,Programming in the process
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Tagpako,300000,-,-,-, - ,-,POW Approved
Economic Development Program,Communal Irrigation System,Eureka CIP (10% local counterpart to NIA),Barangay Eureka,500000,-,-,-, - ,-,For Programming
Economic Development Program,Communal Irrigation System,Kalagonoy CIP (10% local counterpart to NIA),Barangay Kalagonoy,250000,-,-,-, - ,-,For Programming
Economic Development Program,Communal Irrigation System,Lawaan CIP (10% local counterpart to NIA),Barangay Lawaan,570000,-,-,-, - ,-,For Programming
Economic Development Program,Communal Irrigation System,Lurisa CIP (10% local counterpart to NIA),LURESA (Brgy Cluster),1150000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road and Construction of box culvert at Purok 5, Gmelina St., Phase I",Barangay 18-A,300000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of Motorpool Cmpd. road network,Barangay 22-A,400000,-,-,-, - ,-,"Work ON-GOING, CEO Admin"
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of subd. roads at Barangay ,Barangay Bal-ason,200000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road (150 mtrs.),Barangay Dinawehan,300000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kamanikan,300000,-,-,-,-,-,Programming in the process
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Kamanikan-Kalipay Section (LGU equity for DA FMR Program)",-,1000000,-,-,-,-,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,Additional Concreting of road leading to KISANDI NHS,Barangay Kianlagan ,400000,-,-,-, - ,-,POW Approved
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kibuging,300000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kipontos,300000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Lawaan,400000,-,-,-, - ,-,POW Approved
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at Langguyod,Barangay Libertad,400000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road leading to GMTC, ",Barangay Lunao,500000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of road leading to Kalumbangan,Barangay Maribucao,200000,-,-,-, - ,-,Programming in process
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at restlement site,"Purok 4, Barangay San Juan",300000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,Clearing of proposed road leading to Sikongan Falls,"Kibalisa, Barangay San Juan",10000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road, Tagpako section (LGU equity for DA FMR Program)",-,200000,-,-,-, - ,-,POW Approved
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road at Purok 1,Barangay Talon,300000,-,-,-, - ,-,For Programming
Economic Development Program,City Streets or Barangay Roads or Bridges,Rehabilitation and Maintenanceenance of Barangay roads,Hinterland Barangays,15000000,-,-,-,-,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Program for fisherfolks and Coops,-,1052950,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Home Extension Services,-,-,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood projects thru subsidy program,-,95994,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Support for Nutrition Program,-,4000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Project (Livestock Dispersal),-,300000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Livelihood Projects under BuB Program (equity),-,9532562,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Community-Based Trainings for Entp. Development./Livelihood Assistance,-,200000,-,-,-, - ,-,For Programming
Economic Development Program,Capital Expenditures for Livelihood Projects,Lawi Livelihood Program at 10 Barangays,-,100000,-,-,-, - ,-,For Programming
