program_or_proect_1,program_or_proect_2,program_or_proect_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 17,10000,-,-,-,-,-,-
Social development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 19,10000,-,-,-,-,-,-
Social development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 20,10000,-,-,-,-,-,-
Social development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 24,10000,-,-,-,-,-,-
Social development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 24-A,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay 26,20000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Agay-ayan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Completion of Health Center,Barangay Bakidbakid,150000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Bal-ason,15000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Eureka,105000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Construction of Senior Citizen Building ,Barangay Kalipay,70000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Kipontos,30000,-,-,-,28500,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Libon,25000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Lunao,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Lunotan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Malibud,10000,-,-,-,9500,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Malinao,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Construction of Senior Citizen Building ,Barangay Minsapinit,30000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Odiongan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Pangasihan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Pigsalohan,40000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Completion of Health Center,Barangay Punong,100000,-,-,-,62775,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Sangalan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Santiago,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Completion of Health/Day Care Center,"Pidlagahan, Barangay Santiago",150000,-,-,-,142500,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay San Juan,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay San Luis,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Improvement of Health Center,Barangay Talisay,10000,-,-,-,-,-,-
Social Development Program,Health Centers and Senior Citizen Centers,Completion of Health Center,Barangay Talon,150000,-,-,-,142500,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,Crude Oil or fuel (for drilling Machine),-,50000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,"Equipment Maintenance (spareparts, etc.)",-,70000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance of Level-I WWs Facilities,Piping Materials and Accessories (various brgys),-,250000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair or Rehabilitation of transmission pipeline for BJMP water supply,Barangay 26,300000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWs,Barangay Anakan,50000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of transmission pipelines,Barangay Bagubad,300000,-,-,-,285000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of WWs ,Barangay Bantaawan,200000,-,-,-,190000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of Additional WWs (Ramasola Source),Barangay Capitulangan,500000,-,-,-,107448.96,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair or Rehabilitation of existing pipelines,Barangay Dinawehan,250000,-,-,-,4950,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair or Improvement of WWs,Barangay Eureka,220000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,"Construction of WWs, Mimpakiki",Barangay Kalipay,300000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Improvement of WWs (Replacement of Polythelen hose),Barangay Kibuging,20000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Rehabilitation of Potable Water Supply System,Barangay Kibuging,30000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWS (Purok 1 and 2),Barangay Lawaan,25000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,"Repair or Rehabilitation of transmission pipelines, Barangay Libertad",Barangay Libertad,25000,-,-,-,17710,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Rehabilitation of existing WWS,Barangay Lunotan,200000,-,-,-,3900,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Piping installation for 4 classrooms,Barangay Lunotan,20000,-,-,-,14000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Improvement of WWs ,Barangay Malibud,10000,-,-,-,9500,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Rehabilitation of existing WWs,Barangay Maribucao,30000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWS (Avante source), Barangay Mimbalagon,500000,-,-,-,24945.06,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Repair of existing pipelines,Barangay Mimbunga,25000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Expansion of WWS,Barangay Murallon,200000,-,-,-,190000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of elevated tank at ONHS,Barangay Odiongan,170000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Development of water source w/ piping installation (Mimbuyo source),Barangay Pigsalohan,200000,-,-,-,190000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of Level II WWS,"Sitio Tabon-tabon, Barangay Sangalan",400000,-,-,-,41417.8,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Development of WWs (Reservoir) Purok 4,Barangay Sangalan,40000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Rehabilitation of WWs,Barangay Santiago,20000,-,-,-,-,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Construction of WWS,"Sitio Domayocdoc,           Barangay San Miguel",300000,-,-,-,285000,-,-
Social Development Program,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II WWs,Expansion of WWS at Balsamo source,Barangay 26,50000,-,-,-,38260,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose Facility,Barangay 1,5000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose Facility,Brgys. 1 to 18,30000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,"Construction of multi-purpose hall, (Phase 2)",Barangay 2,400000,-,-,-,351263.88,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Completion of multi-purpose hall,Barangay 8,300000,-,-,-,299000,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose hall,Barangay 10,200000,-,-,-,164047.8,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose hall,Barangay 16,200000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay 18,300000,-,-,-,269679.27,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose Facility,Barangay 21,150000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of 2-storey multi-purpose hall (Phase 2),Barangay 22,400000,-,-,-,41600,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay 22,75000,-,-,-,10588,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of multi-purpose hall, Barangay 22-A,600000,-,-,-,109331,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay 22-A,345000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose Facility for Children,Barangay 22-A,50000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay 23,50000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at GCCNHS,Barangay 23,50000,-,-,-,40800,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of multi-purpose hall,Barangay 24-A,300000,-,-,-,252000,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay 24-A,20000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at AAMilitante E/S,Barangay 26,15000,-,-,-,14025.25,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Additional Construction of multi-purpose facility (covered court),Barangay Agay-ayan,300000,-,-,-,288579.8,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction or Improvement of multi-purpose facility at Anakan NHS,Barangay Anakan,125000,-,-,-,118750,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at Anakan E/S,Barangay Anakan,35000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Additional Construction of multi-purpose facility ,Barangay Bagubad,35000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at Bagubad E/S,Barangay Bagubad,20000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Repair of multi-purpose hall,Barangay Bal-ason,200000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay Binakalan,30000,-,-,-,28500,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility Eustaquio E/S,Barangay Capitulangan,30000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Daan Lungsod,300000,-,-,-,285000,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Renovation of Barangay Stage,Barangay Dinawehan,100000,-,-,-,22199.68,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay Hindangon,30000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court Additional roofing),Barangay Kalipay,300000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Completion of 2-storey multi-purpose hall,Barangay Kamanikan,300000,-,-,-,285000,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction or Completion of multi-purpose facility at Kamanikan E/S,Barangay Kamanikan,65000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility ,Barangay Kianlagan,25000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility for minors,Barangay Kipuntos,150000,-,-,-,94860.06,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Rehabilitation of multi-purpose hall,Barangay Lawaan,300000,-,-,-,285000,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay Lawaan,50000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility,Barangay Lawit,15000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Cnst or Improvement of multi-purpose facility,Barangay Libertad,85000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court) (Phase 2),Barangay Libon,300000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay Lunao,20000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at Malibud NHS,Barangay Malibud,30000,-,-,-,28500,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay Malibud,15000,-,-,-,14250,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court)(Curambos),Barangay Minsapinit,400000,-,-,-,144698.23,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay Minsapinit,20000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay Murallon,15000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility (DCC)Purok 2,Barangay Santiago,10000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay San Miguel,400000,-,-,-,227909.3,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility ,Barangay San Miguel,25000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility at S. Lugod E/S,Barangay San Miguel,20000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Tagpako,300000,-,-,-,263519.74,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Improvement of multi-purpose facility Puroks Rubia and Waling,Barangay Tagpako,10000,-,-,-,-,-,-
Social Development Program,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (DCC),Barangay Talon,50000,-,-,-,-,-,-
