program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_competion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Social Development,Health Centers and Day Care Centers,Improvement of City Health Center (window grilles) ,Barangay 15,75000,-,-,-,-,-,Completed 
Social Development,Health Centers and Day Care Centers,Construction of Health Center,Barangay 20 ,200000,-,-,-,-,-,Completed 
Social Development,Health Centers and Day Care Centers,Reconstruction of Health Center,Barangay Talon ,100000,-,-,-,-,-,Completed 
Social Development,Health Centers and Day Care Centers,Construction of Multi-purpose Building,Barangay Daan-lungsod,100000,-,-,-,-,-,Completed 
Social Development,Potable Water Supply Systems-Construction or Maintenance of Level-I WWS Facilities,Potable Water Supply Systems-Construction or Maintenance of Level-I WWS Facilities,-,370000,-,-,-,-,-,Completed 
Social Development,Potable Water Supply Systems-Construction or Maintenance of Level-I WWS Facilities,Crude Oil or fuel (for drilling machine) ,-,50000,-,-,-,-,-,-
Social Development,Potable Water Supply Systems-Construction or Maintenance of Level-I WWS Facilities,"Equipment  Maintenance (spareparts, etc.) ",-,70000,-,-,-,-,-,-
Social Development,Potable Water Supply Systems-Construction or Maintenance of Level-I WWS Facilities,Piping Materials and Accessories (various barangays) ,-,250000,-,-,-,-,-,-
Social Development,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II Waterworks Systems,Construction of WWS at Sitio Abante,Barangay Mimbalagon ,300000,-,-,-,-,-,For Programming 
Social Development,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II Waterworks Systems,Construction of WWS at Purok 3,Barangay Odiongan ,100000,-,-,-,-,-,For Programming 
Social Development,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II Waterworks Systems,Construction of WWS with reservoir at Tagpako E/S,Barangay Tagpako ,150000,-,-,-,-,-,For Programming 
Social Development,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II Waterworks Systems,Construction of WWS at Sitio Topside ,Barangay Talon ,305820,-,-,-,-,-,Completed 
Social Development,Potable Water Supply Systems-Construction or Maintenance or Improvement of Level I and II Waterworks Systems,Improvement of WWS,Barangay Dinawehan ,200000,-,-,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Construction of Multi-purpose Hall (Additional),Barangay 1,300000,-,-,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay 2,500000,10/16/2013,11/30/2013,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay 22,600000,3/1/2013,3/30/2013,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Construction of Multi-purpose Hall ,Barangay Kamanikan ,300000,-,-,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay Malibud,500000,-,-,-,-,-,on-going 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Construction of Multi-purpose Hall ,Barangay Talisay,250000,-,-,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay Agay-ayan ,500000,-,-,-,-,-,on-going 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay Bagubad ,800000,11/4/2013,-,-,-,-,Work ON-GOING and CEO Admin
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay Dinawehan ,200000,-,-,-,-,-,Completed 
Social Development,Multi-purpose Bldgs. or Halls and Other Structures,Initial Construction of Multi-purpose Hall,Barangay Libon,500000,-,-,-,-,-,Completed 
Social Development,Barangay Electrification ,Electrification at Purok 4,Barangay Hindangon,300000,-,-,-,-,-,For Programming 
Economic Development Program,Communal Irrigation System ,Various Irrigation System (subject for programming),-,-,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Rehab and Maintenance of Barangay roads Concreting of access road to Villa Veronica Subd.,Barangay 25,1000000,5/13/2013,7/11/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,"Construction of Concrete Footbridg , Purok 2 to Purok 3",Barangay 18-A,200000,-,-,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Rehabilitation of Road at T. Baol-Dona Graciana Sts. ,Barangay 20 ,500000,5/16/2013,5/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of 2-lane road, Purok 2",Barangay 23,500000,2/1/2013,2/28/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of A. Motoomull St. ,Barangay 24-A,800000,3/1/2013,3/31/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Complete of road concreting at Purok 1 (DIGHAI),Barangay 24-A,200000,4/1/2013,4/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Complete of new slaughterhouse  road concreting ,Barangay  26,350000,4/16/2013,4/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of Subd. Road at SAA Phase  2,Barangay 26,200000,-,-,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of Road at Barangay Bakid-bakid,Barangay Bakid-bakid,1000000,5/13/2013,7/11/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting leading to KISANDI NHS,Barangay Kianlagan ,300000,-,-,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting at Purok-3,Barangay Kipuntos,300000,-,-,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road to GMTC, Phase 2",Barangay Lunao ,600000,4/1/2013,5/30/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Improvement of Barangay Road leading  to Catuan Relocation,Barangay Lunao ,700000,12/2/2013,12/12/2013,-,-,-,Completed
Economic Development Program,City Streets or Barangay Roads or Bridges,Road concreting at Purok 3,Barangay Pangasihan ,700000,-,-,-,-,-,Deffered due to RROW problem 
