code,particulars_1,particulars_2,particulars_3,total
-,"Fund Balance, As of July 31, 2013","Fund Balance, As of July 31, 2014","Fund Balance, As of July 31, 2015",17446254.92
751,Less: Disbursement,Pre-Disaster Preparedness Program,Traveling Disaster Preparedness Programs,8111
753,Less: Disbursement,Pre-Disaster Preparedness Program,Training expenses,-
755,Less: Disbursement,Pre-Disaster Preparedness Program,Office Supplies,-
761,Less: Disbursement,Pre-Disaster Preparedness Program,"Gasoline, Oil and Lubricants Expenses",-
765,Less: Disbursement,Pre-Disaster Preparedness Program,Other Supplies Expenses,-
766,Less: Disbursement,Pre-Disaster Preparedness Program,Water Expense,-
772,Less: Disbursement,Pre-Disaster Preparedness Program,Telephone Expenses - Landline,2072.67
774,Less: Disbursement,Pre-Disaster Preparedness Program,Internet Expense,-
782,Less: Disbursement,Pre-Disaster Preparedness Program,Rent Expense,-
877,Less: Disbursement,Pre-Disaster Preparedness Program,Subsidy to Other Funds,-
969,Less: Disbursement,Pre-Disaster Preparedness Program,Other Maintenance and Operating Expenses,-
758,Less: Disbursement,30% Quick Response,Food Supplies,-
759,Less: Disbursement,30% Quick Response,Drugs and Medicines,-
761,Less: Disbursement,30% Quick Response,"Gasoline, Oil and Lubricants Expenses",-
762,Less: Disbursement,30% Quick Response,Agricultural Supplies,-
766,Less: Disbursement,30% Quick Response,Water Expense,-
851,Less: Disbursement,30% Quick Response,"Repair and Maintenance - Roads, Highways and Bridges",4930.5
266,Less: Disbursement,30% Quick Response,"CIP - Roads, Highways and Bridges",-
271,Less: Disbursement,30% Quick Response,CIP - Food Controls,873942.53
266,Less: Disbursement,Post-Disaster Program,"CIP - Roads, Highways and Bridges",331437.56
270,Less: Disbursement,Post-Disaster Program,"CIP - Irrigation, Laterals and Canals",-
271,Less: Disbursement,Post-Disaster Program,CIP - Flood Controls,-
-,Sub-Total,Sub-Total,Sub-Total,21864078.94
-,Balance,Balance,Balance,16225760.66
