code,particulars_1,particulars_2,particulars_3,total
-,Estimated Revenue from Regulaar Resources,Estimated Revenue from Regulaar Resources,Estimated Revenue from Regulaar Resources,1059569180
-,Calamity Fund,Calamity Fund,Calamity Fund,52978459
751,Less: Disbursement,Pre-Disaster Preparedness Program,Traveling Disaster Preparedness Programs,5376.88
753,Less: Disbursement,Pre-Disaster Preparedness Program,Training expenses,83750
755,Less: Disbursement,Pre-Disaster Preparedness Program,Office Supplies,56672
761,Less: Disbursement,Pre-Disaster Preparedness Program,"Gasoline, Oil and Lubricants Expenses",50000
766,Less: Disbursement,Pre-Disaster Preparedness Program,Water Expense,3750
774,Less: Disbursement,Pre-Disaster Preparedness Program,Internet Expense,6852.75
782,Less: Disbursement,Pre-Disaster Preparedness Program,Rent Expense,6000
877,Less: Disbursement,Pre-Disaster Preparedness Program,Subsidy to Other Funds,208000
969,Less: Disbursement,Pre-Disaster Preparedness Program,Other Maintenance and Operating Expenses,3500
758,Less: Disbursement,30% Quick Response,Food Supplies,3950951.57
759,Less: Disbursement,30% Quick Response,Drugs and Medicines,295814
761,Less: Disbursement,30% Quick Response,"Gasoline, Oil and Lubricants Expenses",153630
762,Less: Disbursement,30% Quick Response,Agricultural Supplies,1299610
766,Less: Disbursement,30% Quick Response,Water Expense,25000
851,Less: Disbursement,30% Quick Response,"Repair and Maintenance - Roads, Highways and Bridges",263102.32
266,Less: Disbursement,30% Quick Response,"CIP - Roads, Highways and Bridges",119552
271,Less: Disbursement,30% Quick Response,CIP - Food Controls,715741.54
266,Less: Disbursement,Post-Disaster Program,"CIP - Roads, Highways and Bridges",14191093.98
271,Less: Disbursement,Post-Disaster Program,CIP - Flood Controls,425681.9
-,Sub-Total,Sub-Total,Sub-Total,21864078.94
-,Balance,Balance,Balance,31114380.06
