code,particulars_1,particulars_2,particulars_3,total
-,"Fund Balance, As of September 30, 2013","Fund Balance, As of Semtember 30, 2014","Fund Balance, As of Semtember 30, 2015",14125338.47
751,Less: Disbursement,Pre-Disaster Preparedness Program,Traveling Disaster Preparedness Programs,-
753,Less: Disbursement,Pre-Disaster Preparedness Program,Training expenses,9600
755,Less: Disbursement,Pre-Disaster Preparedness Program,Office Supplies,-
761,Less: Disbursement,Pre-Disaster Preparedness Program,"Gasoline, Oil and Lubricants Expenses",121790
765,Less: Disbursement,Pre-Disaster Preparedness Program,Other Supplie Expenses,65000
766,Less: Disbursement,Pre-Disaster Preparedness Program,Water Expense,1800
772,Less: Disbursement,Pre-Disaster Preparedness Program,Telephone Expenses - Landline,1403.28
774,Less: Disbursement,Pre-Disaster Preparedness Program,Internet Expense,2454.2
782,Less: Disbursement,Pre-Disaster Preparedness Program,Rent Expense,3000
841,Less: Disbursement,Pre-Disaster Preparedness Program,Repairs and Maintenance - Motor vehicle,27000
844,Less: Disbursement,Pre-Disaster Preparedness Program,Repairs and Maintenance - Watercraft,-
877,Less: Disbursement,Pre-Disaster Preparedness Program,Subsidy to Other Funds,-
969,Less: Disbursement,Pre-Disaster Preparedness Program,Other Maintenance and Operating Expenses,5600
758,Less: Disbursement,30% Quick Response,Food Supplies,-
759,Less: Disbursement,30% Quick Response,Drugs and Medicine,94600
761,Less: Disbursement,30% Quick Response,"Gasoline, Oil and Lubricants Expenses",-
762,Less: Disbursement,30% Quick Response,Agricultural Supplies,-
766,Less: Disbursement,30% Quick Response,Water Expense,-
851,Less: Disbursement,30% Quick Response,"Repair and Maintenance - Roads, Highways and Bridges",-
266,Less: Disbursement,30% Quick Response,"CIP - Roads, Highways and Bridges",103987.22
271,Less: Disbursement,30% Quick Response,CIP - Flood Controls,19714
266,Less: Disbursement,Post-Disaster Program,"CIP - Roads, Highways and Bridges",29101.22
270,Less: Disbursement,Post-Disaster Program,"CIP - Irrigation, Laterals and Canals",1724458.53
271,Less: Disbursement,Post-Disaster Program,CIP - Flood Controls,-
-,Grand Total,Grand Total,Grand Total,1991140.7
-,"Fund Balance, End Quarter (December 31, 2013)","Fund Balance, End Quarter (December 31, 2013)","Fund Balance, End Quarter (December 31, 2013)",12134197.77
