quarter,particular_1,particular_2,particular_3,fund_balance_beginning,utilization,percent_of_qtr_utilization,quarter_total
Q1,Maintenance and Other Operating System,Traveling Expenses,Traveling Expenses,200000,35080,0.1754,3770180
Q1,Maintenance and Other Operating System,Training and Seminars Expenses,Training and Seminars Expenses,3865000,94820,0.0245,128379.6
Q1,Maintenance and Other Operating System,Office Supplies Expenses,Office Supplies Expenses,200000,71620.4,0.3581,337024
Q1,Maintenance and Other Operating System,"Gasoline, Oil and Lubricants Exepnses","Gasoline, Oil and Lubricants Exepnses",400000,62976,0.1574,365680
Q1,Maintenance and Other Operating System,Other Supplies Expenses,Other Supplies Expenses,400000,34320,0.0858,15000
Q1,Maintenance and Other Operating System,Water Expenses,Water Expenses,15000,-,-,5000
Q1,Maintenance and Other Operating System,Telephone Expenses-Landline,Telephone Expenses-Landline,5000,-,-,27500
Q1,Maintenance and Other Operating System,Internet Expenses,Internet Expenses,27500,-,-,27500
Q1,Maintenance and Other Operating System,Printing/Binding Expenses,Printing/Binding Expenses,5000,-,-,5000
Q1,Maintenance and Other Operating System,Rent Expenses,Rent Expenses,25000,-,-,25000
Q1,Maintenance and Other Operating System,Repair Maintenance-Motor Vehicle,Repair Maintenance-Motor Vehicle,215000,-,-,134900.51
Q1,Maintenance and Other Operating System,Other Maintenance and Operating Expenses,Other Maintenance and Operating Expenses,150000,15099.49,0.1,5193584.11
Q1,Maintenance and Other Operating System,Total,Total,50507500,313915.89,-,-
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Concreting of Roods at Barangay Tiniwisan,6500000,-,-,5678663
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Site Development of ORA-Baan Km 3 Resettlement Site,9380000,3701336.19,0.3946,6500000
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Concreting/Rehabilitation/Improvement of Road Golden Ribbon,6500000,-,-,2000000
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Concreting of Road-Bataan Riverside,2000000,-,-,1000000
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Rehabilitation/Improvement/Construction of Road Baan Kim 3 National Highway,1000000,-,-,344000
Q1,Capital Outlay,On Infrastructure Concreting of Road at Barangay Tiniwisan,Rehabilitation of Baliey Bridge of barangay Los Angeles,344000,-,-,1191000
Q1,Capital Outlay,On Equipment/Furniture and Fixtures/Transportation,Office/Communication Equipment Outlay,1273000,1273000,0.0644,75000
Q1,Capital Outlay,On Equipment/Furniture and Fixtures/Transportation,Furniture and Fixture Outlay,75000,75000,-,350000
Q1,Capital Outlay,On Equipment/Furniture and Fixtures/Transportation,Transportation Outlay,350000,350000,-,580751
Q1,Capital Outlay,On Equipment/Furniture and Fixtures/Transportation,Cosntruction of Progress-Proposed CDRRMO-Container Van,580000,580751,-,137000
Q1,Capital Outlay,On Equipment/Furniture and Fixtures/Transportation,Improvement of DA Office for DRRMO use,137000,137000,-,-
Q1,Capital Outlay,Total,Total,28139751,3783336.19,-,51000
Q1,Unprogrammed,Unprogrammed,Unprogrammed,51000,-,-,14442103
Q1,Unprogrammed,30% Quick Response,30% Quick Response,14442103,0,-,14442103
Q1,Unprogrammed,Total,Total,14442103,0,-,44043101.92
Q1,Fund Balance,Fund Balance,Fund Balance,48140354,4097252.08,-,-
