particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent_general_fund,ldrrmf_mitigation_fund_70_percent_2014_general_fund,ldrrmf_mitigation_fund_70_percent_2013_general_fund,ldrrmf_mitigation_fund_70_percent_2013_trust_fund,ldrrmf_mitigation_fund_70_percent_2012_general_fund,ldrrmf_mitigation_fund_70_percent_2012_trust_fund,ldrrmf_mitigation_fund_70_percent_2011_general_fund,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,17446036,40707415,-,-,-,-,-,-,-,-,58153451
Sources of Funds,Continuing Appropriations(Capital Outlay),-,-,2940877.27,-,1088670.99,-,390119.55,-,-,-,4419667.81
Sources of Funds,Previous Year's Appropriations - Transferred to the Special Trust Fund,-,-,-,1900193.85,-,-,-,-,-,-,1900193.85
Sources of Funds,Previous Year's Appropriations - Balance,-,-,-,-,-,585451,-,-,-,-,585451
Sources of Funds,Previous Year's Appropriations - Adjustments ,-,-,-,-,-,5624.71,-,-,-,-,5624.71
Sources of Funds,Previous Year's Appropriations - adjustments ( Error in taking-up of beg. Bal.),-,-,-,-,-210494,-,-,-,-,-,-210494
Sources of Funds,Total Funds Available,17446036,40707415,2940877.27,1900193.85,878176.99,591075.71,390119.55,0,0,0,64853894.37
Utilization,Medicines,409574,-,-,-,-,-,-,-,-,-,409574
Utilization,Foods Supplies,5309770.25,-,-,-,-,-,-,-,-,-,5309770.25
Utilization,Purchase of Seeds,-,-,-,-,-,-,-,-,-,-,0
Utilization,Travel,-,62260,-,-,-,-,-,-,-,-,62260
Utilization,Trainings,-,492595.45,-,-,-,204300,-,-,-,-,696895.45
Utilization,Office Supplies ,-,100000,-,-,-,-,-,-,-,-,100000
Utilization,"Medical, Dental and Laboratory Expense",-,-,-,-,-,-,-,-,-,-,0
Utilization,"Gasoline, Oil and Lubricants",444951,702735.56,83233.62,-,-,-,-,-,-,-,1230920.18
Utilization,Other Supplies,-,33770,-,-,-,-,-,-,-,-,33770
Utilization,Water Expense,-,3600,-,-,-,-,-,-,-,-,3600
Utilization,Telephone Expense,-,15083.72,-,-,-,-,-,-,-,-,15083.72
Utilization,Internet Expense,-,10793.69,-,-,-,-,-,-,-,-,10793.69
Utilization,Representation Expense,-,9600,-,-,-,-,-,-,-,-,9600
Utilization,Rent Expense,-,10400,-,-,-,-,-,-,-,-,10400
Utilization,Subscription Expense,-,3225,-,-,-,-,-,-,-,-,3225
Utilization,Repair/Maintenance-Motor Vehicle,-,34506.43,-,-,-,-,-,-,-,-,34506.43
Utilization,Repair/Maintenance-Watercraft,-,-,-,-,-,-,-,-,-,-,0
Utilization,Grants/Donations,36000,-,-,-,-,-,-,-,-,-,36000
Utilization,Other Maintenance and Operating Expenses,3205483.2,304239.1,-,-,-,14970,-,-,-,-,3524692.3
Utilization,Capital Outlay - Construction of Drainage System from Guingona Park to Teofilo Sanchez St. (Phase 2),-,1587409.94,-,-,-,-,-,-,-,-,1587409.94
Utilization,Capital Outlay - Support to Comprehensive Land Use Plan (CLUP) - (CLAIMS) computerization,-,6000000,-,-,-,-,-,-,-,-,6000000
Utilization, Capital Outlay - Construction of Footbridge at Barangay Pianing,-,1307869.81,-,-,-,-,-,-,-,-,1307869.81
Utilization,Capital Outlay - Improvement of Langihan Lagoon-Montilla Blvd. Andaya Road and Drainage System,-,2800000,398848.74,-,-,-,-,-,-,-,3198848.74
Utilization,Capital Outlay - Box Culvert at Barangay Los Angeles,-,-,979630.88,-,-,-,-,-,-,-,979630.88
Utilization,Capital Outlay - Bonbon-Nongnong Road Ccross Drainage Canal,-,-,442809.42,-,-,-,-,-,-,-,442809.42
Utilization,Capital Outlay - Replacement of Abutment at Barangay Camayahan,-,-,-,-,393518.32,-,-,-,-,-,393518.32
Utilization,Capital Outlay - Construction of Box Culvert at Barangay Bugsukan,-,-,-,-,150894.94,-,-,-,-,-,150894.94
Utilization,Capital Outlay - Proposed Erosion control (Gabion) Camayahan,-,-,-,-,-,-,-,-,-,-,0
Utilization,Capital Outlay - Drainage System at Barangay Doongan,-,224274.27,-,-,-,-,-,-,-,-,224274.27
Utilization,Capital Outlay - Rehabilitation of drainage System at Diego Silang,-,1469853.59,-,-,-,-,-,-,-,-,1469853.59
Utilization,Capital Outlay - Construction of Box Culvert Barangay Pianing,669588.82,-,-,-,-,-,-,-,-,-,669588.82
Utilization,Total Utilization,10075367.27,15172216.56,1904522.66,0,544413.26,219270,0,0,0,0,27915789.75
Unutilized Balance,Unutilized Balance,7370668.73,25535198.44,1036354.61,1900193.85,333763.73,371805.71,390119.55,0,0,0,36938104.62
