code,particulars_1,particulars_2,particulars_3,total
-,"Fund Balance, As of September 30, 2013","Fund Balance, As of Semtember 30, 2014","Fund Balance, As of Semtember 30, 2015",14125338.47
-,Less: Adjustment on Unrealized Income,Less: Adjustment on Unrealized Income,Less: Adjustment on Unrealized Income,1606682.67
-,Net Fund Balance Beinning,Net Fund Balance Beinning,Net Fund Balance Beinning,12516655.8
751,Less: Disbursement,Pre-Disaster Preparedness Program,Traveling Disaster Preparedness Programs,4000
753,Less: Disbursement,Pre-Disaster Preparedness Program,Training expenses,9600
755,Less: Disbursement,Pre-Disaster Preparedness Program,Office Supplies,32081
761,Less: Disbursement,Pre-Disaster Preparedness Program,"Gasoline, Oil and Lubricants Expenses",235038.9
765,Less: Disbursement,Pre-Disaster Preparedness Program,Other Supplie Expenses,64995
766,Less: Disbursement,Pre-Disaster Preparedness Program,Water Expense,1800
772,Less: Disbursement,Pre-Disaster Preparedness Program,Telephone Expenses - Landline,4209.84
774,Less: Disbursement,Pre-Disaster Preparedness Program,Internet Expense,7362.6
782,Less: Disbursement,Pre-Disaster Preparedness Program,Rent Expense,3000
841,Less: Disbursement,Pre-Disaster Preparedness Program,Repairs and Maintenance - Motor vehicle,51000
844,Less: Disbursement,Pre-Disaster Preparedness Program,Repairs and Maintenance - Watercraft,337050
877,Less: Disbursement,Pre-Disaster Preparedness Program,Subsidy to Other Funds,-
878,Less: Disbursement,Pre-Disaster Preparedness Program,Donations,250000
893,Less: Disbursement,Pre-Disaster Preparedness Program,Insurance,-
969,Less: Disbursement,Pre-Disaster Preparedness Program,Other Maintenance and Operating Expenses,3400
-,Less: Disbursement,30% Quick Response,30% Quick Response,3877213.19
266,Less: Disbursement,Post-Disaster Program,"CIP - Roads, Highways and Bridges",2396020.13
270,Less: Disbursement,Post-Disaster Program,"CIP - Irrigation, Laterals and Canals",56954.02
271,Less: Disbursement,Post-Disaster Program,CIP - Flood Controls,-
-,Less: Disbursement,Post-Disaster Program,"Other Property, Palnts and Equipments",248660
-,Grand Total,Grand Total,Grand Total,7675584.68
-,"Fund Balance, End Quarter (December 31, 2013)","Fund Balance, End Quarter (December 31, 2013)","Fund Balance, End Quarter (December 31, 2013)",4841071.12
