function,program, activity,project, appropriations , allotment , obligation , unobligated_balance 
Social Services Sector,Health Service Delivery,Nutrition Program Support system,Nutrition Program Support system,1000000,1000000, -   ,1000000
Social Services Sector,Hospital Enhancement  Program,Hospital Enhancement  Program,Hospital Enhancement  Program,40000000,40000000, -   ,40000000
Social Services Sector,Rural Waterworks and Sanitation Program,Rural Waterworks and Sanitation Program,Rural Waterworks and Sanitation Program,5000000,4500000,1145081,3354919
Social Services Sector,Health Financing for Indigents,Health Financing for Indigents,Health Financing for Indigents,23022030,23022030,4498368.75,18523661.25
Social Services Sector,Social Services and Welfare,Social Welfare and Development Program,Self-Employment sa Kaunlaran Program (SEA-K),500000,450000,30000,420000
Social Services Sector,Social Services and Welfare,Social Welfare and Development Program,Supplemental Feeding Program,300000,300000, -   ,300000
Social Services Sector,Social Services and Welfare,Social Welfare and Development Program,Iloilo Provincial Development Center for Women and Children,1000000,1000000, -   ,1000000
Social Services Sector,Education and Manpower Services,Education and Manpower Services,Iskolar Sang Iloilo Program,6000000,5400000,1660478.09,3739521.91
Social Services Sector,Manpower Development Services,Skills Training for Work Program,Skills Training for Work Program,820000,820000, -   ,820000
Social Services Sector,Manpower Development Services,Starter Kit Project for Informal Sectors,Starter Kit Project for Informal Sectors,180000,180000, -   ,180000
Social Services Sector,Population Management Services,Establishment of Teen Center,Establishment of Teen Center,1000000,1000000, -   ,1000000
Social Services Sector,Gender and Development (GAD),Gender and Development (GAD),Gender and Development (GAD),1000000,900000,100289.5,799710.5
Economic Services,Engineering Services,Engineering Services,"Rehabilitation of Quianan-Dongoc-Provincial Road, San Joaquin",1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,"Rehabilitation of San Antonio-Abilay Provincial Road, Oton",1000000,1000000,863795.23,136204.77
Economic Services,Engineering Services,Engineering Services,"Concreting of Bacauan-Naclub Provincial Road, Miag-ao",2500000,2500000,1705291.67,794708.33
Economic Services,Engineering Services,Engineering Services,Casting of RCPCs,300000,300000,246983.71,53016.29
Economic Services,Engineering Services,Engineering Services,Concreting of Pagsanga-an Pavia Provincial Road,1200000,1200000,1029707,170293
Economic Services,Engineering Services,Engineering Services,"Concreting of 200lm of Leon-Omambong Provincial Road, Leon",2300000,2300000, -   ,2300000
Economic Services,Engineering Services,Engineering Services,"Concreting of Zarraga-New Lucena Provincial Road,",2000000,2000000,1910190.1,89809.9
Economic Services,Engineering Services,Engineering Services,Concreting of Cabatuan-Acao Ito Road,1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,"Concreting of Cabugao-Banban-Tuyong Provincial Road, Calinog",1000000,1000000,784169.4,215830.6
Economic Services,Engineering Services,Engineering Services,Concreting of Damires-Talaba-Badiangan Road,1500000,1500000,1399723,100277
Economic Services,Engineering Services,Engineering Services,Concreting of Pototan-Rumbang Provincial Road,1000000,1000000,268000,732000
Economic Services,Engineering Services,Engineering Services,"Concreting of JNR Mina -Amiroy Jelicoun, Mina",2000000,2000000,1572931,427069
Economic Services,Engineering Services,Engineering Services,"Concreting of JNR, Sulangan-Ermita Provincial Road, Dumangas",1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,"Concreting of JPR, Pulang-pula Malusgod Tina, Duenas",1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,"Improvement of Calero Bridge along JNR-Sulangan Ermita Provincial Road, Dumangas",2200000,2200000,1728492,471508
Economic Services,Engineering Services,Engineering Services,Concreting of Duenas-Cabudian-Carvasana Provincial Road,1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,Concreting of Concepcion Poblacion Puntales Provincial Road,2000000,2000000,1978877.5,21122.5
Economic Services,Engineering Services,Engineering Services,"Improvement of San Dionisio Poblacion-Conchita-Sua Provincial Road, San Dionisio",2000000,2000000,1961026.25,38973.75
Economic Services,Engineering Services,Engineering Services,Improvement of Lemery Poblacion-Milan-Marapal Road,1000000,1000000,970163.56,29836.44
Economic Services,Engineering Services,Engineering Services,Ajuy-Poblacion-Wharf Road,1000000,1000000, -   ,1000000
Economic Services,Engineering Services,Engineering Services,Other Local Roads Projects,8000000,8000000,4317273.31,3682726.69
Economic Services,Community Direct Action Project (CDAP),Community Direct Action Project (CDAP),Community Direct Action Project (CDAP),59000000,59000000,47853573.29,11146426.71
Economic Services,Tourism Promotion and Development Services,Tourism Promotion and Development Services,Tourism Promotion and Development Services,1000000,1000000, -   ,1000000
Economic Services,Enterprise Development Program,Investment Promotion Services,Investment Promotion Services,1500000,1350000,169337,1180663
Economic Services,Enterprise Development Program,Iloilo Technology and Livelihood Development Center,Iloilo Technology and Livelihood Development Center,500000,450000,371900,78100
Economic Services,Enterprise Development Program,Youth Development Center,Youth Development Center,500000,450000,360000,90000
Economic Services,Enterprise Development Program,Provincial Livelihood Development Program,Provincial Livelihood Development Program,3000000,,,
Economic Services,Local Govt. Support Program - Local Econ. Development,Local Government Support Program - Local Econ. Development,Local Govt. Support Program - Local Econ. Development,2000000,1800000,740600,1059400
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Coastal Resource Management,2000000,2000000,400000,1600000
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Devt. Enhancement of Coastal Fishing Ground,500000,450000,447573,2427
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Mariculture Development,250000,250000, -   ,250000
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Integrated Freshwater Aquaculture Park and Technology Center,1400000,1260000,56072,1203928
Economic Services,Agricultural Services,Iloilo Provincial Integrated Fisheries Development Program,Promotion of Fishery Post Harvest Technology,100000,90000,88434,1566
