code,functions_or_programs,projects_or_activities,apppropriations,allotments,appropriations_balance_or_(Deficit),obligations,unobligated_balances
751,Maintenance and Other Operating Expenses,Travelling Expenses - local,500000,125000,375000,-,125000
753,Maintenance and Other Operating Expenses,Training Expenses,500000,125000,375000,-,125000
755,Maintenance and Other Operating Expenses,Office Supplies Expenses,500000,125000,375000,-,125000
758,Maintenance and Other Operating Expenses,Food Supplies Expenses,15000000,5000000,10000000,3174000,1826000
759,Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,5000000,1250000,3750000,-,1250000
760,Maintenance and Other Operating Expenses,"Medical, Dental and Laboratory Supplies Expenses",5000000,1250000,3750000,-,1250000
761,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",200000,100000,100000,-,100000
765,Maintenance and Other Operating Expenses,Other Supplies Expenses,500000,125000,375000,-,125000
783,Maintenance and Other Operating Expenses,Representation Expenses,1000000,250000,750000,-,250000
799,Maintenance and Other Operating Expenses,Other Professional Services,500000,125000,375000,-,125000
802,Maintenance and Other Operating Expenses,Repairs and Maintenance - Land Improvements,3000000,750000,2250000,-,750000
829,Maintenance and Other Operating Expenses,Repairs and Maintenance -Communication Equipment,1000000,250000,750000,-,250000
840,Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Machineries and Equipment,500000,125000,375000,-,125000
841,Maintenance and Other Operating Expenses,Repairs and Maintenance - Motor Vehicles,1000000,250000,750000,-,250000
851,Maintenance and Other Operating Expenses,"Repairs and Maintenance - Road, Highways and Bridges",10000000,2500000,7500000,-,2500000
860,Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Public Infrastructures,2000000,500000,1500000,,500000
874,Maintenance and Other Operating Expenses,Subsidy to Local Government Units,13000000,3250000,9750000,-,3250000
876,Maintenance and Other Operating Expenses,Suubsidy to NGOs or POs,2000000,500000,1500000,-,500000
878,Maintenance and Other Operating Expenses,Donations,3000000,1000000,2000000,91000,909000
969,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating,3000000,1000000,2000000,20904,979096
215,Capital Outlay,Other Structures,500000,500000,,-,500000
221,Capital Outlay,Office Equipment,500000,500000,,-,500000
223,Capital Outlay,IT Equipment and Software,550000,550000,,-,550000
229,Capital Outlay,Communication Equipment,550000,550000,,-,550000
241,Capital Outlay,Motor Vehicles,550000,550000,,-,550000
244,Capital Outlay,Watercrafts,600000,600000,,,600000
250,Capital Outlay,"Other Property, Plant and Equipment",600000,600000,,176000,424000
Grand Total,Grand Total,Grand Total,71050000,22450000,48600000,3461904,18988096
