Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulativ_ Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
1224P,Second Cordillera Highland Agricultural Resource Management Project,OFID,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","Abra,Apayao,Benguet,Ifugao,Kalinga,Mt. Province",12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.00,3.60,10.00,10.00,0.00%,3.60,0.00,0.00%,12/17/08,7/31/13,7/31/14,2/4/09,5.49,1.90,-3.58,34.70%,0.00%,10.00,34.70%,Ongoing
1225P,Agrarian Reform Communities Project II,OFID,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II,III,IVA,IVB,V,VII,IX,X,XI",12/31/10,0.00,0.00,0.00,0.00,0.00,0.11,0.90,1.14,0.38,2.53,0.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00%,0.00,9.00,30.00,30.00,0.00%,9.00,0.00,0.00%,12/17/08,12/31/13,,3/4/09,4.83,1.83,-3.00,37.83%,0.00%,30.00,37.83%,Ongoing
1668-PHI,Southern Philippine Irrigation Sector Project,ADB,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform","VI, VII, XIII, CARAGA, ARMM",12/31/10,0.42,0.68,0.36,1.00,2.46,3.11,3.50,0.59,0.00,7.19,2.60,0.00,0.00,0.00,2.60,12.23,9.64,34.22%,49.93,57.40,60.00,57.40,86.98%,7.47,2.60,25.55%,3/1/99,6/30/06,6/30/11,10/29/99,11.68,11.18,-0.50,95.75%,86.98%,7.47,8.77%,Ongoing
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,ADB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","IV, V, VIII, IX, X, XI, XII, XIII, ARMM",12/31/10,2.34,2.07,4.54,2.84,11.79,3.54,3.43,5.69,5.23,17.89,0.00,0.00,0.00,0.00,0.00,35.88,35.88,65.90%,50.91,71.05,75.00,75.00,71.66%,20.14,0.00,32.86%,10/22/01,6/30/08,8/16/12,2/4/02,10.54,8.91,-1.63,84.56%,67.88%,24.09,16.68%,Ongoing
200665240,Provincial Towns Water Supply Programme III,Germany,Project,LWUA,Infrastructure,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,14.30,14.30,0.00%,0.00,0.00,0.00%,6/30/09,12/31/13,,3/28/11,2.76,-0.24,-3.00,-8.62%,0.00%,14.30,-8.62%,Newly Signed
200765172,Local Government Unit Investment Programme II,Germany,Project,LBP,Infrastructure,,12/31/10,0.00,0.00,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.72,9.72,0.00%,0.83,7.00,9.72,9.72,11.84%,6.17,0.00,8.53%,4/7/10,12/31/10,6/20/12,10/18/10,1.67,0.20,-1.47,12.11%,8.53%,8.89,3.58%,Newly Effective
2063-PHI,Development of Poor Urban Communities Sector Project,ADB,Project,DBP,Social Reform and Community Development,Nationwide,12/31/10,0.00,4.87,0.00,0.00,4.87,3.24,3.46,10.92,0.00,17.62,0.00,16.29,0.00,0.00,16.29,21.51,5.22,27.61%,17.79,17.79,34.08,17.79,100.00%,0.00,16.29,93.29%,12/22/03,4/20/10,6/10/10,4/21/04,6.14,6.70,0.56,109.10%,100.00%,0.00,9.10%,Closed
2137-PHI,Health Sector Development Project,ADB,Project,DOH,Social Reform and Community Development,"I, II, IV",12/31/10,0.78,0.59,0.53,1.21,3.10,0.37,0.28,0.50,0.14,1.29,0.00,0.00,0.00,0.00,0.00,7.19,7.19,240.31%,8.91,12.61,13.00,13.00,70.68%,3.70,0.00,43.13%,1/10/05,12/31/11,5/16/13,1/12/05,8.35,5.97,-2.38,71.54%,68.56%,4.09,2.98%,Ongoing
2311-PHI,Integrated Coastal Resources Management Project,ADB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","II,III,  V, VII, XI",12/31/10,0.27,0.35,0.71,3.24,4.57,1.20,1.52,1.56,1.44,5.71,0.00,0.00,0.00,0.00,0.00,32.60,32.60,80.09%,5.78,23.32,33.80,33.80,24.77%,17.54,0.00,14.03%,3/28/07,6/30/13,6/30/14,6/29/07,7.01,3.51,-3.50,50.08%,17.09%,28.02,32.99%,Ongoing
2465-PHI,Agrarian Reform Communities Project II,ADB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","I,II,IV-A,VII,IX,X,XI",12/31/10,0.00,0.05,2.22,1.49,3.76,3.64,4.28,3.43,1.88,13.23,0.00,0.00,0.00,0.00,0.00,69.42,69.42,28.43%,4.35,16.10,70.00,70.00,26.99%,11.75,0.00,5.42%,12/8/08,6/30/15,,3/4/09,6.33,1.83,-4.50,28.89%,6.21%,65.65,22.68%,Ongoing
2507-PHI,Philippine Energy Efficiency Project,ADB,Project,DOE,Infrastructure,,12/31/10,0.26,0.15,0.03,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.09,27.09,0.00%,4.44,27.37,31.10,31.10,16.23%,22.93,0.00,1.59%,3/2/09,10/31/11,12/31/13,5/28/09,4.60,1.60,-3.00,34.68%,14.28%,26.66,20.40%,Ongoing
2515-PHI,Credit for Better Health Care Project,ADB,Project,DBP,Social Reform and Community Development,Nationwide except NCR,12/31/10,0.04,0.00,0.04,0.00,0.08,0.00,0.28,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,49.28,49.28,28.21%,0.98,12.29,55.37,55.37,7.97%,11.31,0.00,0.16%,4/27/09,8/19/15,,8/19/09,6.00,1.37,-4.64,22.77%,1.77%,54.39,21.00%,Ongoing
2584-PHI,Local Government Financing and Budget Reform Program - Subprogram 2,ADB,Program,DOF,Governance and Institutions Development,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,225.00,225.00,225.00,225.00,100.00%,0.00,0.00,0.00%,12/8/09,3/31/10,,12/28/09,0.26,1.01,0.75,395.70%,100.00%,0.00,295.70%,Closed
2662-PHI,Social Protection Support Project,ADB,Program,DSWD,Social Reform and Community Development,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,400.00,400.00,0.00%,0.00,0.00,0.00%,9/14/10,3/31/16,,1/12/11,5.22,-0.03,-5.25,-0.63%,0.00%,400.00,-0.63%,Newly Signed
749-PH,Second Cordillera Highland Agricultural Resource Management Project,IFAD,Project,DA,"Agriculture, Natural Resources and Agrarian Reform",CAR,12/31/10,0.00,0.00,0.13,0.35,0.48,0.61,0.84,0.57,0.82,2.84,0.00,0.00,0.00,0.00,0.00,25.10,25.10,16.90%,1.98,4.52,26.60,26.60,43.81%,2.54,0.00,1.91%,6/4/08,6/30/16,,11/14/08,7.63,2.13,-5.50,27.90%,7.44%,24.62,20.46%,Ongoing
767-PH,Rapid Food Production Enhancement Programme,IFAD,Program,DA,"Agriculture, Natural Resources and Agrarian Reform","V,VI,VIII,X",12/31/10,0.00,14.54,0.00,0.50,15.04,0.00,14.54,0.00,0.24,14.78,0.00,0.00,0.00,0.00,0.00,15.90,15.90,101.76%,15.04,14.78,15.90,15.90,101.76%,-0.26,0.00,94.59%,9/2/09,6/30/17,,11/9/09,7.64,1.14,-6.50,14.95%,94.59%,0.86,-79.64%,Ongoing
