particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,27056717.49
Less-Disbursements,Pre-Disaster Preparedness Programs,"Trainings and Seminars of Rescue Volunteers,etc.",35660
Less-Disbursements,Pre-Disaster Preparedness Programs,Rescue Equipment and Materials Mitigation Projects,-
Less-Disbursements,Pre-Disaster Preparedness Programs,MOOE                                                                                     ,859409.86
Less-Disbursements,Post-Disaster Programs,Assorted Goods and  Materials for Calamity Victims,-
Less-Disbursements,Post-Disaster Programs,Rehabilitation Assistance- Calamity Victims,70000
Less-Disbursements,Post-Disaster Programs,"Meals and Snacks for Rescue Volunteers
",13880
Less-Disbursements,Post-Disaster Programs,Fuel and Lubricants of Vehicles for Rescue Operations,56580.46   
Less-Disbursements,Post-Disaster Programs,Payment of Premiums on Calamity Insurance,-
Less-Disbursements,Post-Disaster Programs,"Insurance Premiums- Rescue Volunteers                                                                             -                     1,035,530.32   ",-
Balance,Balance,Balance,26021187.17   
