particulars_1,particulars_2,ldrrmf_quick_respone_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,9521518.6,20368815.2,-,-,-,29890333.8
Sources of Funds,Continuing Appropriation,-,8899634.04,-,-,-,8899634.04
Sources of Funds,Prev. Year's Appropriation Transferred ot the Special Trust Fund,10723857.06,-,-,-,-,10723857.06
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,20245375.66,29268449.24,-,-,-,49513824.9
Utilization,Dengue Awareness Program,-,-,-,-,-,-
Utilization,Construction of protection dikes,-,-,-,-,-,-
Utilization,Construction or installation of dry standpipe system,-,-,-,-,-,-
Utilization,Installation of Harard Warning Signs,-,-,-,-,-,-
Utilization,Tree planting and growing program,-,357600,-,-,-,357600
Utilization,"Disaster Rescue Operation and Management Project (Insurance, Honoraria Enhancement of Rescue",707839.42,301269.53,-,-,-,1009108.95
Utilization,"Food, Commodities, Shelter Assistance, Hospitalization and Medical Supplies",6768100,-,-,-,-,6768100
Utilization,"Construction of rooms for lactating mothers and PWDs or Construction of Additional Toilet, Kitchen",-,-,-,-,-,-
Utilization,Purchase of Rescue Vehicles,-,-,-,-,-,-
Utilization,Recovery and Rehabilitation or Provision of equitable assistance or support to disaster victims per DANA,-,2967103.57,-,-,-,2967103.57
Utilization,Medicines  or Food Supplies,95507.61,-,-,-,-,95507.61
Utilization,Food Supplies,1944853,-,-,-,-,1944853
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,13500,-,-,-,-,13500
Utilization,Construction of EvacuationfCenter,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to Other LGU's,-,-,-,-,-,-
Total Utilization,Total Utilization,9529800.03,3625973.1,-,-,-,13155773.13
Unutilized Balance,Unutilized Balance,10715575.63,25642476.14,-,-,-,36358051.77
