particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,26021187.17
Less-Disbursements,Pre-Disaster Preparedness Programs,"Trainings and Seminars of Rescue Volunteers, etc.",285110
Less-Disbursements,Pre-Disaster Preparedness Programs,Rescue Equipment and Materials,88503.85
Less-Disbursements,Pre-Disaster Preparedness Programs,Mitigation Projects,12500
Less-Disbursements,Pre-Disaster Preparedness Programs,MOOE                                                                                       ,872489.3
Less-Disbursements,Post-Disaster Programs,Assorted Goods and Materials for Calamity Victims,268387
Less-Disbursements,Post-Disaster Programs,Rehabilitation Assistance- Calamity Victims,252060
Less-Disbursements,Post-Disaster Programs,"Meals and Snacks for Rescue Volunteers
",232430
Less-Disbursements,Post-Disaster Programs,Fuel and Lubricants of Vehicles for Rescue Operations,166197.73
Less-Disbursements,Post-Disaster Programs,Payment of Premiums on Calamity Insurance,
Less-Disbursements,Post-Disaster Programs,Insurance Premiums- Rescue Volunteers  ,  57600.00 
Total,Total,Total, 2235277.88   
Balance,Balance,Balance, 23785909.29   
