particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,27236112
Less-Dibursements,Pre-Disaster Preparedness Programs,"Trainings and Seminars of Rescue Volunteers,etc.
",73690
Less-Dibursements,Pre-Disaster Preparedness Programs,Rescue Equipment and Materials ,-
Less-Dibursements,Pre-Disaster Preparedness Programs,Mitigation Projects,-
Less-Dibursements,Pre-Disaster Preparedness Programs,MOOE,-
Less-Dibursements,Post-Disaster Programs,Assorted Goods and Materials for Calamity Victims,-
Less-Dibursements,Post-Disaster Programs,Rehabilitation Assistance- Calamity Victims,-
Less-Dibursements,Post-Disaster Programs,Fuel and Lubricants of Vehicles for Rescue Operations, 105704.51   
Less-Dibursements,Post-Disaster Programs,Payment of Premiums on Calamity Insurance,-
Less-Dibursements,Post-Disaster Programs,Insurance Premiums- Rescue Volunteers ,179394.51   
Less-Dibursements,Balance,Balance, 27056717.49   
