Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Technical Cooperation as a whole*,JICA,Several Agencies,50.5,0,unknown,unknown,0,,0,Governance and Institutions Development,N/A,Technical Cooperation,Ongoing,On Schedule,6/30/2014,6/30/2014
"Japanese Grant 
Aid for Human Resource Development Scholarship*",JICA,NEDA,2.94,2.94,5/27/2009,12/31/2014,100,91,-9,Governance and Institutions Development,N/A,Others,Closed,Completed,6/30/2014,6/30/2014
The Project for Improvement of the Meteorological Radar System*,JICA,DOST / PAGASA,32.69,32.69,11/13/2009,12/31/2014,100,90.18,-9.82,Infrastructure Development,"NCR, Regions II, V, VIII",Capital Grants ,Closed,Completed,6/30/2014,6/30/2014
"Japanese Grant 
Aid for Human Resource Development Scholarship*",JICA,NEDA,2.56,2.56,7/4/2011,12/31/2015,100,66.54,-33.46,Governance and Institutions Development,N/A,Others,Closed,Completed,6/30/2014,6/30/2014
The Project for Evacuation Shelter Construction in Disaster Vulnerable Areas in Province of Albay*,JICA,Province of Albay,7.21,7.21,8/18/2011,12/31/2014,100,85.05,-14.95,Infrastructure Development,Region V,Capital Grants ,Closed,Completed,6/30/2014,6/30/2014
"The Project for the Bridge Construction for Expanded Agrarian Reform Communities Development, Phase 2?Umiray Bridge)*",JICA,DA,13.6,13.6,5/4/2012,7/31/2015,100,66.53,-33.47,"Agriculture, Agrarian Reform and Natural Resources","Regions III, IV-A",Capital Grants ,Closed,Completed,6/30/2014,6/30/2014
"Japanese Grant 
Aid for Human Resource Development Scholarship*",JICA,NEDA,2.52,0,8/2/2012,12/31/2016,0,43.24,43.24,Governance and Institutions Development,N/A,Others,Ongoing,On Schedule,6/30/2014,6/30/2014
Mini-Hydropower Development Project in the Province of Isabela*,JICA,DOE,1.43,0,4/30/2013,11/30/2015,0,45.13,45.13,Infrastructure Development,Region II,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
Mini-Hydropower Development Project in the Province of Ifugao*,JICA,DOE,8.71,0,4/30/2013,1/31/2016,0,42.35,42.35,Infrastructure Development,CAR,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Japanese Grant 
Aid for Human Resource Development Scholarship*",JICA,NEDA,2.57,0,7/26/2013,12/31/2017,0,20.94,20.94,Governance and Institutions Development,N/A,Others,Ongoing,On Schedule,6/30/2014,6/30/2014
"Green and Sustainable Urban Planning (G-SUP) for 3 Cities (Dagupan, General Santos, Santa Rosa - Laguna) (piggybacked to LGFBR loan)",AFD,DILG,0.41,0.33,10/1/2012,8/1/2014,80.58,95.22,14.64,Governance and Institutions Development,"3 cities: Dagupan, General Santos, Santa Rosa - Laguna",Technical Assistance,Closed,Completed,6/30/2014,6/30/2014
Detailed Design Study for the Disaster Risk Management and Institutional Strengthening TA,AFD,DILG,0.13,0,6/1/2014,10/1/2014,0,23.77,23.77,Governance and Institutions Development,N/A,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
PhilSCAT Technical Cooperation Phase II,China,DA,1.56,1.09,5/25/2012,3/24/2017,69.87,43.42,-26.45,"Agriculture, Agrarian Reform and Natural Resources",III,Technical Cooperation,Ongoing,On Schedule,6/30/2014,6/30/2014
