particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,-,-,-,-,-,-
Sources of Funds,Continuing Appropriation,9623721.32,10323051.85,-,-,-,19946773.17
Sources of Funds,Previous Year's Appropriation transferred to the special Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,414700,414700
Sources of Funds,Total Funds Available,9623721.32,10323051.85,-,-,414700,20361473.17
Utilization,Quick Response,-,-,-,-,-,-
Utilization,Quick Response - Preparedness,-,66110,-,-,-,66110
Utilization,Quick Response - Preparedness - Various Training and Drills,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Tree and Mangrove Planting,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - River, Creeks and Drainage clearing or declogging or construction and repair",-,640789.5,-,-,-,640789.5
Utilization,Quick Response - Preparedness - Financial assistance to affected families of river & creek clearing,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - Acquisition of equipment for emergency, search, rescue and recovery operation",-,2612700,-,-,-,2612700
Utilization,Quick Response - Preparedness - Construction of DRRM Center or Office,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Maintenance and Other Operating Expenses,-,652191.14,-,-,-,652191.14
Utilization,"Quick Response - Rehabilitation - Rehabilitation of damaged public infrastructures, agricultural crops or livestock and fishery",-,-,-,-,-,-
Utilization,Quick Response - Rehabilitation - Assistance to families with damaged dwelling units,-,65000,-,-,-,-
Utilization,Quick Response - Rehabilitation - Psychological and emotional theraphy or counseling,-,-,-,-,-,-
Total Utilization, -,0,4036790.64,-,-,-,4036790.64
