list_of_proposed_programs,projects,location,appropriation,disbursement,balance,remarks
Social Development,"Construction, Repair or Improvement of Water System",-,2260211.2,-,261550.2,"On-going as of June 30, 2012"
Social Development,"Construction, Repair or Improvement of Water System","Hda. Unson or Purok Santan, Barangay Bonifacio",-,267075,0,POW or OR On-process 01-09-12
Social Development,"Construction, Repair or Improvement of Water System","Sitio Mainit, Barangay Jerusalem (1) Unit Submersible Pump",-,80000,0,100% Completed 03-26-12
Social Development,"Construction, Repair or Improvement of Water System","So. Cubay Camanga, Barangay Tiglawigan",-,60000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","So. Malunhao Ext., Barangay Tiglawigan",-,60000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","So. Malingin-Camanga, Barangay Tiglawigan",-,60000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Bangga Law-ang, Barangay Luna",-,50000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Purok Luyan, Barangay Luna",-,50000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Hda. Pag-asa, Barangay Luna",-,50000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Hda. Banco, Barangay Luna",-,50000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Hda. Serging, Barangay Luna",-,50000,0,POW or OR On-process 02-3-12
Social Development,"Construction, Repair or Improvement of Water System","Hda. Canibungan III, Barangay Luna",-,50000,0,POW or OR On-process 02-08-12
Social Development,"Construction, Repair or Improvement of Water System","Purok Makawiwili to Purok Masinulundon, Barangay Magsaysay",-,60000,0,100% Completed 03-04-12
Social Development,"Construction, Repair or Improvement of Water System",BJMP Purchase of (1) Set Pump Gould with Accessories,-,32000,0,100% Completed 03-09-12
Social Development,"Construction, Repair or Improvement of Water System",Barangay Jerusalem (Deepwell),-,150000,0,POW or OR On-process 02-13-12
Social Development,"Construction, Repair or Improvement of Water System","Various Puroks and Sitios, Barangay Sicaba",-,19730,0,100% Completed 04-13-12
Social Development,"Construction, Repair or Improvement of Water System","Purok Martesan DCC, Barangay Tinampa-an",-,60000,0,POW or OR On-process 02-24-12
Social Development,"Construction, Repair or Improvement of Water System","So. Malunhao Extension, Barangay Tiglawigan",-,60000,0,POW or OR On-process 02-24-12
Social Development,"Construction, Repair or Improvement of Water System","Montelibano DCC, Barangay Tinampa-an",-,60000,0,POW or OR On-process 02-24-12
Social Development,"Construction, Repair or Improvement of Water System","Sitio Tinapok DCC, Barangay Tinampa-an",-,60000,0,POW or OR On-process 02-24-12
Social Development,"Construction, Repair or Improvement of Water System","Paniqui-on, Barangay Tinampa-an",-,62667.5,0,100% Completed 04-22-12
Social Development,"Construction, Repair or Improvement of Water System","Purok Cubay, Barangay Tiglawigan",-,60000,0,POW or OR On-process 02-24-12
Social Development,"Construction, Repair or Improvement of Water System","Hda. San Antonio, Barangay Mabini",-,60977.5,0,POW or OR On-process 03-02-12
Social Development,"Construction, Repair or Improvement of Water System",Barangay Sicaba (50) Units Jetmatic Pumps,-,162500,0,100% Completed 03-14-12
Social Development,"Construction, Repair or Improvement of Water System",Barangay Magsaysay (40) Units Jetmatic Pumps,-,130000,0,100% Completed 03-14-12
Social Development,"Construction, Repair or Improvement of Water System",Various Barangays (Repair or Maintenance),-,117460,0,100% Completed 04-25-12
Social Development,"Construction, Repair or Improvement of Water System",Barangay Jerusalem (Repair or Maintenance),-,13583.5,0,100% C0mpleted 06-18-12
Social Development,"Construction, Repair or Improvement of Water System","Sitio Candumong, Barangay Sicaba",-,62667.5,0,POW or OR On-process 02-24-12
Social Development,Relocation of Squatters,-,1000000,0,1000000,For Implementation
Social Development,Land Banking Program,-,2000000,2000000,0,100% Completed 1-13-12
Social Development,Land Development of Relocation Sites,-,1000000,0,1000000,For Implementation
Social Development,City Electrification Project,-,3000000,-,200000.25,"On-going as of June 30, 2012"
Social Development,City Electrification Project,"Construction of (7) Secondary Poles, Purok Ballesteros, Barangay Magsaysay",-,249129.15,0,POW or OR On-process 03-22-12
Social Development,City Electrification Project,Service Dropping at Barangay Tinampa-an,-,269990,0,100% Completed 03-22-12
Social Development,City Electrification Project,"Tourism Streetlights, Access Road, Barangay Tinampa-an",-,163298,0,100% Completed 02-29-12
Social Development,City Electrification Project,"Construction of (2) Sec., (3) Primary Poles, Hda. Paz, Barangay Jerusalem",-,339597.3,0,100% Completed 03-13-12
Social Development,City Electrification Project,"Purchase of Duplex Wires No. 6 and Insulator, Barangay Magsaysay",-,103785,0,100% Completed 02-12-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Barangay Banquerohan - (4,900m)",-,171500,0,100% Completed 03-14-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Barangay Burgos - (3,800 m)",-,133000,0,100% Completed 03-14-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Barangay tiglawigan - (3,500 m)",-,122500,0,100% Completed 03-14-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Barangay 3 - (4,600 m)",-,161000,0,100% Completed 03-14-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Barangay V. F. Gustilo - (3,110 m)",-,108850,0,POW or OR On-process 03-07-12
Social Development,City Electrification Project,"Purchase of Service Dropwires- Various Barangays - (8,571 m)",-,299985,0,100% Completed 04-16-12
Social Development,City Electrification Project,"Installation of Under Built, So. Alimatoc Ext., Barangay C.S. Villacin",-,56252.3,0,POW or OR On-process 03-09-12
Social Development,City Electrification Project,Rehabilitation of Streetlights for CGSO,-,156450,0,100% Completed 04-02-12
Social Development,City Electrification Project,Rehabilitation of Streetlights for Barangay Magsaysay,-,166075,0,100% Completed 04-02-12
Social Development,City Electrification Project,Rehabilitation of Streetlights for Barangay A. Bonifacio,-,189950,0,100% Completed 04-02-12
Social Development,City Electrification Project,"Rehabiltation of Security, Streetlights at Port Villa Beach, City Hall and Plaza",-,19500,0,100% Completed 04-11-12
Social Development,City Electrification Project,Rehabilitation of Electrical Facilities (Main Controil Panel) at CEO,-,70182,0,100% Completed 05-15-12
Social Development,City Electrification Project,"Electrical Supplies, Various Puroks",-,18956,0,OR or PR On-process 06-06-12
Social Development,Contruction or Repair of City Mini-gym,-,500000,500000,0,POW or OR On-process 05-21-12
Social Development,Contruction or Repair or Inprovement of Health Centers,-,600000,0,600000,For Implementation
Social Development,Contruction or Repair or Improvement of Daycare Center,-,800000,-,-,-
Social Development,Contruction or Repair or Improvement of Daycare Center,"Hda. Caridad, Barangay Luna - Construction",-,550000,0,100% Completed 04-30-12
Social Development,Contruction or Repair or Improvement of Daycare Center,"Hda. Mayo, Barangay Sicaba-Repair or Improvement",-,250000,0,100% Completed 05-08-12
Social Development,Contruction of Public Toilets and Purchase of Toilet Bowls,-,1000000,0,1000000,For Implementation
Social Development,"Procurement of Alternative Learning System (ALS) Mobile Library Vehicle (City's ALS Thame-""Buasdamlag Mo Karga Ko"")",-,300000,0,300000,For Implementation
-,Repair or Improvement of School Building,-,500000,-,153500,"On-going as of June 30, 2012"
Social Development,Repair or Improvement of School Building,"Improvement of (2) Storey Bldg., SPED Training Center, Barangay 3",-,152500,0,POW or OR On-process 04-18-12
Social Development,Repair or Improvement of School Building,Repainting of School Building (Additional Materials) all Schools Division of Cadiz City,-,48000,0,POW or OR On-process 06-04-12
Social Development,Repair or Improvement of School Building,"Repair or Improvement of School Building, Cadiz City",-,55000,0,POW or OR On-process 06-04-12
Social Development,Repair or Improvement of School Building,"Repair or Improvement of (2) Units Classroom (Computer Room) Cluster I, Division of Cadiz City",-,91000,0,POW or OR On-process 06-20-12
Social Development,"Project ""Pagkaon Aton Tatapon"" (PAT) (Supplemental Feeding Program",-,7000000,4042646,2957354,"On-going as of June 30, 2012"
Economic Development,Concreting of Road Shoulders,-,1000000,1000000,0,POW or OR On-process 03-02-12
Economic Development,Rural Road Network Development Project (RRNDP),-,1000000,-,-,-
Economic Development,Rural Road Network Development Project (RRNDP),"Hda. Unson, Barangay A. Bonifacio",-,250000,0,POW or OR On-process 05-24-12
Economic Development,Rural Road Network Development Project (RRNDP),"Melancholy, Barangay C.S. Villacin",-,250000,0,POW or OR On-process 05-24-12
Economic Development,Rural Road Network Development Project (RRNDP),"Sewahon III, Barangay V.F. Gustilo",-,250000,0,POW or OR On-process 05-24-12
Economic Development,Rural Road Network Development Project (RRNDP),"Hda. Joana, Barangay Jerusalem",-,250000,0,POW or OR On-process 05-24-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ",-,1500000,-,-,-
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ","Repair or Improvement of Perimeter Fence, Barangay Daga Public Plaza- Php 60000.00",-,60000,0,POW or OR On-process 05-08-12
Economic Development,"Purchase of Dumptruck (Realigned as per SP Resolution No. 2012-112 series of 2012, dated April 18, 2012) ","Construction of Concrete Alley and Open Canal, Purok Baybay, Barangay Daga- Php 280758.75",-,280758.75,0,POW or OR On-process 04-30-12
