region,province,name_of_cooperative,address,contact_person,phone_number
RFU VII,Cebu,Awihaw - Sagay MPC ," Sagay, Toledo City Cebu",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Amlan Dairy Farmers Ass. ,"Poblacion, Amlan, Negros Oriental ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Cebu,Tabok MP Dev't. Cooperative(TAMDECO) ,"Tabok, Danao City Cebu",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,"Lupa,Compostela, Cebu ","Lupa, Compostela, Cebu ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Cebu,Dalaguete - LGU ,"Dugyan, Dalaguete Cebu ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Cebu,Panas Consumers Cooperative,"Panas, Consolacion Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Argao Dairy MPC ,"CSCST-Argao Campus, Argao, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Tayud Dairy Producers Cooperative,"Tayud, Liloan, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Garing Dairy Producers Cooperative,"Garing, Consolacion, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Lusaran MPC (formerly Alayon Farmers Association) ,"Lusaran, Cebu City ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,COBCAWA Consumers Cooperative,"Cobcawa, Adlawon, Cebu City ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,San Vicente Dairy Producers Cooperative,"San Vicente, Liloan, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Sirao Farmers MPC ,"Sirao, Cebu City ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Unchuan Farm ,"Cabcaban, Barili, Cebu ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Cebu,Lamac Multi-purpose Cooperative ,"Lamac, Pinamungahan, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Bairan Multipurpose Cooperative ,"Bairan, Naga Cebu ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Cebu,Consolacion Teachers Multi-purpose Cooperative,"Poblacion, Consolacion Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Basak Farmers Multi-purpose Cooperative ,"Basak, Compostela Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Tag-ubi Dairy Farmers Multi-Purpose Cooperative ,"Tag-ubi, Compostela, Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,GUBA Farmers MPC ,"Guba, Cebu City ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Tagbao Farmers Association ,"Tagbao, Cebu City ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Cabcaban Farmers MPC ,"Cabcaban, Barili Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Cebu,Binaliw Farmers Producers Cooperative ,"Binaliw, Danao City Cebu",Bienvenido Rodriguez ,(032) 564-2598 
RFU VII,Negros Oriental,Foundation University Amlan Farm ,"Amlan, Negros Oriental ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,Siliman University ,"Bantayan, Dumaguete City ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,Sta. Catalina Dairy Farmers Association ,Negros Oriental,c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,San Antonio Community-Agriculture Farmers MPC ,"San Antonio, Sibulan, Negros Oriental ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,Pamplona - LGU/Libertad ,"Poblacion, Pamplona, Negros Oriental Philippines",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,Pamplona Dairy Farmers Ass. ,"Balayong, Negros Oriental ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,Valencia - LGU ,"Poblacion, Valencia, Negros Oriental Philippines",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,Canlaon City Dairy Farmers Association ,Canlaon City ,Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,Valencia Dairy Producers Association ,"North Poblacion, Valencia, Negros Oriental Philippines",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,DAUIN DAIRY FARMERS ASS. ,"Masaplod Sur, Negros Oriental ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,BAIS Breeding Farm ,"City Agriculture Office, Bais City, Negros Oriental ",c/o Visayas Field Office ,(032)345-3612 
RFU VII,Negros Oriental,Dairy Farmers Association of Dumaguete City ,"Bajumpandan, Dumaguete City ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,Negros Oriental,Bayawan City Dairy Farmers Association ,"City Vet Office, Villareal, Bayawan City Negros Oriental",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VII,,Bacong Dairy Farmers Ass. (BADAFA) ,"Poblacion, Bacong, Negros Oriental ",Joselito A. Sapuan ,"(035)422-3436, 0906-23972345, 0939-6028133 "
RFU VIII,Biliran,Barangay Calumpang Milkers Association ,"Calumpang, Naval, Biliran ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Biliran,Biliran ,"Biliran, Biliran ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,"BIMCUSA (Boroc, Maticaa, Curva, UFBA) ","Cogon, Ormoc City, Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Camalig Agricultural MPC ,"Lonoy, Kananga, Leyte",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Holy Infant Dairy Cooperative (HIDCO) ,"Merida, Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Melchor Larrazabal Farm ,"Tongonan, Ormoc City ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Manlilinao Agricultural MPC ,"Manlilinao, Ormoc City, Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Occidental Leyte Dairy Primary MPC ,"Bayong St., Cogon, Ormoc City, Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Leyte,Philippine Carabao Center (PCC - LSU) ,"LSU, Baybay, Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Southern Leyte,Sogod LGU ,"Cahupian, Sogod, Southern Leyte ",c/o Visayas Field Office ,(032)345-3612 
RFU VIII,Southern Leyte,Floredeliz Farmers Multipurpose Cooperative(MACROHON) ,"Flordeliz, Macrohon ",c/o Visayas Field Office ,(032)345-3612 
RFU IX,Zamboanga del Norte,D' Village Multi-Purpose Cooperative,"Dohinob, Roxas, Zamboanga del Norte ",Marife M. Olib ,0921-6175214 
RFU IX,Zamboanga del Norte,Camul Tampilisan Agrarian Reform Beneficiary MPC ,"Tampilisan, Zamboanga del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU IX,Zamboanga del Norte,Phil. Carabao Center (PCC-Kalawit) ,"Poblacion Kalawit, Zamboanga del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU IX,Zamboanga del Sur,Danlugan Multi-Purpose Cooperative,"Danlugan, Pagadian City, Zamboanga del Sur ",c/o Mindanao Field Office ,(088)233-3998 
RFU IX,Zamboanga Sibugay,Minsulao Farmers MPC ,"Minsulao, Siay, Zamboanga Sibugay ",c/o Mindanao Field Office ,(088)233-3998 
RFU IX,Zamboanga City,NJB Farms ,"Ayala, Zamboanga City ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Maluko Multi-purpose Dairy Cooperative,"Maluko, Manolo Fortich, Bukidnon ",Wilma Buray ,(08822) 75-52-35 
RFU X,Bukidnon,Allied Neighborhod Multi-purpose Cooperative(Alnempco) ,"New Sankanan, Manolo Fortich, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Borja Dairy Farm (Mannix animals) ,"Kawayan, Lantapan, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Roy Dal Farm,"Kisolon, Sumilao , Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Dalwangan Multi-purpose Dairy Cooperative,"Dalwangan, Malaybalay, Bukidnon ",-,(08822) 75-52-35 
RFU X,Bukidnon,People of the Living God (PLG) ,"Malitbog, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Baungon Integrated Dairy Cooperative(BIDACO) ,"Imbatug, Baungon, Bukidnon ",Marlene Bautista ,926-9011783 
RFU X,Bukidnon,Kisolon-Impasug-ong Multi-purpose Cooperative,"Impasug-ong,  Bukidnon ",Wilma Buray ,(08822) 75-52-35 
RFU X,Bukidnon,CMU ,"Musuan, Maramag, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Compact Farm (Owned by NMFDC) ,"Kinawe, Libona, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Phil. Carabao Center (PCC-Bukidnon) ,"Musuan, Maramag, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,NABC ,"Dalwangan, Malaybalay, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,DAR MINSSAD ,"DAR-MARO, Poblacion, Pangantucan, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Bukidnon,Manolo Fortich Dairy Cooperative,"Manolo Fortich,  Bukidnon ",Wilma Buray ,(08822) 75-52-35 
RFU X,Bukidnon,"Del Monte Phils., Inc. ","Kawayanon, Manolo Fortich, Bukidnon ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Lanao del Norte,"Lanao del Norte Foundation, Inc. ","Bauyan, Sultan Naga Dimaporo, Lanao del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Lanao del Norte,Iligan - LGU ,"Tangub City, Lanao del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Lanao del Norte,Mahayahay Farmers Integrated Cooperative (MAFICO) ,"Kapatagan, Lanao del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Occidental,Lorenzo Tan Coop.,"Lorenzo Tan, Tangub City, Misamis Occidental",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Occidental,Walter Lao ,"Viray, Molikay, Ozamis City, Misamis Occidental",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Claveria Livestock Raisers ,"Patroceno, Claveria, Misamis Oriental",Wilma Buray ,(08822) 75-52-35 
RFU X,Misamis Oriental,Villanueva Dairy Raisers MPC ,"Kalingagan, Villanueva, Misamis Oriental",Wilma Buray ,(08822) 75-52-35 
RFU X,Misamis Oriental,Jimenez - LGU ,"Matugas Alto, Jimenez, Misamis Occidental",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Pastor Nietes Goat Farm ,"Naawan, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Naawan-LGU ,"Agri Dev't, Poblacion, Naawan, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Chona'S Goat Farm ,"Awang, Opol, Misamis Oriental",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,"Cagayan de Oro., Opol, El Salvador MPC ",33 J Serina St. Carmen  ,Wilma Buray ,(08822) 75-52-35 
RFU X,Misamis Oriental,Khleas Goat Farm ,"Amoros, El Salvador, Misamis Oriental",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Balay Mindanaw Foundation ,"Kalawitan, Claveria, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,"Tacbo-Coco Dairy Mpc, Inc. ","Bolisong, El Salvador, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Opol Dairy Multi-purpose Cooperative(ODAMCO) formerly OPWATRANSCO ,"Opol, Misamis Oriental",Wilma Buray ,(08822) 75-52-35 
RFU X,Misamis Oriental,Lgu-Gingoog City (Cong. Peter Unabia) ,Misamis Oriental,c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Lumbia Farmer's Cooperative,"Lumbia, CDO, Misamis Oriental",Wilma Buray ,(08822) 75-52-35 
RFU X,Misamis Oriental,XAVIER University College of Agriculture ,Cagayan de Oro City,c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Lgu-Talisayan (Cong. Peter Unabia),Misamis Oriental,c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Camaruc Goat Farm ,"Camaroc, Opol, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,4HL Farm ,"Purok 6 Don Pedro, Naawan, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU X,Misamis Oriental,Caulayanan Dairy and Livestock Cooperative,"Caulayanan, Sugbongcogon, Misamis Oriental ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao del Norte,Nest Farm,"Panabo, Davao del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao del Norte,Davao Del Norte,"San Isidro, Island Garden City of Samal, Davao Del Norte ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao del Sur,Missionary Baptist Rural Livelihood Center (MBRLC) ,"Kinuskusan, Bansalan, Davao del Sur ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao del Sur,Matanao Bansalan Magsaysay Dairy Farmers Cooperative(MBM-DFC) ,"Bansalan, Davao del Sur ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao del Sur,St. Benedictine Farm ,"Cogon, Digos City, Davao del Sur ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Calinan Dairy Farmers Cooperative(CDFC) ," Poblacion Calinan , Dvo. City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Lizada Dairy Farmers Cooperative(LDFC) ," Lizada, Toril District, Dvo. City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Wangan National Agricultural School/TESDA ,"Wangan, Calinan, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,AJML Farm ,"San Isidro, Bunawan District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,San Isidro Livestock Raisers Association (SILRA) ,"San Isidro, Bunawan, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Biao Joaquin Dairy Farmers Cooperative(BJDAFCO) ,"Biao Joaquin, Calinan District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Puentespina Farm ,"Malagos, Baguio District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Cadalian Dairy Farmers Cooperative(CADAFCO) ,"Cadalian Baguio District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Dacudao Dairy Farmers Cooperative(DDFC) ,"Dacudao, Calinan District, Dvo. City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,KIM'S Milk ,"Cadalian, Baguio District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Tacunan Dairy Farmers Cooperative(TADAFCO) ,"Takunan, Marilog District, Davao City ",c/o Mindanao Field Office ,(088)233-3998 
RFU XI,Davao City,Calinan 4-H Dairy Cooperative(C4HDC) ,"Calinan District, Davao City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Aklat Dairy Cooperative (ADC) ,"Aklat, Tamugan,  Marilog District Davao City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Cogon NRDP DIAF Dairy Cooperative(CONDDACO) ,"Sirawan, Toril District, Dvo. City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Riverside Dairy Farmers Cooperative(RDFC) ,"Riverside, Calinan District, Dvo. City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Wangan Dairy Cooperative(WDC) ,"Wangan, Calinan District, Davao City ",Raylyn Sanchez ,(082) 3010517 
RFU XI,Davao City,Malagos Dairy Cooperative(MDC) ,"Malagos, Baguio District, Davao City ",Raylyn Sanchez ,(082) 3010517 
RFU XII,North Cotabato,KIDAPAWAN Stock Farm ,"Kidapawan, North Cotabato ",c/o Mindanao Field Office ,(088)233-3998 
RFU XII,North Cotabato,Don Bosco Diocessan Youth Center ,"Batasan Hills, Makilala, North Cotabato ",c/o Mindanao Field Office ,(088)233-3998 
RFU XII,North Cotabato,Phil. Carabao Center (PCC-USM) ,"Kabacan, North Cotabato ",c/o Mindanao Field Office ,(088)233-3998 
RFU XII,North Cotabato,Sakdalan Dairy Farm ,"Alamad, Midsayap, North Cotabato ",c/o Mindanao Field Office ,(088)233-3998 
CAR (Cordillera Administrative Region),Benguet,Rey Pidazo Group (Baguio City) ,"Sto. Tomas Road, Barangay Dontogan, Baguio City ",c/o North Luzon Field Office ,02-9260733 Loc 202 
CAR (Cordillera Administrative Region),Benguet,Tino ,"Sto. Tomas Road, Barangay Dontogan, Baguio City ",c/o North Luzon Field Office ,02-9260733 Loc 202 
CAR (Cordillera Administrative Region),Benguet,Erwin San Luis ,"Sto. Tomas Road, Barangay Dontogan, Baguio City ",c/o North Luzon Field Office ,02-9260733 Loc 202 
CAR (Cordillera Administrative Region),Benguet,M. High Livestock Cooperative,"BDF Sto. Tomas Road, Barangay Dontogan, Baguio City",-,02-9260733 Loc 202 
CAR (Cordillera Administrative Region),Benguet,Johnny Adjaro ,"Sto. Tomas Road, Barangay Dontogan, Baguio City ",c/o North Luzon Field Office ,02-9260733 Loc 202 
Cebu,-,CSCST-AIFC Countryside Credit Cooperative,"Poblacion, Argao Cebu ",Bienvenido Rodriguez ,(032) 564-2598 
